key,date,accesses
all,07-2018,2729
all,08-2018,4674
all,09-2018,85788
all,10-2018,6997
all,11-2018,128792
all,12-2018,246071
all,01-2019,457467
all,02-2019,348463
search/browse,07-2018,774
search/browse,08-2018,180
search/browse,09-2018,172
search/browse,10-2018,130
search/browse,11-2018,457
search/browse,12-2018,600
search/browse,01-2019,424
search/browse,02-2019,842
rest-api,07-2018,669
rest-api,08-2018,4047
rest-api,09-2018,85183
rest-api,10-2018,6583
rest-api,11-2018,114360
rest-api,12-2018,245049
rest-api,01-2019,456160
rest-api,02-2019,346521
sparql,07-2018,502
sparql,08-2018,204
sparql,09-2018,141
sparql,10-2018,83
sparql,11-2018,13623
sparql,12-2018,107
sparql,01-2019,441
sparql,02-2019,647
others,07-2018,784
others,08-2018,243
others,09-2018,292
others,10-2018,201
others,11-2018,352
others,12-2018,315
others,01-2019,442
others,02-2019,453
