key,date,accesses
references,07-2018,133
references,08-2018,27
references,09-2018,10718
references,10-2018,662
references,11-2018,5064
references,12-2018,30523
references,01-2019,13926
references,02-2019,146382
citations,07-2018,188
citations,08-2018,2779
citations,09-2018,9390
citations,10-2018,1694
citations,11-2018,8451
citations,12-2018,31553
citations,01-2019,78674
citations,02-2019,158206
citation,07-2018,59
citation,08-2018,8
citation,09-2018,15
citation,10-2018,9
citation,11-2018,16
citation,12-2018,8
citation,01-2019,6
citation,02-2019,17
metadata,07-2018,0
metadata,08-2018,898
metadata,09-2018,64965
metadata,10-2018,4160
metadata,11-2018,100570
metadata,12-2018,182767
metadata,01-2019,363290
metadata,02-2019,41822
