Rivista,Licenza,Conformi alla Open Definition
Almatourism,CC-BY,Si
Bruno Pini Mathematical Analysis Seminar,CC-BY,Si
Cinergie,CC-BY,Si
CONFLUENZE,CC-BY,Si
Conservation Science in Cultural Heritage,CC-BY,Si
Encyclopaideia,CC-BY,Si
European Journal of Creative Practices in Cities and Landscapes,CC-BY,Si
Figure,CC-BY,Si
Griseldaonline,CC-BY-SA,Si
Histories of Postwar Architectures,CC-BY,Si
I quaderni del m.æ.s. – Journal of Mediæ Ætatis Sodalicium,CC-BY,Si
INTRECCI d'arte,CC-BY,Si
Journal of Formalized Reasoning,CC-BY,Si
Labour and Law,CC-BY,Si
Musica Docta,CC-BY-SA,Si
PsicoArt,CC-BY,Si
Puente@Europa,CC-BY,Si
Scienza & Politica. Per una storia delle dottrine,CC-BY,Si
SERIES,CC-BY,Si
Sociologica,CC-BY,Si
STATISTICA,CC-BY,Si
Umanistica Digitale,CC-BY,Si
University of Bologna Law Review,CC-BY,Si
USAbroad – Journal of American History and Politics,CC-BY,Si
ZoneModa Journal,CC-BY,Si
Annali Sismondi,CC-BY-NC,No
Antropologia e Teatro,CC-BY-NC-ND,No
Bibliothecae.it,CC-BY-NC-ND,No
Danza e ricerca,CC-BY-NC,No
DISEGNARECON,CC-BY-NC,No
EQA,CC-BY-NC,No
Governare la paura,CC-BY-NC,No
IN_BO,CC-BY-NC,No
IpoTESI di Preistoria,CC-BY-NC,No
Italian Journal of Mycology,CC-BY-NC,No
Montesquieu.it,CC-BY-NC-ND,No
piano b,CC-BY-SA-NC,No
Ricerche di Pedagogia e Didattica,CC-BY-NC-ND,No
Studi Tributari Europei,CC-BY-NC,No
