Rivista,Licenza presente all’interno dei formati rilasciati
Almatourism,Si
Bruno Pini Mathematical Analysis Seminar,No
Cinergie,Si
CONFLUENZE,No
Conservation Science in Cultural Heritage,No
Encyclopaideia,Si
European Journal of Creative Practices in Cities and Landscapes,Si
Figure,No
Griseldaonline,No
Histories of Postwar Architectures,Si
I quaderni del m.æ.s. – Journal of Mediæ Ætatis Sodalicium,No
INTRECCI d'arte,No
Journal of Formalized Reasoning,No
Labour and Law,No
Musica Docta,Si
PsicoArt,Si
Puente@Europa,No
Scienza & Politica. Per una storia delle dottrine,Si
SERIES,No
Sociologica,Si
STATISTICA,No
Umanistica Digitale,No
University of Bologna Law Review,Si
USAbroad – Journal of American History and Politics,Si
ZoneModa Journal,Si
