id,elem,value
"2","10.3233/SW-120092","internal_server_error"
"2","10.5281/zenodo.166356","internal_server_error"
"2","10.1093/scipol/scy024.","internal_server_error"
"2","10.3233/SW-140134","internal_server_error"
"2","10.21939/4X22","internal_server_error"
"2","10.5281/zenodo.293021","internal_server_error"
"2","10.13140/2.1.1341.1520","internal_server_error"
"2","10.6084/m9.figshare.1460787.v1","internal_server_error"
"2","10.6084/m9.figshare.4769815.v1","internal_server_error"
"2","10.6084/m9.figshare.1132584","internal_server_error"
"2","10.13130/2282-5398/7997","internal_server_error"
"2","10.12759/hsr.29.2004.2.4-132","internal_server_error"
"2","10.12766/jna.2014.4","internal_server_error"
"2","10.12766/jna.2016.1","internal_server_error"
"2","10.12766/jna.2014.3","internal_server_error"
"2","10.1080/13658810210157732","internal_server_error"
"2","10.1080/13658810010011393","internal_server_error"
"2","10.26687/archnet-ijar.v6i2.89","internal_server_error"
"2","10.3233/978-1-61499-415-2-470","internal_server_error"
"2","10.3233/978-1-61499-432-9-975","internal_server_error"
"2","10.3233/978-1-61499-289-9-926","internal_server_error"
"2","10.3233/978-1-61499-101-4-7031","internal_server_error"
"2","10.3233/978-1-61499-432-9-1163","internal_server_error"
