volume,author,title,year,issue,citation_count,doi,page,source_id,reference,oa_link,citation,source_title
"05","Feyisa, Gudina Legese; Palao, Leo; Nelson, Andy; Win, Khin Thawda; Htar, Kin Nge; Gumma, Murali Krishna; Johnson, David E.","Retracted: &Lt;I&Gt;A Participatory Iterative Mapping Approach And Evaluation Of Three Machine Learning Algorithms For Accurate Mapping Of Cropping Patterns In A Complex Agro-Ecosystems&Lt;/I&Gt;","2016","01","1","10.4236/ars.2016.51001","1-17","issn:2169-267X; issn:2169-2688","10.1109/tgrs.2006.875940","http://www.scirp.org/journal/PaperDownload.aspx?PaperID=62970","10.1109/iss1.2017.8389413","Advances In Remote Sensing"
"12","Boudaghpour, Siamak; Bagheri, Majid; Bagheri, Zahra","Retracted Article: Estimation Of Flood Environmental Effects Using Flood Zone Mapping Techniques In Halilrood Kerman, Iran","2014","1","1","10.1186/s40201-014-0153-z","","issn:2052-336X","10.1002/(sici)1099-1085(19990815)13:11<1577::aid-hyp827>3.0.co;2-l; 10.1006/jare.2002.1020; 10.1007/s002489900033; 10.1007/s10040-001-0176-2; 10.1007/s13369-011-0075-3; 10.1007/s13369-011-0112-2; 10.1007/s13369-012-0227-0; 10.1007/s13369-013-0542-0; 10.1007/s13369-013-0812-x; 10.1016/j.advwatres.2007.02.005; 10.1016/j.apcbee.2012.03.052; 10.1016/j.apgeog.2011.10.012; 10.1016/j.ecolmodel.2006.11.017; 10.1016/j.egypro.2012.01.195; 10.1016/j.eist.2012.10.001; 10.1016/j.envsoft.2013.03.006; 10.1016/j.geomorph.2005.03.005; 10.1016/j.hazards.2003.10.001; 10.1016/j.jag.2011.09.017; 10.1016/j.jenvman.2004.11.024; 10.1016/j.jenvman.2008.11.011; 10.1016/j.jenvman.2009.09.002; 10.1016/j.jhazmat.2011.06.057; 10.1016/j.jhydrol.2006.10.001; 10.1016/j.pce.2011.04.001; 10.1016/j.pce.2011.08.014; 10.1016/j.proenv.2012.01.392; 10.1016/j.sedgeo.2012.03.009; 10.1016/s0022-1694(02)00121-x; 10.1016/s0037-0738(02)00334-2; 10.1016/s1001-6058(08)60110-9; 10.1016/s1462-9011(02)00125-9; 10.1023/a:1003566101271; 10.1061/(asce)1084-0699(2002)7:4(312); 10.1111/j.1752-1688.2004.tb01012.x; 10.2136/sssaj2007.0425; 10.3141/1599-15","https://link.springer.com/content/pdf/10.1186%2Fs40201-014-0153-z.pdf","10.1186/s40201-015-0182-2","Journal Of Environmental Health Science And Engineering"
"6","Field, Kenneth; Beale, Linda","Geo-Genealogy Of Irish Surnames","2010","1","1","10.4113/jom.2010.1128","651-656","issn:1744-5647","","","10.4113/jom.2010.1171","Journal Of Maps"
"6","Carty, John; Ahern, Aoife","Mapping The Relationship Between Transport Energy Consumption And Urban Form Characteristics For The Greater Dublin Area","2010","1","3","10.4113/jom.2010.1074","160-168","issn:1744-5647","10.1080/00420989650012095; 10.1080/01944369708975727","","10.4113/jom.2010.1140; 10.1088/0031-8949/84/02/025801; 10.1080/17538947.2012.740079","Journal Of Maps"
"5","Field, Kenneth S.","Schematic Visualisation Of Ski Resort Trails","2009","1","1","10.4113/jom.2009.1045","30-36","issn:1744-5647","10.1007/s10707-007-0018-z; 10.1037/0021-9010.65.1.103; 10.1179/000870496787757230; 10.3138/a477-3202-7876-n514; 10.4113/jom.2008.1007","","10.1080/17445647.2015.1088482","Journal Of Maps"
"","Zhu, Liangrong","Notice Of Retraction: Estimation Of Uncertainty In Flatness Minimum Zone Verification According To New Gps Standard System","2010","","0","10.1109/iccasm.2010.5620293","","","","","","2010 International Conference On Computer Application And System Modeling (Iccasm 2010)"
"","Wu, Huixin; Zheng, Hui","Notice Of Retraction: Survey On Simplification Algorithm For Large-Scale Terrain Modeling","2010","","0","10.1109/iccsit.2010.5565182","","","10.1007/978-3-642-78114-8_29; 10.1007/bf02826617; 10.1109/38.491187; 10.1109/visual.1996.568126; 10.1109/visual.1998.745282; 10.1109/visual.1999.809869; 10.1145/142920.134010; 10.1145/258734.258849","","","2010 3Rd International Conference On Computer Science And Information Technology"
"","Dan Li; Xiao-Kui Ren","Notice Of Retraction: Research Of Gps/Dr Integrated Position System In Position Of Navigation Marks","2010","","0","10.1109/icent.2010.5532196","","","10.1109/plans.2006.1650698","","","2010 International Conference On Educational And Network Technology"
"","Pan Xi; Shun Yang","Notice Of Retraction: The Research Of Gps Localization And Map-Matching Method","2010","","0","10.1109/icent.2010.5532184","","","10.1109/itsc.2001.948625; 10.1109/ivs.2006.1689609; 10.1559/152304098782441778","","","2010 International Conference On Educational And Network Technology"
"","Huang, Hui; Bian, Fuling","Notice Of Retraction: Model Parent-Child Relationships Between Lines And Parcels","2007","","0","10.1109/wicom.2007.1393","","","10.1023/a:1026565929263","","","2007 International Conference On Wireless Communications, Networking And Mobile Computing"
"23","Dym, Jordana","Retirado - "Mais Calculado Para Enganar Do Que Para Informar": Os Viajantes E O Mapeamento Da América Central (1821-1945)","2007","37","0","10.1590/s0104-87752007000100006","81-109","issn:0104-8775","","https://doi.org/10.1590/s0104-87752007000100006","","Varia Historia"
