citation,volume,title,page,reference,citation_count,oa_link,author,doi,issue,source_title,source_id,year
"","33","Book Review: Industrial Sexuality: Gender, Urbanization, And Social Transformation In Egypt By Hanan Hammad","987-989","","0","","Wilson, Eli R., 0000-0002-2354-0734","10.1177/0891243219846501","6","Gender & Society","issn:0891-2432; issn:1552-3977","2019"
"","","Retracted Article: A Nation Within A Nation: Organizing African-American Communities Before The Civil War","1-2","","0","","Robinson, Stephen","10.1080/14664658.2012.746274","","American Nineteenth Century History","issn:1466-4658; issn:1743-7903","2012"
"10.1080/03323315.2017.1327366; 10.1123/ssj.2017-0088","18","Retracted Article: Retraction: From Courtyard Sport To Competitive Sport: Evolution Of Wrestling In Colonial Bengal","1-16","10.1525/california/9780520076976.001.0001; 10.1525/can.1993.8.1.02a00030","2","","","10.1080/17430437.2014.919258","1","Sport In Society","issn:1743-0437; issn:1743-0445","2014"
"","96","Withdrawn: Sedimentary Facies, Sequence Stratigraphy And Diagenesis Of Mixed Fluvial Siliciclastic-Marine Carbonate Deposits Of The Lower Miocene Razak Formation At Sarkhun Gas Field, Zagros Basin, Se Iran: A Linkage With Reservoir Quality","646","","0","","Amel, H.; Wanas, H.A.; Jafarian, A.; Amel, A.; Ghazi, S.; Caja, M.A.","10.1016/j.marpetgeo.2018.02.018","","Marine And Petroleum Geology","issn:0264-8172","2018"
"10.1177/0883073811432749; 10.1007/s00381-011-1493-y; 10.1590/s1981-81222014000100002; 10.1002/ajpa.22832; 10.3171/2012.6.focus12120; 10.3171/2014.1.focus13466","29","A Look At Mayan Artificial Cranial Deformation Practices: Morphological And Cultural Aspects [Retracted]","E2","10.1002/ajpa.1330790213; 10.1086/resv33n1ms20167006; 10.1227/00006123-199509000-00002; 10.1227/01.neu.0000255462.99516.b0","6","","Romero-Vargas, Samuel; Ruiz-Sandoval, José Luis; Sotomayor-González, Arturo; Revuelta-Gutiérrez, Rogelio; Celis-López, Miguel Angel; Gómez-Amador, Juan Luis; García-González, Ulises; López-Serna, Raul; García-Navarro, Victor; Mendez-Rosito, Diego; Correa-Correa, Victor; Gómez-Llata, Sergio","10.3171/2010.9.focus10200","6","Neurosurgical Focus","issn:1092-0684","2010"
"10.1007/s12565-017-0399-5","33","Knowledge Of Skull Base Anatomy And Surgical Implications Of Human Sacrifice Among Pre-Columbian Mesoamerican Cultures [Retracted]","E1","10.1002/evan.20046; 10.1002/oa.1135; 10.1016/b978-012369364-8/50257-6; 10.1016/j.wneu.2010.08.018; 10.3171/2010.9.focus10200","1","","Lopez-Serna, Raul; Gomez-Amador, Juan Luis; Barges-Coll, Juan; Arriada-Mendicoa, Nicasio; Romero-Vargas, Samuel; Ramos-Peek, Miguel; Celis-Lopez, Miguel Angel; Revuelta-Gutierrez, Rogelio; Portocarrero-Ortiz, Lesly","10.3171/2012.6.focus12120","2","Neurosurgical Focus","issn:1092-0684","2012"
"","0","La Democracia Orgánica: Participación Y Representación Política En La España De Franco = Organic Democracy: Political Participation And Representation In Franco’S Spain","107","","0","http://revistas.uned.es/index.php/ETFV/article/download/15751/13696","Giménez Martínez, Miguel Ángel","10.5944/etfv.27.2015.15751","27","Espacio Tiempo Y Forma. Serie V, Historia Contemporánea","issn:1130-0124","2015"
"","31","Retraction Notice","i-i","","0","","","10.1093/fh/crn067","4","French History","issn:0269-1191; issn:1477-4542","2017"
"","65","[Desautorizado] La Revolución Cubana Y La Historiografía","297","","0","http://estudiosamericanos.revistas.csic.es/index.php/estudiosamericanos/article/download/106/111","Aguilera Manzano, José María","10.3989/aeamer.2008.v65.i1.106","1","Anuario De Estudios Americanos","issn:1988-4273; issn:0210-5810","2008"
"","1656","Ceramics At The Emergence Of The Silk Road: A Case From Southeastern Kazakhstan","","10.1007/bf02681334; 10.1007/s00253-003-1354-z; 10.1017/cbo9781139061186.008; 10.1017/s0003598x00092280; 10.1179/0093469012z.00000000037","0","","Heinsch, Maryfran; Vandiver, Pamela B.; Lyublyanovics, Kyra; Choyke, Alice M.; Tourtellotte, Perry; Chang, Claudia","10.1557/opl.2014.430","","Mrs Proceedings","issn:1946-4274","2014"
"","10","Blasts From The Past: War And Fracture In The International System","352-368","","0","","Bartelson, Jens","10.1093/ips/olw019","4","International Political Sociology","issn:1749-5679; issn:1749-5687","2016"
