Date,DOI,Source,Title,Abstract,Section,Citations to retracted article,Citing reasons,Sentiment (negative/neutral/positive),Mentions the article retraction,Notes
1998,10.1002/jppr1998286443,doi.org,"Controversies in Vaccination with Measles, Mumps, Rubella (MMR) Vaccine","Many people remember the extensive adverse publicity surrounding pertussis vaccine in the 1970s which led to public concern about the safety of vaccines. Subsequently, follow‐up indicated no causal link between pertussis vaccination and brain damage although the risk of recurrent collapse (shock‐like syndrome or so‐called hypotonic‐hyporesponsive episode) with a benign outcome, after such vaccination is higher than the background rate",none,"In the United Kingdom from 1976-88 there were three major pertussis epidemics accounting for over 300 000 notifications and at least 70 deaths. 4 A recent 'early report' linked MMR vaccination with non-specific colitis and pervasive developmental disorder in children. 5 The suggestion that measles infection is causally linked to Crohn's disease had been disproved already6 but there has since been a decrease in MMR vaccination uptake with the potential for future morbidity. 7;;
The suggestion that measles infection is causally linked to Crohn's disease had been disproved already6 but there has since been a decrease in MMR vaccination uptake with the potential for future morbidity. 7 The basis for the early report was 12 children whose parents had reported the onset of bowel disease and autism soon after MMR vaccination. 5The age when these conditions first appear however, is also the age for MMR vaccination. ;;
The publication of the 'early report' based on only 12 patients resulted in a prodigious correspondence which canvassed the rift which can exist between clinical medicine and public health, 12 and the inadequacy of evidence related to problems of methodology. 11-21 The controversy in that correspondence was whether or not the paper byWakefield5 should have been accepted for publication. It attracted mass media attention and generated considerable public concern despite the lack of evidence linking MMR vaccination with the conditions suffered by the 12 children. ;;","discusses;;
discusses;;
discusses;;","neutral;;
neutral;;
neutral;;",no;;,This article is a letter.
1998,10.1177/1362361398024006,Other,Clinical Features Associated with Autism: Observations of Symptoms Outside the Diagnostic Boundaries of Autistic Spectrum Disorders,"Autism is traditionally viewed as a pervasive developmental disorder, diagnosed on the basis of clinically observed behavioural symptoms in the absence of any quantifiable biochemical or neurological markers. Anecdotal reports of the coincidence of certain physiological anomalies in subgroups of children with autistic spectrum disorders, outside the syndrome's diagnostic definition, have not as yet been adequately catalogued. Findings are presented from parental interviews (n = 46), examining the type and prevalence of these additional health and psychological factors, and their connection to a possible immunological/metabolic basis to autism and associated spectrum disorders.","Final section; “Discussion”;;
Final section; “Discussion”;;","The factors that were revealed,
however, indicate the need for further investigation into the possible links
between the autistic syndrome and the prevalence of physiological factors.
Speculation about a possible interplay between autism and various
biochemical systems of the body, such as the immune system (Warren et
al., 1996; Van Gent et al., 1997; Wakeﬁeld et al., 1998), suggests that
speciﬁc behaviours associated with the autistic syndrome could also be
accompanied by speciﬁc physiological problems associated with affected
systems of the body. The ﬁndings that nearly two-thirds of Children
showed a history of eczema or similar skin complaints, and over a quarter
had problems with asthma—related conditions (both exceeding the general
population incidence ﬁgures), imply the involvement of the immune
system in some fashion.;;
The incidence of migraines is compatible With the phenylsulphotransferase enzyme deﬁciency hypothesis (Waring et al.,
1996), which has also been associated with subsequent physiological
difﬁculties such as problems with intestinal permeability (Waring and
Ngong, 1993; Shattock and Savery, 1996). The signiﬁcance of a link
between parental and sibling health problems (especially related to
problems of the immune system) and the presence of physiological
symptoms coexisting with the overt diagnostic deﬁnition of autism
supports the View of autism being an organic disorder, either immuno—
logical or metabolic (Shattock and Savery, 1996 ; Wakeﬁeld et al., 1998),
with a genetic basis at least, in a subgroup of children.;;","discusses;;
cites for information;;","neutral;;
neutral;;",no;;,
1998,10.1177/1362361398024007,Other,"MMR and Autism



",None,none;;,"A recent report in The Lancet about a possible connection between measles—
mumps—rubella immunization (MMR) and autism (Wakeﬁeld et al., 1998)
has received a lot of attention in the media. If MMR is indeed an important
cause or trigger of late onset autism, then this would have enormous
consequences given that millions of Children receive this vaccination every
year.;;",qualifies;;,neutral;;,no;;,This article is a commentary.
1999,10.1177/1362361399003001005,Other,A Gluten-Free Diet as an Intervention for Autism and Associated Spectrum Disorders: Preliminary Findings,"The opioid-excess hypothesis of autism suggests that autism is the consequence of the incomplete breakdown and excessive absorption of peptides with opioid activity (derived from foods which contain gluten and casein), causing disruption to biochemical and neuroregulatory processes. Biochemical evidence has indicated the presence of increased levels of peptides in the urine of people with autism, and previous behavioural studies have demonstrated a connection between the long term exclusion of gluten and casein from the diet and improvements in the behaviour of some children with autism. The introduction of a gluten-free diet to children with autism and associated spectrum disorders (n 5 22) was monitored over a 5 month period using a battery of parental and teacher interview/questionnaire sessions, observation reports, psychometric tests and urinary profiling. Results suggested that participants on a gluten-free diet showed an improvement on a number of behavioural measures. However there was no significant decrease in specific urinary compounds excreted when compared with controls and a gluten challenge group.","introduction;;
introduction;;
final section;“Discussion”;;","The ‘opioid-excess’ theory of autism (Panksepp, 1979; Reichelt et al., 1981; 1993; 1994; Shattock et al., 1990; Wakefield et al., 1998) suggests that autism is the consequence of the action of peptides1 of exogenous origin affecting neurotransmission within the central nervous system (CNS). Peptides,2 formed through the incomplete breakdown of foods2 containing gluten (found in cereal produce) and casein (derived from dairy produce), exhibit direct opioid activity or form ligands for the peptidase enzymes which break down endogenous endorphins and enkephalins. ;;
Peptides,2 formed through the incomplete breakdown of foods2 containing gluten (found in cereal produce) and casein (derived from dairy produce), exhibit direct opioid activity or form ligands for the peptidase enzymes which break down endogenous endorphins and enkephalins. The passage of elevated levels of peptides through to the CNS is further aided by gastrointestinal conditions indicative of an abnormally porous intestinal membrane (Waring and Ngong, 1993; Gardner, 1994; D’Eufemia et al., 1996; Wakefield et al., 1998). The resultant presence of intensified opioid activity disrupts a variety of systems within the CNS. ;;
Problems with intestinal permeability have been found in a proportion of children with autism (D’Eufemia et al., 1996). Similarly, the gastrointestinal findings following measles-mumps-rubella immunization (MMR) reported by Wakefield et al. (1998) suggest impaired intestinal function and increased permeability. The increased levels of IAG3 and other, as yet unidentified, compounds found in the urine of people with tenuous autism also provides support for the existence of an abnormally porous intestinal membrane. ;;","Discribes;;
cites for information;;
qualifies;;","neutral;;
neutral;;
neutral;;",no;;,
1999,10.1177/1362361399003001010,Other,"MMR and Autism: C. Gillberg & H. Heijdal, Autism, 1998, 2(4), 423-4",None,,,,,,No citation pointer
1999,10.1097/00019052-199904000-00005,doi.org,Autism and the pervasive developmental disorders,"Our understanding of childhood autism and the related pervasive developmental disorders continues to advance in many areas. Nevertheless, the heterogeneity of phenotypic expression presents many challenges, not least to efforts to ascertain the prevalence of the disorders. There is now wide agreement on, and reliable application of, the diagnostic criteria for childhood autism, but there is less agreement on and less reliable application of the criteria for the related disorders atypical autism, pervasive developmental disorder-unspecified and Asperger‚s syndrome. Evidence about genetic associations indicates that several genes are involved in creating susceptibility to the disorder, and the first steps to identify susceptibility loci have begun. Neuroanatomical models have yet to receive consistent support but early signs of promising advances have been made in pharmacological interventions, and adequate evaluation of behavioural intervention programmes is now underway. Curr Opin Neurol 12:155-159.
",middle section;“Genetic findings”;;,"It appears likely that rather than playing an aetiological role, the obstetric and neurological adversities represent an epiphenomenon of the condition or derive from some shared risk factor[33]. Considerable media attention in the UK accompanied the publication of a series of case studies [34] that documented intestinal abnormalities and reported histories of loss of skills (including in some cases an autistic-like presentation), which in several but not all cases closely followed vaccination for measles, mumps and rubella (MMR). Although the authors themselves presented any possible association as merely a hypothesis that awaited confirmation, the article was interpreted by the media as suggesting a causal link between the MMR and autistic regression.;;",obtains background from;;,neutral;;,no;;,doubtful;;
1999,10.1177/001857879903400610,Other,Are Vaccines Safe? Risk Communication Applied to Vaccination,"With the rapid pace of immunologic research, it is more important than ever for readers to understand rational immunodiagnosis, immunopro- phylaxis, and immunotherapy. This column is intended to help you ensure proper immunologic drug use in your practice. Suggestions should be addressed to Lt. Col. John D. Grabenstein, EdM, MS, FASHP, U.S. Army Medical Department, c/o School of Pharmacy, University of North Carolina, Chapel Hill, NC 27599-7360 (919-962-0106).",middle section;“VACCINE-PHOBIA”;;,"Later, more detailed analyses showed that whole-cell pertussis vaccine is tem- porally associated with acute encephalopathy, but there is no evi- dence of an association with lasting neurologic damage.8,12,17–18 
More recently, measles- mumps-rubella (MMR) vaccine was portrayed as associated with inflam- matory bowel disease, Crohn’s dis- ease, and autism in news reports, triggered by articles in British jour- nals in 1997 and early 1998.19–21 Multiple subsequent analyses point- ed out the logical and biological flaws in these assertions and failed to find any such association.5–6,16,22–26 
",describes;;,neutral;;,no;;,
1999,10.1097/00001574-199907000-00008,doi.org,Inflammatory bowel disease in pediatric patients,"The management of inflammatory bowel disease in children remains a major challenge to patients, their families, and the health care team. This review highlights the past year’s advances concerning epidemiologic studies, new diagnostic considerations, and novel therapeutic approaches. Epidemiologic studies confirmed that Crohn’s disease is being increasingly diagnosed in children, whereas the incidence of ulcerative colitis has remained stable. African-American children are as likely to have inflammatory bowel disease as other children. Serologic assays specific for Crohn’s disease and ulcerative colitis can assist clinicians in screening for inflammatory bowel disease, as well as discriminating between the two diseases. Studies have revealed that osteopenia and antioxidant vitamin deficiency are common and require screening in pediatric inflammatory bowel disease. Increasing experience with immunosuppressive drugs (6-mercaptopurine, azathioprine) point to their efficacy and generally good toxicity profile in pediatric patients.",First section; “Epidemiologic aspects”;;,"Generally, it seems that the incidence of UC has changed little over the past decade.

Another recent paper by Wakefield et al.[5], implicating a close relationship between the measles, mumps, and rubella (MMR) vaccine, IBD, and autism in children, stimulated much controversy. In a relatively small number of patients (12), an association was found between pervasive developmental disorders and ileal-lymphoid-nodular hyperplasia or nonspecific colitis.;;",describes;;,neutral;;,no;;,
1999,10.1097/00005176-199909000-00008,doi.org,"Gluten-Free Diet Decreases Urinary Peptide Levels in Children with Celiac Disease

","Background:
Increased urine secretion of peptides has been found in celiac disease, probably resulting from increased intestinal uptake of peptides caused by damage to the small gut mucosa.
Methods:
High-performance liquid chromatography of low-molecular-weight peptides in the urine was performed over 6 months, before and after a gluten-free diet was instituted in children who clinically improved while consuming the diet.
Results:
A significant decrease of peptide levels was observed in children consuming the gluten-free diet. Certain peptide peaks thought to be gluten related decreased the most after the patients began the diet.
Conclusions:
Because the peptides decrease in patients consuming a gluten-free diet, it is reasonable to conclude that such peptide have a mostly dietary origin.",middle section;“Discussion”;;,"This is a reasonable conclusion, because after casein is ingested, many casein-derived peptides can be recovered from the blood (7). Ileal-lymphoid nodular hyperplasia and nonspecific colitis have been related to late-onset pervasive development in children (17). In this group of children, we find very high peptide levels in the urine (14,15).;;",credits;;,neutral;;,no;;,
1999,10.1089/acm.1999.5.575,Other,The Abdominal Brain and Enteric Nervous System,"Conventional medical treatment for neurologic disorders such as epilepsy, migraine, and autism focuses on the brain. Although standard medical treatment is often helpful, the under- lying causes of these disorders are not well understood. Furthermore, some individuals respond poorly or not at all to regular medicine. Evidence is accumulating in the medical literature that the enteric nervous system (ENS)—that part of the nervous system associated with the alimen- tary canal—also plays a role in these disorders. Historically, the concept of an autonomous ab- dominal nervous system was advocated by Byron Robinson, Johannis Langley, and Edgar Cayce. The work of these three prominent historical figures is considered along with modern view- points on the abdominal nervous system. Complementary therapies that address the nervous system of the abdomen have potential as useful adjuncts to conventional treatment for certain neurologic disorders. ","introduction;;
Middle section; “AUTISM WITH INTESTINAL FEATURES 
”;;","Some researchers regard the presence of abdominal features in these ill- nesses as important and of possible etiologic significance (Amery and Forget, 1989; Mavromichalis et al., 1995; Peppercorn and Herzog, 1989). Recently, autism has been added to the list of neurologic conditions with abdominal features (Horvath et al., 1998; Murch et al, 1998; Wakefield et al., 1998;). 
A possible explanation of the relationship be- tween abdominal symptoms and neurological syndromes can be found in the influence that the enteric nervous system (ENS) has on the central nervous system (CNS). ;;
Although there is no cure, appropriate management may foster relatively normal de- velopment and reduce undesirable behaviors, 
Recent medical research may add autism to the growing list of neurological illnesses with abdominal features. Wakefield et al. (1998) in- vestigated a consecutive series of children with chronic enterocolitis and regressive develop- mental disorder. The 12 children (mean age 6 years) had a history of normal development fol- lowed by loss of acquired skills, including Ian- guage. ;;","describes;;
discusses;;","neutral;;
neutral;;",no;;,
