citfunc,sectitle,refentry,art,sectype,sectype2,refid,sec,ctx,pointerlist,nbcontexts,nbsections,itrp,anchorsent,partext,potential_cf,annotator,dataset
"discusses","","","10.1002/jppr1998286443","","","","","","","","","","the suggestion that measles infection is causally linked to crohn's disease had been disproved already6 but there has since been a decrease in mmr vaccination uptake with the potential for future morbidity. 7 the basis for the early report was 12 children whose parents had reported the onset of bowel disease and autism soon after mmr vaccination. 5the age when these conditions first appear however, is also the age for mmr vaccination.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"disputes","","","10.1002/jppr1998286443","","","","","","","","","","the publication of the 'early report' based on only 12 patients resulted in a prodigious correspondence which canvassed the rift which can exist between clinical medicine and public health, 12 and the inadequacy of evidence related to problems of methodology. 11-21 the controversy in that correspondence was whether or not the paper bywakefield5 should have been accepted for publication. it attracted mass media attention and generated considerable public concern despite the lack of evidence linking mmr vaccination with the conditions suffered by the 12 children.","","","disputes","coci_wakefield_ret_intext_ref.csv"
"discusses","discussion","","10.1177/1362361398024006","","","","","","","","","","the factors that were revealed, however, indicate the need for further investigation into the possible links between the autistic syndrome and the prevalence of physiological factors.
speculation about a possible interplay between autism and various biochemical systems of the body, such as the immune system (warren et al., 1996; van gent et al., 1997; wakeﬁeld et al., 1998), suggests that speciﬁc behaviours associated with the autistic syndrome could also be accompanied by speciﬁc physiological problems associated with affected
systems of the body. the ﬁndings that nearly two-thirds of children
showed a history of eczema or similar skin complaints, and over a quarter
had problems with asthma—related conditions (both exceeding the general
population incidence ﬁgures), imply the involvement of the immune
system in some fashion.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"cites as evidence","discussion","","10.1177/1362361398024006","","","","","","","","","","the incidence of migraines is compatible with the phenyls ulphotransferase enzyme deﬁciency hypothesis (waring et al.,1996), which has also been associated with subsequent physiological difﬁculties such as problems with intestinal permeability (waring and
ngong, 1993; shattock and savery, 1996). the signiﬁcance of a link between parental and sibling health problems (especially related to problems of the immune system) and the presence of physiological symptoms coexisting with the overt diagnostic deﬁnition of autism
supports the view of autism being an organic disorder, either immunological or metabolic (shattock and savery, 1996 ; wakeﬁeld et al., 1998), with a genetic basis at least, in a subgroup of children.","","","cites as evidence","coci_wakefield_ret_intext_ref.csv"
"qualifies","","","10.1177/1362361398024007","","","","","","","","","","a recent report in the lancet about a possible connection between measles—
mumps—rubella immunization (mmr) and autism (wakeﬁeld et al., 1998)
has received a lot of attention in the media. if mmr is indeed an important
cause or trigger of late onset autism, then this would have enormous
consequences given that millions of children receive this vaccination every
year.","","","qualifies","coci_wakefield_ret_intext_ref.csv"
"describes","discussion","","10.1177/1362361399003001005","introduction","","","","","","","","","the ‘opioid-excess’ theory of autism (panksepp, 1979; reichelt et al., 1981; 1993; 1994; shattock et al., 1990; wakefield et al., 1998) suggests that autism is the consequence of the action of peptides1 of exogenous origin affecting neurotransmission within the central nervous system (cns). peptides,2 formed through the incomplete breakdown of foods2 containing gluten (found in cereal produce) and casein (derived from dairy produce), exhibit direct opioid activity or form ligands for the peptidase enzymes which break down endogenous endorphins and enkephalins.","","","describes","coci_wakefield_ret_intext_ref.csv"
"cites for information","discussion","","10.1177/1362361399003001005","introduction","","","","","","","","","peptides,2 formed through the incomplete breakdown of foods2 containing gluten (found in cereal produce) and casein (derived from dairy produce), exhibit direct opioid activity or form ligands for the peptidase enzymes which break down endogenous endorphins and enkephalins. the passage of elevated levels of peptides through to the cns is further aided by gastrointestinal conditions indicative of an abnormally porous intestinal membrane (waring and ngong, 1993; gardner, 1994; d’eufemia et al., 1996; wakefield et al., 1998). the resultant presence of intensified opioid activity disrupts a variety of systems within the cns.","","","cites for information","coci_wakefield_ret_intext_ref.csv"
"qualifies","discussion","","10.1177/1362361399003001005","introduction","","","","","","","","","problems with intestinal permeability have been found in a proportion of children with autism (d’eufemia et al., 1996). similarly, the gastrointestinal findings following measles-mumps-rubella immunization (mmr) reported by wakefield et al. (1998) suggest impaired intestinal function and increased permeability. the increased levels of iag3 and other, as yet unidentified, compounds found in the urine of people with tenuous autism also provides support for the existence of an abnormally porous intestinal membrane.","","","qualifies","coci_wakefield_ret_intext_ref.csv"
"credits","genetic findings","","10.1097/00019052-199904000-00005","","","","","","","","","","it appears likely that rather than playing an aetiological role, the obstetric and neurological adversities represent an epiphenomenon of the condition or derive from some shared risk factor[33]. considerable media attention in the uk accompanied the publication of a series of case studies [34] that documented intestinal abnormalities and reported histories of loss of skills (including in some cases an autistic-like presentation), which in several but not all cases closely followed vaccination for measles, mumps and rubella (mmr). although the authors themselves presented any possible association as merely a hypothesis that awaited confirmation, the article was interpreted by the media as suggesting a causal link between the mmr and autistic regression.","","","credits","coci_wakefield_ret_intext_ref.csv"
"disputes","vaccine-phobia","","10.1177/001857879903400610","","","","","","","","","","later, more detailed analyses showed that whole-cell pertussis vaccine is temporally associated with acute encephalopathy, but there is no evidence of an association with lasting neurologic damage.8,12,17–18 
more recently, measlesmumps-rubella (mmr) vaccine was portrayed as associated with inflammatory bowel disease, crohn’s disease, and autism in news reports, triggered by articles in british journals in 1997 and early 1998.19–21 multiple subsequent analyses pointed out the logical and biological flaws in these assertions and failed to find any such association.5–6,16,22–26","","","disputes","coci_wakefield_ret_intext_ref.csv"
