0,1,2,3,4,5,6,7,8,9,10,11
2886242761,10.3389/fpsyg.2018.01333,2020,2018,10.1177/0165025419830248,Using sentiment analysis to detect affect in children’s and adolescents’ poetry:,Will E. Hipson,International Journal of Behavioral Development,"SAGE PublicationsSage UK: London, England",2019.0,mag,0
2886242761,10.3389/fpsyg.2018.01333,2020,2018,10.1371/JOURNAL.PONE.0213891,Psychological impact of mass violence depends on affective tone of media content.,Jolie Baumann Wormwood ;; Yu-Ru Lin ;; Spencer K. Lynn ;; Spencer K. Lynn ;; Lisa Feldman Barrett ;; Lisa Feldman Barrett ;; Karen S. Quigley,PLOS ONE,Public Library of Science,2019.0,mag,0
2886242761,10.3389/fpsyg.2018.01333,2020,2018,10.1177/1532673X20972105,The Subconscious Effect of Subtle Media Bias on Perceptions of Terrorism,Lukas Feick ;; Karsten Donnay ;; Katherine T. McCabe,American Politics Research,SAGE Publications,2020.0,mag,1
2886242761,10.3389/fpsyg.2018.01333,2020,2018,10.1016/J.JPSYCHIRES.2020.08.010,"Association between psychological morbidities and information provision, reliability, and satisfaction among disaster victims: A cross-sectional study.",Eunkyo Kang,Journal of Psychiatric Research,Pergamon,2020.0,mag,1
2886242761,10.3389/fpsyg.2018.01333,2020,2018,10.3389/FPUBH.2020.00175,An Experimental Study of Effects of Media Implication on Self-Report Symptoms Related With MP Use,Peng Gao ;; Fei-Zhou Zheng ;; Min-Di He ;; Min Li ;; Ping Deng ;; Zhou Zhou ;; Zheng-Ping Yu ;; Lei Zhang,Frontiers in Public Health,Front Public Health,2020.0,mag,1
2886242761,10.3389/fpsyg.2018.01333,2020,2018,10.17829/turcom.458433,Sağlık Haberlerinde Risk Söylemi,"Kayıhan, Bahar; Hülür, Himmet",,,2019.0,coci,0
2130836170,10.1007/s40737-015-0023-8,2020,2015,10.1007/S40737-020-00208-2,Retraction Note to: Search of Self Amidst Chaos,Pankaj Suneja,Journal of Psychosocial Rehabilitation and Mental Health,Springer India,2020.0,mag,1
2039505288,10.1097/00000539-200010000-00022,2020,2000,10.1097/01.CCM.0000142574.00425.E9,"Morbidity in hospitalized patients receiving human albumin: a meta-analysis of randomized, controlled trials.",Jean-Louis Vincent ;; Roberta J. Navickis ;; Mahlon M. Wilkes,Critical Care Medicine,LIPPINCOTT WILLIAMS & WILKINS,2005.0,mag,0
2039505288,10.1097/00000539-200010000-00022,2020,2000,10.1016/S0246-0289(02)00067-1,Médicaments dérivés du plasma,Pascale Poullin ;; Patrice Lefevre,EMC - Anesthésie-Réanimation,Elsevier BV,2004.0,mag,0
2039505288,10.1097/00000539-200010000-00022,2020,2000,10.1046/J.1365-2044.2002.27094.X,Anions and the anaesthetist 2.,A. Vincent,Anaesthesia,Blackwell Science Ltd,2002.0,mag,0
2039505288,10.1097/00000539-200010000-00022,2020,2000,10.1016/J.MAM.2011.12.002,Human serum albumin: from bench to bedside.,Gabriella Fanali ;; Alessandra di Masi ;; Viviana Trezza ;; Maria Marino ;; Mauro Fasano ;; Paolo Ascenzi,Molecular Aspects of Medicine,Mol Aspects Med,2012.0,mag,0
2039505288,10.1097/00000539-200010000-00022,2020,2000,10.1177/108925320400800405,Acute lung injury and acute respiratory distress syndrome after pulmonary resection.,Katherine P. Grichnik ;; Thomas A. D'Amico,Seminars in Cardiothoracic and Vascular Anesthesia,SAGE Publications,2004.0,mag,0
2039505288,10.1097/00000539-200010000-00022,2020,2000,10.1001/ARCHSURG.143.10.935,Albumin use guidelines and outcome in a surgical intensive care unit,Anthony Charles ;; Maryanne Purtill ;; Sharon Dickinson ;; Michael Kraft ;; Melissa Pleva ;; Craig Meldrum ;; Lena Napolitano,Archives of Surgery,American Medical Association,2008.0,mag,0
2039505288,10.1097/00000539-200010000-00022,2020,2000,10.1111/J.1476-4431.2005.00141.X,The use of 25% human serum albumin: outcome and efficacy in raising serum albumin and systemic blood pressure in critically ill dogs and cats,Karol A. Mathews ;; Maureen Barry,Journal of Veterinary Emergency and Critical Care,Blackwell Science Ltd,2005.0,mag,0
2039505288,10.1097/00000539-200010000-00022,2020,2000,10.1111/J.0894-0959.2004.17603.X,POOR NUTRITIONAL STATUS AND INFLAMMATION: Serum Albumin: Relationship to Inflammation and Nutrition: SERUM ALBUMIN,Burl R. Don ;; George Kaysen,Seminars in Dialysis,Wiley,2004.0,mag,0
2039505288,10.1097/00000539-200010000-00022,2020,2000,10.1016/J.THORSURG.2004.09.004,Pathophysiology and management of one-lung ventilation.,Katherine P. Grichnik ;; Jeffrey A. Clark,Thoracic Surgery Clinics,Elsevier,2005.0,mag,0
2039505288,10.1097/00000539-200010000-00022,2020,2000,,POOR NUTRITIONAL STATUS AND INFLAMMATION,Burl R. Don ;; George Kaysen,,,2004.0,mag,0
2039505288,10.1097/00000539-200010000-00022,2020,2000,10.1177/0115426505020003314,Albumin Therapy in Clinical Practice,Christian M. Mendez ;; Craig J. McClain ;; Luis S. Marsano,Nutrition in Clinical Practice,SAGE Publications,2005.0,mag,0
2039505288,10.1097/00000539-200010000-00022,2020,2000,10.1590/S0103-507X2011000100014,Uso de albumina humana em pacientes graves: controvérsias e recomendações,Haroldo Falcão ;; André Miguel Japiassú,Revista Brasileira De Terapia Intensiva,AMIB,2011.0,mag,0
2039505288,10.1097/00000539-200010000-00022,2020,2000,10.1016/J.CLP.2004.03.018,The albumin controversy.,Michael R. Uhing,Clinics in Perinatology,Elsevier,2004.0,mag,0
2039505288,10.1097/00000539-200010000-00022,2020,2000,10.1016/J.CVSM.2008.02.004,The therapeutic use of 25% human serum albumin in critically ill dogs and cats.,Karol A. Mathews,Veterinary Clinics of North America-small Animal Practice,Elsevier,2008.0,mag,0
2039505288,10.1097/00000539-200010000-00022,2020,2000,10.1016/J.JCLINANE.2010.06.007,Is replacement of albumin in major abdominal surgery useful,Ksenija Mahkovic-Hergouth ;; Lidija Kompan,Journal of Clinical Anesthesia,Elsevier,2011.0,mag,0
2039505288,10.1097/00000539-200010000-00022,2020,2000,10.1097/00000539-200110000-00001,Lactate versus chloride: which is better?,Michael F. O’connor ;; Michael F. Roizen,Anesthesia & Analgesia,Anesth Analg,2001.0,mag,0
2039505288,10.1097/00000539-200010000-00022,2020,2000,10.1053/J.JVCA.2008.03.002,Con: Starches Are Not Preferable to Albumin During Cardiac Surgery: A Contrary Opinion,Robert S. Green ;; Richard I. Hall,Journal of Cardiothoracic and Vascular Anesthesia,Elsevier,2008.0,mag,0
2039505288,10.1097/00000539-200010000-00022,2020,2000,,Analysis of methoxy-polyethylene glycol-modified human serum albumin,Frederick William Houts,,,2006.0,mag,0
2039505288,10.1097/00000539-200010000-00022,2020,2000,10.1016/J.ANNFAR.2005.03.001,"Remplissage vasculaire : des indicateurs plus fiables, mais pour quoi faire ?",B. Tavernier ;; M. Jeanne,Annales Francaises D Anesthesie Et De Reanimation,Ann Fr Anesth Reanim,2005.0,mag,0
2039505288,10.1097/00000539-200010000-00022,2020,2000,10.1111/J.0894-0959.2004.17603.X,Serum albumin: relationship to inflammation and nutrition.,Burl R Don ;; George Kaysen,Seminars in Dialysis,Semin Dial,2004.0,mag,0
2039505288,10.1097/00000539-200010000-00022,2020,2000,10.1097/00075198-200208000-00005,Use of albumin in the intensive care unit.,Marc-Jacques Dubois ;; Jean Louis Vincent,Current Opinion in Critical Care,Curr Opin Crit Care,2002.0,mag,0
2039505288,10.1097/00000539-200010000-00022,2020,2000,10.1002/9781118356807.CH12,Human Serum Albumin: A Multifunctional Plasma Protein,John More ;; Mark Bulmer,Production of Plasma Proteins for Therapeutic Use,"John Wiley & Sons, Ltd",2012.0,mag,0
2039505288,10.1097/00000539-200010000-00022,2020,2000,,PENGARUH KADAR ALBUMIN TERHADAP LAMA RAWATAN DAN MORTALITAS PADA PASIEN DI RUANG RAWAT INTENSIF ANAK,Gema Nazri Yanni,,,2008.0,mag,0
2039505288,10.1097/00000539-200010000-00022,2020,2000,10.1016/J.CCA.2017.12.014,"Impact of serum albumin levels on long-term all-cause, cardiovascular, and cardiac mortality in patients with first-onset acute myocardial infarction.",Ming Xia ;; Chi Zhang ;; Jian Gu ;; Jing Chen ;; Lin-Chi Wang ;; Yan Lu ;; Chun-Yan Huang ;; Yong-Ming He ;; Xiang-Jun Yang,Clinica Chimica Acta,Elsevier,2018.0,mag,0
2039505288,10.1097/00000539-200010000-00022,2020,2000,10.1093/AJHP/62.6.637,Albumin for fluid resuscitation: implications of the Saline versus Albumin Fluid Evaluation.,John W. Devlin ;; Jeffrey F. Barletta,American Journal of Health-system Pharmacy,American Society of Health-System Pharmacists,2005.0,mag,0
2039505288,10.1097/00000539-200010000-00022,2020,2000,10.1007/S00101-007-1235-4,Determinanten des insensiblen Flüssigkeitsverlustes,M. Jacob ;; D. Chappell ;; K. Hofmann-Kiefer ;; P. Conzen ;; K. Peter ;; M. Rehm,Anaesthesist,Springer-Verlag,2007.0,mag,0
2039505288,10.1097/00000539-200010000-00022,2020,2000,10.1016/J.CCC.2006.03.009,Controversial aspects of the prehospital trauma care.,Giorgio Berlot ;; Barbara Bacer ;; Antonino Gullo,Critical Care Clinics,Elsevier,2006.0,mag,0
2039505288,10.1097/00000539-200010000-00022,2020,2000,10.1080/13693780500129814,"Human albumin promotes germination, hyphal growth and antifungal resistance by Aspergillus fumigatus.",Acacio Gonçalves Rodrigues ;; Ricardo Araujo ;; Cidalia Pina-Vaz,Medical Mycology,Taylor & Francis,2005.0,mag,0
2039505288,10.1097/00000539-200010000-00022,2020,2000,,Physiological aspects of fluid and electrolyte balance,Dileep N. Lobo,,University of Nottingham,2003.0,mag,0
