cited_magid,cited_doi,cited_ref_hints(author),cited_retraction_year,cited_publication_year,citing_doi,citing_title,citing_author,citing_venue,venue_id,venue_type,venue_area,venue_category,citing_publisher,citing_publication_year,source,period,fulltext,retracted,notes
1968756341,10.1111/j.1468-2478.2005.00373.x,Euclid A Rose,2006,2005,10.13016/M2F915,WHEN COERCION BACKFIRES: THE LIMITS OF COERCIVE DIPLOMACY IN IRAN.,Ebrahim Mohseni Cheraghlou,,nan,Thesis,,,,2015,mag,1,DOI,,
2137877549,10.1177/0146167207312465,Lennart J Renkema;;Diederik A Stapel;;Marcus Maringer;;Nico W van Yperen,2013,2008,10.7282/T3JH3J74,Political stereotyping and perceived entitativity from a terror management theory perspective,Rachel Sarah Rubinstein,,nan,Thesis,,,,2013,mag,1,DOI,,
2087178820,10.1080/1462740500061160,Charles K Armstrong,2020,2005,,"The geographical construction of national identity and state interests by a weak nation-state: The dynamic geopolitical codes and stable geopolitical visions of North Korea, 1948--2010",Jongwoo Nam,,nan,Thesis,,,,2012,mag,0,8_nodoi.pdf,,
1973632246,10.2466/pr0.1990.66.2.355,Ronald Grossarth-Maticek;;Hans J Eysenck,2020,1990,,"Estudio cualitativo del perfil del cuidador primario, sus estilos de afrontamiento y el vínculo afectivo con el enfermo oncológico infantil",García Romero ;; Bernardo Celso,TDX (Tesis Doctorals en Xarxa),nan,Thesis,,,Universitat Ramon Llull,2011,mag,0,70_nodoi.pdf,,
2502195750,10.1017/CCOL0521650186.018,Martin William Francis Stone,2006,2001,,John Pecham on life and mind,Caleb Glenn Colley,,nan,Thesis,,,,2014,mag,1,65_nodoi.pdf,,
2497020468,10.1017/CCOL0521822424.012,Martin William Francis Stone,2007,2006,,Descartesin epäilyn metodi,Jan Forsman,,nan,Thesis,,,,2012,mag,1,63_nodoi.pdf,,
2163703002,10.1260/136943306779369509,Björn Täljsten,2009,2006,,Mechanism of Delamination of Electrospun Adhesive Nanofibers,Omar Ali Blandon,,nan,Thesis,,,,2015,mag,1,61_nodoi.pdf,,
2163703002,10.1260/136943306779369509,Björn Täljsten,2009,2006,,Numerical analysis of concrete elements strengthened with carbon fiber reinforced polymers,Joakim Lundqvist,,nan,Thesis,,,Luleå tekniska universitet,2007,mag,0,60_nodoi.pdf,,
1604868322,10.1109/ICENT.2010.5532127,Zhu Lili,2010,2010,,The use of corporate reputation in the development of brand image strategy in the Taiwanese pharmaceutical industry,Chen-Chu Chen,,nan,Thesis,,,Brunel University Brunel Business School PhD Theses,2011,mag,1,56_nodoi.pdf,,
1236563440;;1576791255;;2319228865,10.1111/j.1365-2702.2010.03368.x,Moon Fai Chan,2011,2011,,"MEMORY, COGNITION, AND THE EFFECT OF A MUSIC INTERVENTION ON HEALTHY OLDER ADULTS",Shannon L Bowles,,nan,Thesis,,,,2013,mag,1,54_nodoi.pdf,,
1236563440;;1576791255;;2319228865,10.1111/j.1365-2702.2010.03368.x,Moon Fai Chan,2011,2011,,The Use of Music Therapy/Music to Address Sleep Quality and Sleep Disorders: A Systematic Literature Review,Bing-YI Pan,,nan,Thesis,,,,2017,mag,1,53_nodoi.pdf,,
1572022292,10.1109/ICPIM.2011.5983694,Tao Ran,2011,2011,,What is Good Design? : On the problem of stereotypes and innovation in character design as reflected through the mentor archetype,Nybäck Jerry,,nan,Thesis,,,,2013,mag,1,52_nodoi.pdf,,
2158392555,10.1111/j.0066-7372.2003.00023.x,Martin William Francis Stone,2011,2001,,The Virtuoso Human: A Virtue Ethics Model Based on Care,Frederick Joseph Bennett,,nan,Thesis,,,,2011,mag,1,51_nodoi.pdf,,
2158392555,10.1111/j.0066-7372.2003.00023.x,Martin William Francis Stone,2011,2001,,Assessing human happiness in John Tillotson's Sermons,Dal Santo ;; Regina Maria,,nan,Thesis,,,Università Ca' Foscari Venezia,2014,mag,1,50_nodoi.pdf,,
1840656621,10.1093/jis/etp023,Anwar Alam,2012,2009,,Why Does Egypt Resist the Responsibility to Protect (R2P) Doctrine,Dale E Anderson,,nan,Thesis,,,,2016,mag,1,49_nodoi.pdf,,
1840656621,10.1093/jis/etp023,Anwar Alam,2012,2009,,Il costituzionalismo e la tutela dei diritti negli ordinamenti islamici,Jens Woelk ;; Rosamaria Romano,,nan,Thesis,,,University of Trento,2011,mag,0,48_nodoi.pdf,,
1840656621,10.1093/jis/etp023,Anwar Alam,2012,2009,,Defeating Authoritarian State Structures in Semi-Democratic Countries: Lessons from Turkey’s Justice and Development Party,Gulcan Saglam,,nan,Thesis,,,,2012,mag,1,47_nodoi.pdf,,
2137877549,10.1177/0146167207312465,Lennart J Renkema;;Diederik A Stapel;;Marcus Maringer;;Nico W van Yperen,2013,2008,,Illegal immigration and worldview defense: Distaste for human migration in the context of TMT,John Matthew,,nan,Thesis,,,,2009,mag,0,45_nodoi.pdf,,
2137877549,10.1177/0146167207312465,Lennart J Renkema;;Diederik A Stapel;;Marcus Maringer;;Nico W van Yperen,2013,2008,,Mortality salience and worldview defense: the effect of death awareness and self-esteem on multicultural counseling competence,Nathaniel N. Ivers,,nan,Thesis,,,The University of North Carolina at Greensboro,2009,mag,0,44_nodoi.pdf,,
2137877549,10.1177/0146167207312465,Lennart J Renkema;;Diederik A Stapel;;Marcus Maringer;;Nico W van Yperen,2013,2008,,Illegal immigration and worldview defense: Distaste for human migration in the context of TMT,John Matthew Bergen,,nan,Thesis,,,,2009,mag,0,43_nodoi.pdf,,
2137877549,10.1177/0146167207312465,Lennart J Renkema;;Diederik A Stapel;;Marcus Maringer;;Nico W van Yperen,2013,2008,,"""Terrorism Is Theater"": How Antagonist Portrayals in Action Films Affect Stereotyping and Impression Formation",Katharine Elizabeth Hensley,,nan,Thesis,,,Virginia Tech,2010,mag,0,42_nodoi.pdf,,
2097384229,10.1080/014198700329114,Mart Bax,2014,2010,,Stealing Mostar The Role of Criminal Networks in the Ethnic Cleansing of Property,Arthur James Pignotti,,nan,Thesis,,,Arizona State University,2013,mag,0,40_nodoi.pdf,,
2097384229,10.1080/014198700329114,Mart Bax,2014,2010,,Why do they fight? Explaining participation in the War in Croatia,Cody McClain Brown,,nan,Thesis,,,University of Kansas,2013,mag,0,38_nodoi.pdf,,
1968685498,10.1016/j.leaqua.2011.02.002,Louis W Fry;;Sean T Hannah;;Michael Noel;;Frederick O Walumbwa,2014,2011,,Ethical Insights of Early 21st-Century Corporate Leaders,Kevin Blair Jones,,nan,Thesis,,,,2015,mag,1,34_nodoi.pdf,,
