cited_title,cited_doi,cited_publication_date,cited_author,cited_mag_id,cited_publication_year,cited_retraction_year,coci_citing_entities,coci_num_citations
When Words Hurt: Affective Word Use in Daily News Coverage Impacts Mental Health,10.3389/fpsyg.2018.01333,08/02/2018,Jolie B Wormwood; Madeleine Devlin; Yu Ru Lin; Lisa Feldman Barrett; Karen S Quigley,2886242761,08/02/2018,12/17/2020,10.1177/0165025419830248;; 10.17829/turcom.458433;; 10.3389/fpubh.2020.00175,3
Globalization and vulnerable populations in times of a pandemic: A Mayan perspective,10.1186/s13010-020-00093-4,10/12/2020,Claudia Ruiz Sotomayor; Alejandra Barrero,,10/12/2020,12/14/2020,,0
"Crisis of the nomological model, expectation of diligence and criminally relevant conduct. Comparative aspects on the definition of punishable fault",10.22034/jhi.2019.80908,08/01/2019,Dimitris Liakopoulos,3047018195,08/01/2019,12/12/2020,,0
Search of Self Amidst Chaos,10.1007/s40737-015-0023-8,03/14/2015,Pankaj Suneja,2130836170,03/14/2015,12/08/2020,,0
"The Good, the Bad, and the Ugly: Should We Completely Banish Human Albumin from Our Intensive Care Units",10.1097/00000539-200010000-00022,10/01/2000,Joachim Boldt,2039505288,10/01/2000,10/23/2020,10.1111/j.1476-4431.2005.00141.x;; 10.1007/s11739-012-0802-0;; 10.1517/14740338.6.4.407;; 10.1002/9781119129400.ch6;; 10.1007/s00101-007-1235-4;; 10.1002/9781118356807.ch12;; 10.1097/01.ccm.0000142574.00425.e9;; 10.1097/00075198-200208000-00005;; 10.1080/13693780500129814;; 10.1017/s0265021503001273;; 10.1007/978-3-662-10597-9_26;; 10.1002/9781444316780.ch6;; 10.1177/108925320400800405;; 10.1592/phco.23.1.88.31914;; 10.1179/acb.2007.092;; 10.1097/00003643-200310000-00003;; 10.1177/0115426505020003314;; 10.1097/00000539-200110000-00001;; 10.1093/ajhp/62.6.637;; 10.1111/j.0894-0959.2004.17603.x;; 10.1213/ane.0000000000005113,21
The Influence of Different Intravascular Volume Replacement Regimens on Renal Function in the Elderly,10.1213/00000539-199911000-00009,05/01/1999,Bernhard Kumle; Joachim Boldt; Sven Piper; Christian Schmidt; Stephan Suttner; Sanja Salopek,2796436963,05/01/1999,10/23/2020,10.3109/9781420016680-28;; 10.1186/1471-227x-8-1;; 10.1007/bf03017799;; 10.1007/bf03018316;; 10.1007/bf03040482;; 10.1177/039139880402701206;; 10.1002/14651858.cd003590.pub2;; 10.1002/14651858.cd003590.pub3;; 10.1002/14651858.cd003590.pub4;; 10.2165/00002018-200225120-00002;; 10.2165/00003088-200544070-00002;; 10.1007/s00540-008-0659-6;; 10.1007/s00540-010-1034-y;; 10.1097/01.ccm.0000139761.05492.d6;; 10.1111/trf.12892;; 10.1097/00075198-200212000-00009;; 10.1002/14651858.cd007594.pub2;; 10.1002/14651858.cd007594.pub3;; 10.1017/s0265021506000639;; 10.1017/s026502150800447x;; 10.1007/s00134-007-0716-x;; 10.1007/s00134-008-1225-2;; 10.1007/s00134-009-1509-1;; 10.1002/bjs.5726;; 10.1002/bjs.9943;; 10.1081/jdi-100103493;; 10.1097/aln.0b013e3181a7ec82;; 10.1097/01.shk.0000225415.5969694.ce;; 10.1002/9781444319583.ch12;; 10.1002/9781444319583.ch14;; 10.1097/00000539-200203000-00011;; 10.1097/00000539-200209000-00007;; 10.1097/00000539-200302000-00014;; 10.1097/00000539-200407000-00080;; 10.1007/978-0-387-85922-4_15;; 10.1213/ane.0000000000005113,36
Which Countries Publish in Important Anesthesia and Critical Care Journals,10.1213/00000539-199905000-00038,05/01/1999,Joachim Boldt; Wolfgang H Malek; Katharina P Koetter,,05/01/1999,10/23/2020,10.1111/j.1365-2044.2010.06424.x;; 10.1111/j.1365-2044.2008.05475.x;; 10.1111/j.1365-2044.2009.06011.x;; 10.1186/1471-2253-11-24;; 10.1186/1471-2253-12-5;; 10.1007/s11192-007-1962-y;; 10.1007/s11192-016-2179-8;; 10.1007/978-88-470-2793-0_23;; 10.1046/j.0265-0215.2000.00793.x;; 10.1007/s00101-005-0892-4;; 10.1007/s00101-014-2298-7;; 10.1097/ccm.0b013e318186aec8;; 10.1007/s10792-008-9278-3;; 10.3171/jns.2004.100.1.0073;; 10.1002/bjs.5571;; 10.1213/ane.0b013e31818f0e89;; 10.1186/s40560-015-0106-3;; 10.1097/00003643-200103000-00011;; 10.1097/00003643-200805001-00733;; 10.1213/ane.0000000000003846;; 10.1034/j.1399-6576.2003.00105.x;; 10.1034/j.1399-6576.2003.00137.x,22
Structural styles and origin of the Dabashan foreland arcuate belt and basin-mountain system in central China,10.1016/j.jseaes.2019.03.002,03/04/2019,Kai Cui; Yixuan Wang,2920537051,03/04/2019,10/17/2020,10.1002/gj.4006,1
Men’s music ability and attractiveness to women in a real-life courtship context,10.1177/0305735613482025,05/01/2013,Nicolas Guéguen; Sébastien Meineri; Jacques Fischer-Lokou,2168925826,05/01/2013,07/15/2020;; 10/08/2020,10.1080/08098131.2015.1088057;; 10.1177/0265407519859440;; 10.1007/978-3-030-02556-4_10;; 10.1007/s40750-018-0103-6;; 10.1007/s40806-018-0147-7;; 10.1002/jocb.78;; 10.1371/journal.pone.0183531;; 10.1007/978-3-319-39666-8_12;; 10.3389/fpsyg.2019.02627,9
Cognitive-behavioural therapy combined with music therapy for chronic fatigue following Epstein-Barr virus infection in adolescents: a feasibility study,10.1136/bmjpo-2019-000620,04/09/2020,Sadak Malik; Tarjei Tørre Asprusten; Maria Pedersen; Julie Mangersnes; Gro Trondalen; Betty van Roy; Eva Skovlund; Vegard Bruun Wyller,3015365171,04/09/2020,10/01/2020,,0
