citing_doi,citing_title,citing_author,citing_publication_year,cited_doi,cited_publication_year,cited_retraction_year
10.17829/turcom.458433,Sağlık Haberlerinde Risk Söylemi,"Kayıhan, Bahar; Hülür, Himmet",2019,10.3389/fpsyg.2018.01333,08/02/2018,12/17/2020
10.1007/s11739-012-0802-0,Hypoalbuminemia,"Gatta, Angelo; Verardo, Alberto; Bolognesi, Massimo",2012,10.1097/00000539-200010000-00022,10/01/2000,10/23/2020
10.1002/9781119129400.ch6,Fluid And Electrolyte Balance,"Scorza, William E.; Maynard, Sharon; Scardella, Anthony",2018,10.1097/00000539-200010000-00022,10/01/2000,10/23/2020
10.1007/978-3-662-10597-9_26,Therapie Mit Albumin,"Lundsgaard-Hansen, P.",2004,10.1097/00000539-200010000-00022,10/01/2000,10/23/2020
10.1002/9781444316780.ch6,Fluid And Electrolyte Balance,"Scorza, William E.; Scardella, Anthony",2011,10.1097/00000539-200010000-00022,10/01/2000,10/23/2020
10.1097/00003643-200310000-00003,Albumin Administration - What Is The Evidence Of Clinical Benefit? A Systematic Review Of Randomized Controlled Trials,"Haynes, G. R.; Navickis, R. J.; Wilkes, M. M.",2003,10.1097/00000539-200010000-00022,10/01/2000,10/23/2020
10.1213/ane.0000000000005113,Notice Of Retraction,,2020,10.1097/00000539-200010000-00022,10/01/2000,10/23/2020
10.3109/9781420016680-28,Fluid Balance In Day Surgery,,2016,10.1213/00000539-199911000-00009,05/01/1999,10/23/2020
10.1002/14651858.cd003590.pub2,Interventions For Protecting Renal Function In The Perioperative Period,"Zacharias, M; Gilmore, Ics; Herbison, Gp; Sivalingam, P; Walker, Rj",2005,10.1213/00000539-199911000-00009,05/01/1999,10/23/2020
10.1002/14651858.cd003590.pub3,Interventions For Protecting Renal Function In The Perioperative Period,"Zacharias, Mathew; Conlon, Niamh P; Herbison, G Peter; Sivalingam, Pal; Walker, Robert J; Hovhannisyan, Karen",2008,10.1213/00000539-199911000-00009,05/01/1999,10/23/2020
10.1002/14651858.cd007594.pub2,Hydroxyethyl Starch (Hes) Versus Other Fluid Therapies: Effects On Kidney Function,"Dart, Allison B; Mutter, Thomas C; Ruth, Chelsea A; Taback, Shayne P",2010,10.1213/00000539-199911000-00009,05/01/1999,10/23/2020
10.1002/9781444319583.ch12,Hydroxyethyl Starch And Renal Dysfunction,"Jacob, Laurent; Heming, Nicholas; Guidet, Bertrand",2010,10.1213/00000539-199911000-00009,05/01/1999,10/23/2020
10.1097/00000539-200209000-00007,"The Pharmacokinetics And Tolerability Of An Intravenous Infusion Of The New Hydroxyethyl Starch 130/0.4 (6%, 500 Ml) In Mild-To-Severe Renal Impairment","Jungheinrich, Cornelius; Scharpf, Roland; Wargenau, Manfred; Bepperling, Frank; Baron, Jean-Fran??Ois",2002,10.1213/00000539-199911000-00009,05/01/1999,10/23/2020
10.1213/ane.0000000000005113,Notice Of Retraction,,2020,10.1213/00000539-199911000-00009,05/01/1999,10/23/2020
10.1111/j.1365-2044.2010.06424.x,National Representation In The Anaesthesia Literature: A Bibliometric Analysis Of Highly Cited Anaesthesia Journals*,"Bould, M. D.; Boet, S.; Riem, N.; Kasanda, C.; Sossou, A.; Bruppacher, H. R.",2010,10.1213/00000539-199905000-00038,05/01/1999,10/23/2020
10.1111/j.1365-2044.2008.05475.x,Decline In Research Publications From The United Kingdom In Anaesthesia Journals From 1997 To 2006,"Feneck, R. O.; Natarajan, N.; Sebastian, R.; Naughton, C.",2008,10.1213/00000539-199905000-00038,05/01/1999,10/23/2020
10.1111/j.1365-2044.2009.06011.x,The Effect Of The European Clinical Trials Directive On Published Drug Research In Anaesthesia,"Walker, E.; Hankins, M. C.; White, S. M.",2009,10.1213/00000539-199905000-00038,05/01/1999,10/23/2020
10.1186/1471-2253-11-24,A Bibliometric Search Of Citation Classics In Anesthesiology,"Tripathi, Ravi S; Blum, James M; Papadimos, Thomas J; Rosenberg, Andrew L",2011,10.1213/00000539-199905000-00038,05/01/1999,10/23/2020
10.1186/1471-2253-12-5,Recent Trends In Publication Of Basic Science And Clinical Research By United States Investigators In Anesthesia Journals,"Pagel, Paul S; Hudetz, Judith A",2012,10.1213/00000539-199905000-00038,05/01/1999,10/23/2020
10.1007/s11192-007-1962-y,National Research Contributions: A Case Study On Finnish Biomedical Research,"Riikonen, Pentti; Vihinen, Mauno",2008,10.1213/00000539-199905000-00038,05/01/1999,10/23/2020
10.1007/s11192-016-2179-8,"Bibliometric Analysis Of Scientific Publications In Endocrinology And Metabolism From China, Japan, And South Korea","Lyu, Qiu-Ju; Pu, Qiang-Hong; Zhang, Jin",2016,10.1213/00000539-199905000-00038,05/01/1999,10/23/2020
10.1007/978-88-470-2793-0_23,Metodo Della Ricerca Clinica In Anestesia,"Pelosi, Paolo; Vargas, Maria; Brusasco, Claudia",2012,10.1213/00000539-199905000-00038,05/01/1999,10/23/2020
