Reason,Description
Author Unresponsive,"Author(s) lack of communication after prior contact by Journal, Publisher or other original Authors"
Breach of Policy by Author,"A violation of the Journal, Publisher or Institutional accepted practices by the author"
Breach of Policy by Third Party,"A violation of the Journal, Publisher or Institutional accepted practices by a person or company/institution not the authors"
Cites Prior Retracted Work,A retracted item is used in citations or referencing
Civil Proceedings,Non-criminal litigation arising from the publication of the original article or the related notice(s)
Complaints about Author,Allegations made strictly about the author without respect to the original article
Complaints about Company/Institution,Allegations made strictly about the author’s affiliation(s) without respect to the original article
Complaints about Third Party,Allegations made strictly about those not the author or the author’s affiliation(s) without respect to the original article
Concerns/Issues About Authorship,"Any question, controversy or dispute over the rightful claim to authorship, excluding forged authorship"
Concerns/Issues About Data,"Any question, controversy or dispute over the validity of the data"
Concerns/Issues About Image,"Any question, controversy or dispute over the validity of the image"
Concerns/Issues about Referencing/Attributions,"Any question, controversy or dispute over whether ideas, analyses, text or data are properly credited to the originator"
Concerns/Issues About Results,"Any question, controversy or dispute over the validity of the results"
Concerns/Issues about Third Party Involvement,"Any question, controversy or dispute over the rightful claim to authorship, excluding forged authorship"
Conflict of Interest,"Authors having affiliations with companies, associations, or institutions that may serve to influence their belief about their findings"
Contamination of Cell Lines/Tissues,Impurities found within cell lines or tissues
Contamination of Materials (General),Impurities found within compounds or solutions used in experiments
Contamination of Reagents,Impurities found within compounds or solutions used to drive experimental outcomes
Copyright Claims,Dispute concerning right of ownership of a publication
Criminal Proceedings,Court actions that may result in incarceration or fines arising from the publication of the original article or the related notice(s)
Date of Retraction/Other Unknown,"A lack of publishing date given on the notice – or the date on the notice is not representative of the actual notice date. Commonly found when Publishers overwrite the original article’s HTML page with the retraction notice, without changing the publication date to reflect such."
Doing the Right Thing,An attribution made by co-founders of Retraction Watch indicating admirable behavior by one of the involved parties
Duplication of Article,"Also known as “self-plagiarism”. Used when an entire published item, or undefined sections of it, written by one or all authors of the original article, are repeated in the original article without appropriate citation."
Duplication of Data,"Also known as “self-plagiarism”. Used when the all or part of the data from an item written by one or all authors of the original article, are repeated in the original article without appropriate citation."
Duplication of Image,Also known as “self-plagiarism”. Used when an image from an item written by one or all authors of the original article is repeated in the original article without appropriate citation.
Duplication of Text,"Also known as “self-plagiarism”. Used when sections of text from an item written by one or all authors of the original article, are repeated in the original article without appropriate citation."
Duplicate Publication through Error by Journal/Publisher,"Used when a Journal or Publisher incorrectly publishes the same article more than once. Differs from Duplication of Article, which is typically due to dual submission by the article’s authors."
Error by Journal/Publisher,A mistake attributed to a Journal Editor or Publisher
Error by Third Party,"A mistake attributed to a person or other, who is not an author or representative of the Journal or Publisher"
