RID,"Retraction or Other Notices
Title/Subject(s)/Journal --- Publisher/Affiliation(s)/Retraction Watch Post URL(s)
490 Item(s) Found",Reason(s),Author(s),"Original Paper
Date/PubMedID/DOI","Retraction or Other Notices
Date/PubMedID/DOI","Article Type(s)
Nature of Notice","Countries
Paywalled?
Notes"
24927,"When Words Hurt: Affective Word Use in Daily News Coverage Impacts Mental Health
(HUM) Journalism; (SOC) Psychology; 
Frontiers in Psychology ---Frontiers
Department of Psychology, Northeastern University, Boston, MA, United States School of Computing and Information, University of Pittsburgh, Pittsburgh, PA, United States Department of Psychiatry, Massachusetts General Hospital, Athinoula A. Martinos Center for Biomedical Imaging, Charlestown, MA, United States Edith Nourse Rogers Memorial (VA) Medical Center, Center for Healthcare Organization and Implementation Research, Bedford, MA, United State",+Error in Data+Error in Methods+Error in Results and/or Conclusions,"Jolie B Wormwood
Madeleine Devlin
Yu Ru Lin
Lisa Feldman Barrett
Karen S Quigley","08/02/2018
30116210
10.3389/fpsyg.2018.01333","12/17/2020
33391138
10.3389/fpsyg.2020.630044","Research Article
Retraction","United States
No"
24906,"Globalization and vulnerable populations in times of a pandemic: A Mayan perspective
(HSC) Medicine - Infectious Disease; (HSC) Public Health and Safety; (HUM) History - South America; 
Philosophy, Ethics, and Humanities in Medicine ---Springer - Biomed Central (BMC)
Pellegrino Center for Clinical Bioethics, Georgetown University, Washington DC, USA Department of Neonatology, Beth Israel Deaconess Medical Center, Boston, Massachusetts Harvard Medical School, Department of Pediatrics, Boston, Massachusetts, USA",+Error by Journal/Publisher+Error in Text,"Claudia Ruiz Sotomayor
Alejandra Barrero","10/12/2020
33040737
10.1186/s13010-020-00093-4","12/14/2020
33317564
10.1186/s13010-020-00098-z","Review Article
Retraction","United States
No"
24776,"Crisis of the nomological model, expectation of diligence and criminally relevant conduct. Comparative aspects on the definition of punishable fault
(HUM) Philosophy; (SOC) Law/Legal Issues; 
Journal of Humanities Insights ---Iranian-Australian Community of Science
European Union Law at the Fletcher School-Tufts University
http://retractionwatch.com/2020/12/14/legal-researcher-up-to-23-retractions-for-false-affiliations-plagiarism/",+Date of Retraction/Other Unknown+False Affiliation+Notice - Lack of+Withdrawal,Dimitris Liakopoulos,"08/01/2019
00000000
10.22034/jhi.2019.80908","12/12/2020
00000000
unavailable","Review Article
Retraction","United States
No"
24759,"Search of Self Amidst Chaos
(HUM) Arts - Music; (SOC) Psychology; 
Journal of Psychosocial Rehabilitation and Mental Health ---Springer
Flat No. 219, Pocket A-1, Sector-6, Rohini, New Delhi, 110085, India",+Notice - Limited or No Information,Pankaj Suneja,"03/14/2015
00000000
10.1007/s40737-015-0023-8","12/08/2020
00000000
10.1007/s40737-020-00208-2","Commentary/Editorial
Retraction","India
No"
24632,"Must the Relation of Substantial Composition Be a Mode William of Ockham’s Answers
(HUM) Philosophy; 
Archives d'histoire doctrinale et littéraire du Moyen Âge ---Librairie philosophique J. Vrin
Universität Hamburg, Überseering 35, Postfach #4, 20146 Hamburg, Germany",+Date of Retraction/Other Unknown+Notice - Limited or No Information,Magali Roques,"01/01/2018
00000000
unavailable","11/18/2020
00000000
unavailable","Review Article
Retraction","Germany
No"
24633,"Ockham on the Parts of the Continuum
(HUM) Philosophy; 
Oxford Studies in Medieval Philosophy ---Oxford University Press
unavailable",+Date of Retraction/Other Unknown+Plagiarism of Article,Magali Roques,"09/01/2017
00000000
unavailable","11/16/2020
00000000
unavailable","Review Article
Retraction","Germany
No"
24463,"The Good, the Bad, and the Ugly: Should We Completely Banish Human Albumin from Our Intensive Care Units
(HSC) Medicine - Anesthesia/Anaesthesia; (HUM) Journalism; 
Anesthesia & Analgesia ---Wolters Kluwer - Lippincott Williams & Wilkins
Department of Anesthesiology and Intensive Care Medicine, Klinikum der Stadt Ludwigshafen, Ludwigshafen, Germany
http://retractionwatch.com/?s=%22joachim+boldt%22",+Investigation by Company/Institution+Misconduct - Official Investigation/Finding+Misconduct by Author,Joachim Boldt,"10/01/2000
11004043
10.1097/00000539-200010000-00022","10/23/2020
33094990
10.1213/ANE.0000000000005113","Review Article
Retraction","Germany
No"
24462,"The Influence of Different Intravascular Volume Replacement Regimens on Renal Function in the Elderly
(HSC) Medicine - Anesthesia/Anaesthesia; (HUM) Journalism; 
Anesthesia & Analgesia ---Wolters Kluwer - Lippincott Williams & Wilkins
Department of Anesthesiology and Intensive Care Medicine, Klinikum der Stadt Ludwigshafen, Ludwigshafen, Germany Department of Surgery, Klinikum der Stadt Ludwigshafen, Ludwigshafen, Germany
http://retractionwatch.com/?s=%22joachim+boldt%22",+Investigation by Company/Institution+Misconduct - Official Investigation/Finding+Misconduct by Author,"Bernhard Kumle
Joachim Boldt
Sven Piper
Christian Schmidt
Stephan Suttner
Sanja Salopek","05/01/1999
10553822
10.1213/00000539-199911000-00009","10/23/2020
33094990
10.1213/ANE.0000000000005113","Research Article
Retraction","Germany
No"
24461,"Which Countries Publish in Important Anesthesia and Critical Care Journals
(HSC) Medicine - Anesthesia/Anaesthesia; (HUM) Journalism; 
Anesthesia & Analgesia ---Wolters Kluwer - Lippincott Williams & Wilkins
Department of Anesthesiology and Intensive Care Medicine, Klinikum der Stadt Ludwigshafen, Ludwigshafen Neurological Intensive Care Unit, Leopoldina-Hospital, Schweinfurt, Germany
http://retractionwatch.com/?s=%22joachim+boldt%22",+Investigation by Company/Institution+Misconduct - Official Investigation/Finding+Misconduct by Author,"Joachim Boldt
Wolfgang H Malek
Katharina P Koetter","05/01/1999
10320190
10.1213/00000539-199905000-00038","10/23/2020
33094990
10.1213/ANE.0000000000005113","Research Article
Retraction","Germany
No"
24406,"Structural styles and origin of the Dabashan foreland arcuate belt and basin-mountain system in central China
(HUM) History - Asia; (PHY) Geology; 
Journal of Asian Earth Sciences ---Elsevier
Key Laboratory of Transportation Tunnel Engineering of the Ministry of Education, Southwest Jiaotong University, Chengdu, Sichuan Province, China School of Civil Engineering, Southwest Jiaotong University, Chengdu, Sichuan Province, China",+Plagiarism of Image,"Kai Cui
Yixuan Wang","03/04/2019
00000000
10.1016/j.jseaes.2019.03.002","10/17/2020
00000000
10.1016/j.jseaes.2020.104384","Research Article
Retraction","China
No"
