volume,author,title,year,issue,citation_count,doi,page,source_id,reference,oa_link,citation,source_title
"2015","Peng, Changhai; Wu, Xiao","Case Study Of Carbon Emissions From A Building’S Life Cycle Based On Bim And Ecotect","2015","","2","10.1155/2015/954651","1-15","issn:1687-8434; issn:1687-8442","10.1007/s11367-010-0190-5; 10.1007/s11367-011-0342-2; 10.1016/0378-7788(93)90016-n; 10.1016/0378-7788(94)90024-8; 10.1016/j.buildenv.2006.10.027; 10.1016/j.buildenv.2009.05.001; 10.1016/j.buildenv.2012.11.009; 10.1016/j.conbuildmat.2007.11.012; 10.1016/j.enbuild.2006.07.001; 10.1016/j.enbuild.2006.12.009; 10.1016/j.enbuild.2010.05.007; 10.1016/j.enbuild.2014.04.023; 10.1016/j.rser.2009.01.002; 10.1016/j.rser.2012.09.024; 10.1016/j.rser.2012.12.037; 10.1016/s0360-1323(03)00031-3; 10.1016/s0360-1323(96)00068-6; 10.1016/s0378-7788(01)00141-4; 10.1016/s0378-7788(98)00010-3; 10.1061/(asce)1076-0342(2003)9:4(157); 10.1155/2013/983721; 10.1243/095765006x76009","http://downloads.hindawi.com/journals/amse/2015/954651.pdf","10.1155/2016/8513293; 10.1155/2017/2193505","Advances In Materials Science And Engineering"
"57","Anand, Y.; Gupta, A.; Tyagi, S.K.; Anand, S.","Retracted: Computational Fluid Dynamics, A Building Simulation Tool For Achieving Sustainable Buildings","2016","","0","10.1016/j.rser.2015.12.198","1174-1185","issn:1364-0321","","","","Renewable And Sustainable Energy Reviews"
"174","Kuyrukçu, Emine Yıldız; Kuyrukçu, Zafer","Retracted: The Examples Of The Studio Approach That Based On Metaphors","2015","","0","10.1016/j.sbspro.2015.01.949","2658-2665","issn:1877-0428","","https://doi.org/10.1016/j.sbspro.2015.01.949","","Procedia - Social And Behavioral Sciences"
"89","Niroumand, Hamed; Zain, M.F.M.; Jamil, Maslina","Retracted: Earth Architecture In The World","2013","","0","10.1016/j.sbspro.2013.08.841","237-242","issn:1877-0428","","https://doi.org/10.1016/j.sbspro.2013.08.841","","Procedia - Social And Behavioral Sciences"
"56","Hongzhen, Xu; Guosun, Zeng","Retracted: Specification And Verification Of Dynamic Evolution Of Software Architectures","2010","10","2","10.1016/j.sysarc.2010.08.005","523-533","issn:1383-7621","","","10.1109/sbcars.2013.24; 10.1109/sbcars.2014.18","Journal Of Systems Architecture"
"18","Utaberta, N.; Hassanpour, B.; Ani, A.I. Che; Surat, M.","Retracted: Reconstructing The Idea Of Critique Session In Architecture Studio","2011","","2","10.1016/j.sbspro.2011.05.014","94-102","issn:1877-0428","","https://doi.org/10.1016/j.sbspro.2011.05.014","10.1108/jedt-08-2017-0079; 10.21326/ksdt.2016..53.008","Procedia - Social And Behavioral Sciences"
"","Jianning, Cui; Yong, Li; Xu, Han; Jinfeng, Mao","Notice Of Retraction: The Study Of Energy Saving Technology For Different Regions","2011","","0","10.1109/icebeg.2011.5881435","","","","","","2011 International Conference On E-Business And E-Government (Icee)"
"","Fangcun Song; Hu Jia","Notice Of Retraction: Numerical Simulation Of Overall Stability Of Concrete Filled Steel Tube Arch Bridge","2010","","0","10.1109/iccasm.2010.5619365","","","","","","2010 International Conference On Computer Application And System Modeling (Iccasm 2010)"
"","Li Da-Hua; Zhang Si-Bing","Notice Of Retraction: Classification And Decision Of Architectural Structure Based On Similarity Measurement And Risk Analysis","2010","","0","10.1109/icams.2010.5552908","","","10.1016/s0166-3615(01)00147-6; 10.1109/icassp.1990.115636; 10.1109/icassp.1990.115765; 10.1109/icsr.1998.685754; 10.1111/0272-4332.216170; 10.1145/225014.225032; 10.1214/aos/1028144844; 10.1243/09544097jrrt34; 10.2469/faj.v52.n6.2039; 10.6028/nist.sp.800-30","","","2010 Ieee International Conference On Advanced Management Science(Icams 2010)"
"","Li-Fang Qiao; Shu-Jing Zheng; Yao Wang; Lilei Zhang","Notice Of Retraction: Application Of Sketchup In The Teaching Of Landscape Design Of Undergraduate College","2010","","1","10.1109/opee.2010.5507971","","","","","10.1109/3pgcic.2012.22","2010 International Conference On Optics, Photonics And Energy Engineering (Opee)"
"52","Liu, Y.; Yan, H.","Designer Dna Architectures For Nanobiotechnology","2008","1","0","10.1093/nass/nrn048","93-94","issn:0261-3166; issn:1746-8272","","https://academic.oup.com/nass/article-pdf/52/1/93/3863236/nrn048.pdf","","Nucleic Acids Symposium Series"
