citation,volume,title,page,reference,citation_count,oa_link,author,doi,issue,source_title,source_id,year
"","33","Retracted Book Review: Cloning The War On Terror","x-xii","","0","","Weil, Harry J.","10.1080/09502386.2012.658076","5","Cultural Studies","issn:0950-2386; issn:1466-4348","2012"
"","10","A Daily Dose Of Humanities","341-342","","0","https://www.jgme.org/doi/pdf/10.4300/JGME-D-17-00910.1","Potyk, Darryl; Swanson, Judy; Benson, Judy","10.4300/jgme-d-17-00910.1","3","Journal Of Graduate Medical Education","issn:1949-8349; issn:1949-8357","2018"
"","390","Retracted: A Check-Up On Canada'S Health System","2341-2342","","0","https://doi.org/10.1016/s0140-6736(17)32871-4","Wasan, Kishor M; Wasan, Ellen K; Kalra, Jawahar","10.1016/s0140-6736(17)32871-4","10110","The Lancet","issn:0140-6736","2017"
"","5","[Retracted] A Discourse Analysis Of German Fairy Tale “Rapunzel” Written By The Brothers Grimm","219","","0","https://ethicallingua.org/25409190/article/download/10/6","Syam, Andi Tenrisanna","10.30605/ethicallingua.v5i2.1037","2","Ethical Lingua: Journal Of Language Teaching And Literature","issn:2540-9190; issn:2355-3448","2018"
"","30","Autumn Interiors, Or The Ladies Eve: Woody Allen'S Ingmar Bergman-Complex","387-399","","0","","Cardullo, Bert","10.1177/004724410003012003","120","Journal Of European Studies","issn:0047-2441; issn:1740-2379","2000"
"","27","The American Marshall Plan Film Campaign And The Europeans: A Captivated Audience?","386-387","","0","","Parkes, Stuart","10.1080/14782804.2018.1541673","3","Journal Of Contemporary European Studies","issn:1478-2804; issn:1478-2790","2018"
"","42","Withdrawn–Administrative Duplicate Publication The Effects Of Windblown Sand On The Deterioration Of Mural Paintings In Cave 285, In Mogao Caves, Dunhuang","NP1-NP20","10.1006/jare.2000.0748; 10.1007/s00254-006-0281-6; 10.1007/s10064-004-0239-4; 10.1016/j.gr.2013.08.017; 10.1038/srep04341; 10.4028/www.scientific.net/amm.461.469","0","","Mikayama, Akane; Hokoi, Shuichi; Ogura, Daisuke; Okada, Ken; Su, Bomin","10.1177/1744259118773387","5","Journal Of Building Physics","issn:1744-2591; issn:1744-2583","2018"
"","60","The Princess Of Polka Dots: Using Art As A Medium To Cope With Hallucinations","156","","0","https://doi.org/10.4103/psychiatry.indianjpsychiatry_149_18","Suma, Kv; Chandran, Suhas; Sathyanarayana Rao, Ts","10.4103/psychiatry.indianjpsychiatry_149_18","1","Indian Journal Of Psychiatry","issn:0019-5545","2018"
"","123","Retracted: Photophysics Of Artist’S Pigments","293-297","","0","http://discovery.ucl.ac.uk/10064515/1/AuthAccMs%20-%20Photophysics%20of%20Artists%20Pigments.pdf","Accorsi, Gianluca; Verri, Giovanni; Acocella, Angela; Saunders, David; De Fonjaudran, Charlotte Martin; Tamburini, Diego; Rava, Amarilli; Whittaker, Samuel; Zerbetto, Francesco","10.1016/j.measurement.2018.03.082","","Measurement","issn:0263-2241","2018"
"","43","Withdrawn: Fundamentals Of Electronic Resources Management","550","","0","","","10.1016/j.acalib.2017.09.010","6","The Journal Of Academic Librarianship","issn:0099-1333","2017"
"10.1109/icalip.2014.7009911","","Notice Of Retraction: The Study On Simulating Binaural Room Impulse Response","","10.1121/1.412407; 10.1121/1.423953","1","","Guo, Tian-Kui; Zhao, Yue-Zhe; Guo, Tian-Kui","10.1109/iccsit.2010.5564505","","2010 3Rd International Conference On Computer Science And Information Technology","","2010"
"","","Retracted Article: Wassily Kandinsky’S The Yellow Sound As A Total Work Of Art","","","0","https://link.springer.com/content/pdf/10.1007%2Fs11059-017-0384-y.pdf","Cardullo, R. J., 0000-0001-5769-0864","10.1007/s11059-017-0384-y","","Neohelicon","issn:0324-4652; issn:1588-2810","2017"
"","32","For There Is Work To Be Done: Poetry And Commentary","245-250","","0","","Reisman, Jonathan; Nigliazzo, Stacy; Buckley, Sarah; Childers, Ryan; Shafer, Audrey","10.1007/s10912-011-9141-9","3","Journal Of Medical Humanities","issn:1041-3545; issn:1573-3645","2011"
"","36","Retracted Article: People Say There Are No Accidents: Poetry And Commentary","405-405","","0","https://link.springer.com/content/pdf/10.1007%2Fs10912-009-9096-2.pdf","Gardner, Caleb; Golestaneh, Ladan; Dhillon, Baljean; Shafer, Audrey","10.1007/s10912-009-9096-2","4","Journal Of Medical Humanities","issn:1041-3545; issn:1573-3645","2010"
"","36","Retracted Article: Seasons","403-403","","0","https://link.springer.com/content/pdf/10.1007%2Fs10912-010-9122-4.pdf","Reisman, Jonathan","10.1007/s10912-010-9122-4","4","Journal Of Medical Humanities","issn:1041-3545; issn:1573-3645","2010"
"10.1177/0305735617748205; 10.1177/0305735618755887; 10.1177/0146167217703064; 10.1002/jcop.21949; 10.1080/13676261.2016.1260696; 10.1002/ab.21492; 10.1002/ab.21531; 10.1002/ab.21668; 10.1002/acp.3084; 10.1002/9781119057574.whbva121; 10.1027/1864-1105/a000144; 10.1371/journal.pone.0144384; 10.1111/asap.12107; 10.1177/2059204317743118","47","The Effect Of Auditory Versus Visual Violent Media Exposure On Aggressive Behaviour: The Role Of Song Lyrics, Video Clips And Musical Tone","794-799","","14","","Brummert Lennings, Heidi I.; Warburton, Wayne A.","10.1016/j.jesp.2011.02.006","4","Journal Of Experimental Social Psychology","issn:0022-1031","2011"
"","6","Retracted Article: Two Thinks At A Time","345-356","10.2307/2935377","0","","Marrouchi, Mustapha","10.1080/14788810903264795","3","Atlantic Studies","issn:1478-8810; issn:1740-4649","2009"
