RID,Retraction or Other Notices Title/Subject(s)/Journal --- Publisher/Affiliation(s)/Retraction Watch Post URL(s) 91 Item(s) Found,Reason(s),Author(s),Original Paper Date/PubMedID/DOI,Retraction or Other Notices Date/PubMedID/DOI,Article Type(s) Nature of Notice,Countries Paywalled? Notes
20477,A Study on Viewing Act Under the Influence of Viewer's Density And Scale of Basic Exhibition Tanks (HUM) Architecture;  Journal of Architecture and Planning (Transactions of AIJ) ---Architectural Institute of Japan unavailable,+Notice - Limited or No Information,Yukio Tsuboyama Shinji Satoh Yoshio Kobayashi,02/02/2017 00000000 10.3130/aija.62.95_1,03/30/2019 00000000 10.3130/aija.84.751,Research Article Retraction,Unknown No
19976,Flexible scenarios to build a service oriented architecture on demand (B/T) Technology; (HUM) Architecture;  Journal of Fundamental and Applied Sciences ---University of El Qued unavailable http://retractionwatch.com/2019/02/20/journal-retracts-more-than-400-papers-at-once/,+Date of Retraction/Other Unknown+Notice - Limited or No Information+Withdrawal+Withdrawn to Publish in Different Journal,Sami Hassan Omar Sabraldeen Aziz,10/01/2018 00000000 unavailable,10/01/2018 00000000 unavailable,Conference Abstract/Paper Retraction,Unknown No
7918,"Case Study of Carbon Emissions from a Building’s Life Cycle Based on BIM and Ecotect (HUM) Architecture; (PHY) Engineering - General;  Advances in Materials Science and Engineering ---Hindawi School of Architecture, Southeast University, Nanjing 210096, ChinaKey Laboratory of Urban and Architectural Heritage Conservation (Southeast University), Ministry of Education, Nanjing 210096, ChinaCollege of Engineering and Applied Science, University of Colorado Denver, Denver, CO 80217, USA",+Duplication of Article,Changhai Peng Xiao Wu,06/14/2015  10.1155/2015/954651,04/05/2017  10.1155/2017/2193505,Case Report Retraction,China United States No
5147,"Computational fluid dynamics, a building simulation tool for achieving sustainable buildings (B/T) Technology; (HUM) Architecture; (PHY) Engineering - Structural;  Renewable and Sustainable Energy Reviews ---Elsevier School of Energy Management, Shri Mata Vaishno Devi University, Katra 182320, J&K, India Sardar Swaran Singh National Institute of Renewable Energy, Kapurthala 144601 Punjab, India",+Breach of Policy by Author+Plagiarism of Article+Plagiarism of Text,Yatheshth Anand Ankush Gupta Satish K Tyagi Sanjeev Anand,05/01/2016  10.1016/j.rser.2015.12.198,10/01/2016  10.1016/j.rser.2016.06.032,Review Article Retraction,India No
18419,"The Examples of the Studio Approach that Based on Metaphors (HUM) Architecture;  Procedia - Social and Behavioral Sciences ---Elsevier Research Assist, Selcuk University, Architecture Faculty, Department of Architecture, 42003 Konya, Turkey",+Plagiarism of Article,Emine Yildiz Kuyrukcu Zafer Kuyrukcu,02/12/2015 00000000 10.1016/j.sbspro.2015.01.949,03/29/2015 00000000 10.1016/j.sbspro.2015.01.949,Research Article Retraction,Turkey No
18791,"Earth Architecture in the World (HUM) Architecture;  Procedia - Social and Behavioral Sciences ---Elsevier Department of architecture, Faculty of engineering and built environment, National University of Malaysia (UKM), Malaysia",+Plagiarism of Article,Hamed Niroumand M F M Zain Maslina Jamil,10/10/2013 00000000 10.1016/j.sbspro.2013.08.841,10/24/2013 00000000 10.1016/j.sbspro.2013.08.841,Review Article Retraction,Malaysia No
5424,"Specification and Verification of Dynamic Evolution of Software Architectures (B/T) Technology; (HUM) Architecture;  Journal of Systems Architecture ---Elsevier Department of Computer Science and Technology, Tongji University, Shanghai 201804, ChinaDepartment of Computer Science and Technology, East China Institute of Technology, Fuzhou, Jiangxi Province 344000, ChinaApplication of Nuclear Technology Engineering Center of Ministry of Education, Nanchang, Jiangxi Province 330013, ChinaEmbedded System and Service Computing Key Lab of Ministry of Education, Shanghai 201804, China http://retractionwatch.com/2012/09/07/comp-sci-journal-retracts-paper-for-overlap/",+Duplication of Article+Investigation by Journal/Publisher,Xu Hongzhen Zeng Guosun,10/01/2010  10.1016/j.sysarc.2010.08.005,09/01/2012  10.1016/j.sysarc.2012.08.001,Research Article Retraction,China No
15368,"The Application of Investigation Teaching Method in Class Instruction of Landscape Architecture (B/T) Urban Planning; (HUM) Architecture; (PHY) Materials Science; (PHY) Mathematics; (SOC) Education;  2011 2nd Intl Conf on Artificial Intelligence, Management Science and Electronic Commerce ---Institute of Electrical and Electronics Engineers (IEEE) Department of Horticulture, Henan Institute of Science and Technology, Xinxiang, 453003, China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Notice - Limited or No Information,Jie Ma Guirong Li Hong Liu,08/08/2011,09/06/2011  10.1109/AIMSEC.2011.6011059,Conference Abstract/Paper Retraction,China No
18861,"Reconstructing the Idea of Critique Session in Architecture Studio (HUM) Architecture;  Procedia - Social and Behavioral Sciences ---Elsevier Faculty of Engineering and Built Environment, Universiti Kebangsaan Malaysia, 43600 UKM Bangi, Selangor, Malaysia",+Date of Retraction/Other Unknown+Plagiarism of Article,Nangkula Utaberta Badiossadat Hassanpour Adi Irfan Che Ani Mastor Surat,01/01/2011 00000000 10.1016/j.sbspro.2011.05.014,06/25/2011 00000000 10.1016/j.sbspro.2011.05.014,Research Article Retraction,Malaysia No
9305,"An Idea for Evaluation System of Government Supervision and Management in Construction Quality (B/T) Government; (HUM) Architecture; (SOC) Law/Legal Issues;  2011 International Conference on E-Business and E-Government (ICEE) ---Institute of Electrical and Electronics Engineers (IEEE) Department of Engineering Management, Tianjin Institute of Urban Construction, Tianjin, P. R. China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Notice - Limited or No Information,Guo Han-Ding Zhann Yin-Xian Ma Hui Li Fen-Fang,05/06/2011,06/16/2011  10.1109/ICEBEG.2011.5881455,Conference Abstract/Paper Retraction,China No
