RID,"Retraction or Other Notices
Title/Subject(s)/Journal --- Publisher/Affiliation(s)/Retraction Watch Post URL(s)
155 Item(s) Found",Reason(s),Author(s),"Original Paper
Date/PubMedID/DOI","Retraction or Other Notices
Date/PubMedID/DOI","Article Type(s)
Nature of Notice","Countries
Paywalled?
Notes"
21598,"A biblical view of eating and nutrition in contrast to that in Graeco-Roman writings: restraint, respect, purpose, and order
(BLS) Nutrition; (HUM) Arts -Literature/Poetry; (HUM) Religion; 
Israel Affairs ---Taylor and Francis
University of Illinois at Chicago College of Medicine Wayne State University, Detroit, Michigan Private Practice, Tel Aviv, Israel",+Euphemisms for Plagiarism+Plagiarism of Article,"Kalman J Kaplan
Matthew B Schwartz
Moriah Markus-Kaplan","08/08/2019
00000000
10.1080/13537121.2019.1645965","11/08/2019
00000000
10.1080/13537121.2019.1686249","Research Article
Retraction","Israel
United States
No"
20666,"Cloning the War on Terror
(HUM) Arts -Literature/Poetry; 
Cultural Studies ---Taylor and Francis
unavailable",+Duplication of Article,Harry J Weil,"02/15/2012
00000000
10.1080/09502386.2012.658076","06/04/2019
00000000
10.1080/09502386.2019.1621075","Review Article
Retraction","Unknown
No"
20686,"A Daily Dose of Humanities
(HSC) Medicine - General; (HUM) Arts - General; (SOC) Education; 
Journal of Graduate Medical Education ---Accreditation Council for Graduate Medical Education
Providence Internal Medicine Residency , Spokane University of Washington School of Medicine",+Concerns/Issues About Data,"Darryl Potyk
Judy Swanson
Judy Benson","06/01/2018
29946396
10.4300/JGME-D-17-00910.1","06/01/2019
31210882
10.4300/JGME-D-19-00265.1","Research Article
Retraction","United States
No"
20511,"A check-up on Canada's health system
(HSC) Public Health and Safety; (HUM) Arts -Literature/Poetry; 
Lancet ---Elsevier
College of Pharmacy and Nutrition, University of Saskatchewan, Saskatoon SK, Canada Council of Health Sciences, University of Saskatchewan, Saskatoon SK, Canada College of Medicine, University of Saskatchewan, Saskatoon SK, Canada",+Euphemisms for Plagiarism+Plagiarism of Article,"Kishor M Wasan
Ellen K Wasan
Jawahar Kalra","11/25/2017
00000000
10.1016/S0140-6736(17)32871-4","05/25/2019
00000000
10.1016/S0140-6736(19)31154-7","Review Article
Retraction","Canada
No"
20814,"A Discourse Analysis of German Fairy Tale 'Rapunzel' Written by the Brothers Grimm
(HUM) Arts -Literature/Poetry; 
Ethical Lingua ---Universitas Cokroaminoto Palopo
Institut Agama Islam Negeri (IAIN) Palopo",+Duplication of Article,Andi Tenrisanna Syam,"08/09/2018
00000000
10.30605/ethicallingua.v5i2.1037","05/03/2019
00000000
10.30605/25409190.v6.01.i","Research Article
Retraction","Indonesia
No"
20486,"Autumn Interiors, or The Ladies Eve: Woody Allen’s Ingmar Bergman-Complex
(HUM) Arts - Film Studies; 
Journal of European Studies ---SAGE Publications
University of Michigan",+Duplication of Article,Robert James Cardullo,"12/01/2000
00000000
10.1177/004724410003012003","04/10/2019
00000000
10.1177/0047244119839673","Review Article
Correction","United States
No"
20177,"An Analysis of Japanese Newspaper Reporting on the Rio Paralympic Games: Focusing on Photographs and the Sections in which they were
(HUM) Arts - General; (SOC) Communications; 
Journal of the Paralympic Research Group ---The Nippon Foundation Paralympic Support Center
The Nippon Foundation Paralympic Support Center",+Falsification/Fabrication of Data+Investigation by Company/Institution+Misconduct - Official Investigation/Finding+Misconduct by Author,Shohei Kobayashi,"04/01/2017
00000000
unavailable","03/22/2019
00000000
unavailable","Research Article
Retraction","Japan
No"
20719,"The American Marshall plan film campaign and the Europeans: a captivated audience
(HUM) Arts -Literature/Poetry; 
Journal of Contemporary European Studies ---Taylor and Francis
Professor Emeritus",+Duplication of Article+Error by Journal/Publisher,Stuart Parkes,"11/16/2018
00000000
10.1080/14782804.2018.1541673","01/28/2019
00000000
10.1080/14782804.2018.1558959","Review Article
Retraction","Malta
No"
20084,"Administrative Duplicate Publication The effects of windblown sand on the deterioration of mural paintings in cave 285, in Mogao caves, Dunhuang
(ENV) Environmental Sciences; (HUM) Arts - General; 
Journal of Building Physics ---SAGE Publications
Research and Development Center, Daiken Corporation, Tokyo, Japan Kyoto University, Kyoto, Japan Department of Architecture and Architectural Engineering, Kyoto University, Kyoto, Japan Tokyo National Research Institute for Cultural Properties, Tokyo, Japan Dunhuang Academy, Gansu, China",+Duplication of Article+Error by Journal/Publisher,"Akane Mikayama
Shuichi Hokoi
Daisuke Ogura
Ken Okada
Bomin Su","05/30/2018
00000000
10.1177/1744259118773387","01/15/2019
00000000
10.1177/1744259118822352","Research Article
Retraction","China
Japan
No"
19815,"The princess of polka dots: Using art as a medium to cope with hallucinations
(HUM) Arts - General; (SOC) Psychology; 
Indian Journal of Psychiatry ---Wolters Kluwer
Department of Psychiatry, JSS Medical College and Hospital, JSS Academy of Higher Education and Research, Formerly JSS University, Mysore, Karnataka, India",+Copyright Claims+Plagiarism of Image+Withdrawal,"K V Suma
Suhas Chandran
T S Sathyanarayana","01/18/2018
29736088
10.4103/psychiatry.IndianJPsychiatry_149_18","01/09/2019
30745669
10.4103/0019-5545.249675","Letter
Retraction","India
No"
