RID,"Retraction or Other Notices
Title/Subject(s)/Journal --- Publisher/Affiliation(s)/Retraction Watch Post URL(s)
80 Item(s) Found",Reason(s),Author(s),"Original Paper
Date/PubMedID/DOI","Retraction or Other Notices
Date/PubMedID/DOI","Article Type(s)
Nature of Notice","Countries
Paywalled?
Notes"
21599,"The victorious counterrevolution: the nationalist effort in the Spanish Civil War
(HUM) History - Europe; 
National Identities ---Taylor and Francis
Department of Modern Languages and Linguistics, The University of Southampton, United Kingdom",+Error in Text+Retract and Replace,Pedro Garcia-Guirao,"02/14/2019
00000000
10.1080/14608944.2018.1563986","11/05/2019
00000000
10.1080/14608944.2019.1687179","Review Article
Retraction","United Kingdom
No"
21476,"Book Review: Industrial Sexuality: Gender, Urbanization, and Social Transformation in Egypt by Hanan Hammad
(HUM) History - Africa; (SOC) Sociology; 
Gender & Society ---SAGE Publications
University of New Mexico: Albuquerque, NM, US",+Duplication of Article+Error by Journal/Publisher,Eli R Wilson,"05/01/2019
00000000
10.1177/0891243219846501","10/16/2019
00000000
10.1177/0891243219884321","Review Article
Retraction","United States
No"
21446,"A Nation Within a Nation: Organizing African-American Communities before the Civil War
(HUM) History - North America; 
American Nineteenth Century History ---Taylor and Francis
Southampton University",+Duplication of Article+Error by Journal/Publisher,Stephen Robinson,"12/13/2012
00000000
10.1080/14664658.2012.746274","10/15/2019
00000000
10.1080/14664658.2019.1672947","Research Article
Retraction","United Kingdom
No"
20450,"From courtyard sport to competitive sport: evolution of wrestling in colonial Bengal
(HUM) History - Asia; (SOC) Sports and Recreation; 
Sport in Society ---Taylor and Francis
Ramsaday College, Howrah, India",+Duplication of Article+Euphemisms for Duplication+Euphemisms for Plagiarism+Plagiarism of Article,Amitava Chatterjee,"05/22/2014
00000000
10.1080/17430437.2014.919258","05/09/2019
00000000
10.1080/17430437.2019.1603668","Research Article
Retraction","India
No"
19156,"Sedimentary facies, sequence stratigraphy and diagenesis of mixed fluvial siliciclastic-marine carbonate deposits of the Lower Miocene Razak Formation at Sarkhun Gas Field, Zagros Basin, SE Iran: A linkage with reservoir quality
(BLS) Archeology; (HUM) History - Asia; (PHY) Geology; 
Marine and Petroleum Geology ---Elsevier
Department of Geology, Science and Research Branch, Islamic Azad University, Mashhad, Iran Geology Department, Faculty of Science, Menoufyia University, Shebin El-Kom, Egypt Department of Geology, Mashhad Branch, Islamic Azad University, Mashhad, Iran School of Earth Sciences and Resources, China University of Geosciences, Beijing 100083, China Department of Geology, Ferdowsi University, Mashhad, Iran Institute of Geology, University of the Punjab, Pakistan E&P Technology Projects Direction, Repsol Technology Center, Móstoles, Madrid, Spain",+Notice - Limited or No Information+Plagiarism of Article,"Hamad Amel
Hamdallah A Wanas
Arman Jafarian
A Amel
S Ghazi
M A Caja","02/19/2018
00000000
10.1016/j.marpetgeo.2018.02.018","08/07/2018
00000000
10.1016/j.marpetgeo.2018.06.020","Research Article
Retraction","China
Egypt
Iran
Pakistan
Spain
No"
18519,"A look at Mayan artificial cranial deformation practices: morphological and cultural aspects
(BLS) Anthropology; (BLS) Archeology; (HUM) History - South America; 
Neurosurgical Focus ---American Association of Neurological Surgeons
Department of Neurosurgery, Instituto Nacional de Neurologia y Neurocirugia “Manuel Velazco Suarez,” Mexico City Department of Neurology and Neurosurgery, Hospital Civil de Guadalajara “Fray Antonio Alcalde,” Universidad de Guadalajara, Mexico",+Euphemisms for Plagiarism+Plagiarism of Article,"Samuel Romero-Vargas
Jose Luis Ruiz-Sandoval
Arturo Sotomayor-Gonzalez
Rogelio Revuelta-Gutierrez
Miguel Angel Celis-Lopez
Juan Luis Gomez-Amador
Ulises Garcia-Gonzalez
Raul Lopez-Serna
Victor Garcia-Navarro
Diego Mendez-Rosito
Victor Correa-Correa
Sergio Gomez-Llata","12/01/2010
21121716
10.3171/2010.9.FOCUS10200","07/01/2018
29961387
10.3171/2018.5.FOCUS10200r","Review Article
Retraction","Mexico
No"
18520,"Knowledge of skull base anatomy and surgical implications of human sacrifice among pre-Columbian Mesoamerican cultures
(BLS) Anthropology; (BLS) Archeology; (HUM) History - South America; 
Neurosurgical Focus ---American Association of Neurological Surgeons
Department of Neurosurgery, Instituto Nacional de Neurologia y Neurocirugia “Manuel Velasco Suárez” Department of Spine Surgery, Instituto Nacional de Rehabilitacion, “Manuel Velasco Suárez,” Mexico City, Mexico Department of Neuroendocrinology, Instituto Nacional de Neurologia y Neurocirugia “Manuel Velasco Suárez,” Mexico City, Mexico",+Euphemisms for Plagiarism+Plagiarism of Article,"Raul Lopez-Serna
Juan Luis Gomez-Amador
Juan Barges-Coll
Nicasio Arriada-Mendicoa
Samuel Romero-Vargas
Miguel Ramos-Peek
Miguel Angel Celis-Lopez
Rogelio Revuelta-Gutierrez
Lesly Portocarrero-Ortiz","08/01/2012
22853827
10.3171/2012.6.FOCUS12120","07/01/2018
29961381
10.3171/2018.5.FOCUS12120r","Research Article
Retraction","Mexico
No"
19821,"Organic Democracy: Political Participation and Representation in Franco’s Spain
(B/T) Government; (HUM) History - Europe; 
Espacio, Tiempo y Forma ---UNED
Universidad de Castilla-La Mancha",+Investigation by Journal/Publisher+Plagiarism of Article,Miguel Angel Gimenez Martínez,"12/09/2015
00000000
10.5944/etfv.27.2015.15751","03/21/2018
00000000
10.5944/etfv.27.2015.15751","Research Article
Retraction","Spain
No"
16643,"Brittany 1750 - 1950 The Invisible Nation and Brittany A Concise History
(HUM) History - Europe; 
French History ---Oxford Academic
Murray Edwards College, University of Cambridge",+Duplication of Article+Error by Journal/Publisher,Alison Carrol,"10/24/2008
00000000
10.1093/fh/crn067","11/28/2017
00000000
10.1093/fh/crn067","Review Article
Retraction","United Kingdom
No"
19820,"The Cuban Revolution and historiography
(HUM) History - North America; 
Anuario de Estudios Americanos ---Consejo Superior de Investigaciones Científicas (CSIC)
Escuela de Estudios Hispano-Americanos, CSIS, Sevilla",+Plagiarism of Article,Jose Maria Aguilera Manzano,"01/01/2008
00000000
10.3989/aeamer.2008.v65.i1.106","02/06/2017
00000000
10.3989/aeamer.2008.v65.i1.106","Research Article
Retraction","Spain
No"
