RID,Retraction or Other Notices Title/Subject(s)/Journal --- Publisher/Affiliation(s)/Retraction Watch Post URL(s) 42 Item(s) Found,Reason(s),Author(s),Original Paper Date/PubMedID/DOI,Retraction or Other Notices Date/PubMedID/DOI,Article Type(s) Nature of Notice,Countries Paywalled? Notes
21366,"Comment on ‘Constrained Maneuvering: Rhetoric as a Rational Enterprise (HUM) Philosophy;  Argumentation ---Springer Faculty of Communication Sciences, University of Lugano, Lugano, Switzerland http://retractionwatch.com/?s=peter+schulz",+Euphemisms for Plagiarism+Plagiarism of Article,Peter Johannes Schulz,06/07/2007 00000000 10.1007/s10503-007-9023-5,09/17/2019 00000000 10.1007/s10503-019-09486-y,Commentary/Editorial Correction,Switzerland No
21367,Rationality as a condition for intercultural understanding (HUM) Philosophy;  Studies in Communication Sciences ---Swiss Association of Communication and Media Research University of Lugano,+Plagiarism of Article,Peter Johannes Schulz,01/01/2001 00000000 10.5169/seals-791151,09/10/2019 00000000 10.5169/seals-791151,Commentary/Editorial Retraction,Switzerland No
21008,"The Open Mind: A Phenomenology (HUM) Philosophy;  Open Journal of Philosophy (OJPP) ---Scientific Research Publishing  (SCIRP) The Shantigar Foundation, Rowe, MA, United States",+Unreliable Results,Josh Adler,05/01/2017 00000000 10.4236/ojpp.2017.72009,06/28/2019 00000000 10.4236/ojpp.2017.72009,Review Article Retraction,United States No
20936,Trinitarian Roots of Francis Bacon's Pragmatism (HUM) Philosophy;  The Heythrop Journal ---Wiley University of Michigan - Flint,+Duplication of Article+Error by Journal/Publisher,Aderemi Artis,02/08/2017 00000000 10.1111/heyj.12493,06/11/2019 00000000 10.1111/heyj.12083,Review Article Retraction,United States No
20287,"Antonioni and Bergman, or night and light (HUM) Philosophy; (HUM) Religion;  Journal of European Studies ---SAGE Publications University of Kurdistan, Hewler",+Duplication of Article+Euphemisms for Plagiarism+Plagiarism of Article,Robert James Cardullo,01/15/2019 00000000 10.1177/0047244118818995,04/10/2019 00000000 10.1177/0047244119839667,Review Article Retraction,Iraq No
19769,Can we prove the existence of God using quantitative biology (BLS) Genetics; (HUM) Philosophy; (HUM) Religion;  OSF Preprints ---Center for Open Science unavailable,+Notice - Lack of,Tidjani Locatelli,10/04/2018 00000000 10.31219/osf.io/q9xzj,12/21/2018 00000000 10.31219/osf.io/q9xzj,Research Article Retraction,Unknown No
21368,"Subjectivity from a Semiotic Point of View (HUM) Philosophy;  Nordic-Baltic Summer Institute for Semiotic and Structural Studies, Part IV ---International Semiotics Institute University of Lugano",+Plagiarism of Article,Peter Johannes Schulz,01/01/2001 00000000 unavailable,01/09/2018 00000000 unavailable,Book Chapter/Reference Work Retraction,Switzerland No
8775,"Strategic Bombing, Causal Beliefs, and Double Effect (HUM) Philosophy; (SOC) Ethics/Bioethics;  Journal of Value Inquiry ---Springer University of Copenhagen, Copenhagen, Denmark",+Duplication of Text+Investigation by Journal/Publisher,Ezio Di Nucci,09/10/2015  10.1007/s10790-015-9518-5,03/21/2017  10.1007/s10790-017-9595-8,Research Article Retraction,Denmark Yes
7948,"The Witness Set Constraint: Determiners, conservativity, witnesses (HUM) Philosophy;  The Journal of Semantics ---Oxford Academic Departament de Filologia Catalana, Facultat de Filologia, Universitat de Barcelona, Gran Via de les Corts Catalanes, 585. 08007, Spain",+Concerns/Issues About Results+Error in Analyses+Error in Text+Retract and Replace,Jordi Fortuny,07/27/2016  10.1093/jos/ffw009,03/05/2017  10.1093/jos/ffx002,Research Article Retraction,Spain No
10811,"The Voluntary Nature of Ethical-Moral Behavior in the 21st Century (or in Any Other): A Personal Perspective (HUM) Philosophy; (SOC) Ethics/Bioethics; (SOC) Sociology;  Journal of Clinical Research & Bioethics ---OMICS International Lakes and Freshwater Biology Office, University of Ottawa-Carleton, Canada http://retractionwatch.com/2016/11/30/surprise-paper-retracted-author-tells-journal-pile-dung/",+Concerns/Issues About Results,Thomas Spears,10/04/2016,10/01/2016  10.4172/2155-9627.1000286,Article in Press Retraction,Canada No
7932,"Role of Methodology in Action Research (HUM) Philosophy; (SOC) Education;  Journal of Philosophy of Education ---Wiley Civil Engineering Department, Beykent University, Istanbul. Turkey http://retractionwatch.com/2017/06/28/plagiarism-costs-author-five-papers-five-different-journals/",+Date of Retraction/Other Unknown+Euphemisms for Plagiarism+Plagiarism of Article,Kubilay Kaptan,03/20/2016 00000000 10.1111/1467-9752.12181,03/20/2016 00000000 10.1111/1467-9752.12181,Research Article Retraction,Turkey No
13279,Michael Baius (1513–89) and the Debate on ‘Pure Nature’: Grace and Moral Agency in Sixteenth-Century Scholasticism (HUM) History - Europe; (HUM) Philosophy;  Moral Philosophy on the Threshold of Modernity ---Springer Katholieke Universiteit Leuven http://retractionwatch.com/2016/06/08/philosopher-earns-13th-retraction-for-plagiarism/,+Concerns/Issues about Referencing/Attributions+Euphemisms for Plagiarism+Investigation by Company/Institution+Plagiarism of Text,Martin William Francis Stone,01/01/2005 00000000 10.1007/1-4020-3001-0_4,01/01/2016 00000000 10.1007/1-4020-3001-0_16,Book Chapter/Reference Work Retraction,Belgium No
4896,"The mystery of reincarnation (HSC) Medicine - Psychiatry; (HUM) Philosophy; (HUM) Religion;  Indian Journal of Psychiatry ---Wolters Kluwer - Medknow Department of Psychiatry, Mysore Medical College and Research Institute, Mysore, Karnataka, India Department of Physiology, Mysore Medical College and Research Institute, Mysore, Karnataka, India http://retractionwatch.com/2016/02/01/wikipedia-page-reincarnated-as-paper-journal-retracts-reincarnation-paper-for-plagiarism/",+Euphemisms for Plagiarism+Plagiarism of Text,Anil Kumar Mysore Nagaraj Raveesh Bevinahalli Nanjegowda S M Purushothama,01/01/2013 23858250 10.4103/0019-5545.105519,12/15/2015 26816443 10.4103/0019-5545.171860,Review Article Retraction,India No
8939,"Cancer Drugs in the United States: Justum Pretium—The Just Price (B/T) Business - Economics; (HSC) Medicine - General; (HUM) Philosophy; (PUB) Society/Association Journals;  Journal of Clinical Oncology : Official Journal of the American Society of Clinical Oncology ---American Society of Clinical Oncology Anderson Cancer Center, Houston, TX National Cancer Institute, National Institutes of Health, Bethesda, MD http://retractionwatch.com/2015/12/24/oh-no-he-didnt-misattributed-aristotle-work-leads-to-correction-in-highly-cited-cancer-paper/",+Concerns/Issues About Data+Concerns/Issues about Referencing/Attributions+Error in Text,Hagop M Kantarjian Tito Fojo Michael Mathisen Leonard A Zwelling,10/01/2013 23650428 10.1200/JCO.2013.49.1845,10/01/2015 26477052 10.1200/JCO.2015.64.8527,Research Article Correction,United States No
8448,"Two thinks at a time (HUM) Arts -Literature/Poetry; (HUM) Philosophy;  Atlantic Studies ---Taylor and Francis Department of English, University of Nevada Las Vegas, USA http://retractionwatch.com/2015/07/28/serial-plagiarizer-notches-three-retractions/",+Breach of Policy by Author+Lack of Approval from Company/Institution+Plagiarism of Text,Mustapha Marrouchi,11/30/2009  10.1080/14788810903264795,07/24/2015  10.1080/14788810.2015.1044242,Research Article Retraction,United States Yes
13650,Introduction (B/T) Business - Economics; (HUM) History - Europe; (HUM) Philosophy;  Journal of Markets & Morality ---Acton Institute for the Study of Religion & Liberty Unavailable http://retractionwatch.com/2015/07/20/two-retractions-cost-economic-historian-book-chapter-and-journal-article/,+Notice - Lack of+Plagiarism of Text,Francisco Gómez Camacho,11/16/2007,07/01/2015,Book Chapter/Reference Work Retraction,Unknown Unknown
7079,"On the Illuminationist Approach to Imaginal Power: Outline of a Perspective (HUM) Philosophy;  Topoi ---Springer The University of Tehran, Tehran, Iran",+Euphemisms for Plagiarism+Plagiarism of Article,Mahmoud Khatami,06/27/2007  10.1007/s11245-007-9015-y,02/06/2015  10.1007/s11245-015-9305-8,Research Article Retraction,Iran Yes
6592,"Les Enjeux de la Parole (HUM) Philosophy;  Neohelicon ---Springer University of Atlanta, Atlanta, USA http://retractionwatch.com/2015/01/28/serial-plagiarist-loses-13-papers/",+Duplication of Text+Euphemisms for Duplication+Plagiarism of Text,Richard Lawrence Etienne Barnett,10/28/2008  10.1007/s11059-008-4013-7,01/23/2015  10.1007/2Fs11059-014-0289-y,Research Article Retraction,United States No
20600,"Buddhist Approaches to Managing Stress and Improving Mental Health (HUM) Philosophy; (HUM) Religion;  University of the Thai Chamber of Commerce Journal of Humanities and Social Sciences ---University of the Thai Chamber of Commerce Faculty of Social Sciences and Humanities, Mahidol University",+Date of Retraction/Other Unknown+Notice - Lack of,Sukhumpong Channuwong,04/01/2014 00000000 unavailable,04/01/2014 00000000 unavailable,Research Article Retraction,Thailand No
8676,Treatise on Money: Introduction (B/T) Business - Economics; (HUM) Philosophy; (PUB) Institutional Journals;  Journal of Markets & Morality ---Acton Institute for the Study of Religion & Liberty Unavailable http://retractionwatch.com/2015/07/20/two-retractions-cost-economic-historian-book-chapter-and-journal-article/,+Ethical Violations by Author+Plagiarism of Text,Francisco Gómez Camacho,01/01/2005,02/01/2014,Book Chapter/Reference Work Retraction,Unknown No
