RID,Retraction or Other Notices Title/Subject(s)/Journal --- Publisher/Affiliation(s)/Retraction Watch Post URL(s) 68 Item(s) Found,Reason(s),Author(s),Original Paper Date/PubMedID/DOI,Retraction or Other Notices Date/PubMedID/DOI,Article Type(s) Nature of Notice,Countries Paywalled? Notes
21598,"A biblical view of eating and nutrition in contrast to that in Graeco-Roman writings: restraint, respect, purpose, and order (BLS) Nutrition; (HUM) Arts -Literature/Poetry; (HUM) Religion;  Israel Affairs ---Taylor and Francis University of Illinois at Chicago College of Medicine Wayne State University, Detroit, Michigan Private Practice, Tel Aviv, Israel",+Euphemisms for Plagiarism+Plagiarism of Article,Kalman J Kaplan Matthew B Schwartz Moriah Markus-Kaplan,08/08/2019 00000000 10.1080/13537121.2019.1645965,11/08/2019 00000000 10.1080/13537121.2019.1686249,Research Article Retraction,Israel United States No
21320,"The identity of Catholic schools as seen by teachers in Catholic schools in Queensland (HUM) Religion;  International Studies in Catholic Education ---Taylor and Francis School of Education, Australian Catholic University, Brisbane, Australia School of Psychology, Griffith University, Queensland, Australia",+Error in Analyses+Error in Results and/or Conclusions,Jim Gleeson John O’Gorman Maureen O’Neill,02/23/2018 00000000 10.1080/19422539.2018.1418946,09/30/2019 00000000 10.1080/19422539.2019.1649935,Research Article Retraction,Australia No
21002,"The Negative Association between Religiousness and Children's Altruism across the World (HUM) Religion; (SOC) Philosophy; (SOC) Psychology;  Current Biology (CB) ---Elsevier  - Cell Press 1The Child Neurosuite, Department of Psychology, University of Chicago, Chicago, IL 60637, USA 2Erick Jackman Institute of Child Study, University of Toronto, Toronto, ON M5R 2X2, Canada 3Department of Educational Psychology, Hashemite University, Zarqa 13133, Jordan 4College of Education, Qatar University, 2713 Doha, Qatar 5Department of Psychology, University of Cape Town, Rondebosch 7701, South Africa 6Department of Psychology, Koc University, Rumelifeneri Yolu 34450, Turkey 7Department of Psychology, Sun-Yat Sen University, Guangzhou 510275, China",+Error in Analyses+Error in Results and/or Conclusions,Jean Decety Jason M Cowell Kang Lee Randa Mahasneh Susan Malcolm-Smith,11/05/2015 26549259 10.1016/j.cub.2015.09.056,08/05/2019 31386841 10.1016/j.cub.2019.07.030,Research Article Retraction,Canada China Jordan Qatar South Africa Turkey United States No
20785,Where Jesus Walked: Biblical Meditations on the Artwork of the Roman Missal for Canada  with Prayers from the Missal for Reflection and Meditation (HUM) Religion;  Where Jesus Walked: Biblical Meditations on the Artwork of the Roman Missal for Canada  with Prayers ---Canadian Conference of Catholic Bishop Salt and Light Foundation,+Euphemisms for Plagiarism+Plagiarism of Article,Thomas M Rosica James Tissot,01/01/2012 00000000 unavailable,06/21/2019 00000000 unavailable,Book Chapter/Reference Work Retraction,Canada No
20784,We can only move forward when we name the evil of clericalism (HUM) Religion;  National Catholic Reporter ---The National Catholic Reporter Publishing Company Salt and Light,+Plagiarism of Article,Thomas M Rosica,08/23/2018 00000000 unavailable,06/18/2019 00000000 unavailable,Commentary/Editorial Retraction,Canada No
20778,"Christmas: Emmanuel answers our plea, fulfills the promise (HUM) Religion;  The Catholic Register ---Archdiocese of Toronto Salt and Light Catholic Media Foundation",+Date of Retraction/Other Unknown+Euphemisms for Plagiarism+Plagiarism of Article,Thomas M Rosica,12/15/2016 00000000 unavailable,06/02/2019 00000000 unavailable,Review Article Retraction,Canada No
20780,Church cares for her 'wounded children' (HUM) Religion;  The Catholic Register ---Archdiocese of Toronto Salt and Light Catholic Media Foundation,+Date of Retraction/Other Unknown+Euphemisms for Plagiarism+Plagiarism of Article,Thomas M Rosica,12/04/2014 00000000 unavailable,06/02/2019 00000000 unavailable,Review Article Retraction,Canada No
20782,"Church committed to health, life (HUM) Religion;  The Catholic Register ---Archdiocese of Toronto Salt and Light Catholic Media Foundation",+Date of Retraction/Other Unknown+Euphemisms for Plagiarism+Plagiarism of Article,Thomas M Rosica,09/21/2009 00000000 unavailable,06/02/2019 00000000 unavailable,Review Article Retraction,Canada No
20775,Hearts Burning Within Us: The Disciples of Emmaus (HUM) Religion;  The Priest ---Our Sunday Visitor Publisher Salt and Light Catholic Media Foundation,+Date of Retraction/Other Unknown+Notice - Lack of,Thomas M Rosica,04/01/1990 00000000 unavailable,06/02/2019 00000000 unavailable,Newspaper/Magazine Article Retraction,Canada No
20781,John Paul II showed us the suffering face of Jesus (HUM) Religion;  The Catholic Register ---Archdiocese of Toronto Salt and Light Catholic Media Foundation,+Date of Retraction/Other Unknown+Euphemisms for Plagiarism+Plagiarism of Article,Thomas M Rosica,04/27/2011 00000000 unavailable,06/01/2019 00000000 unavailable,Review Article Retraction,Canada No
20773,Por Que Esta El Papa Francisco Librando Guerra Contra El Demonio (HUM) Religion;  Humanitas ---Pontificia Universidad Catolica de Chile Salt and Light Cathodic Media Foundation,+Date of Retraction/Other Unknown+Euphemisms for Plagiarism+Plagiarism of Article,Thomas M Rosica,09/09/2015 00000000 unavailable,06/01/2019 00000000 unavailable,Review Article Retraction,Canada No
20777,Pro-life position extends well beyond abortion (HUM) Religion;  The Catholic Register ---Archdiocese of Toronto Salt and Light Catholic Media Foundation,+Date of Retraction/Other Unknown+Euphemisms for Plagiarism+Plagiarism of Article,Thomas M Rosica,01/25/2018 00000000 unavailable,06/01/2019 00000000 unavailable,Review Article Retraction,Canada No
20779,Synodal process is guided by the Lord’s hand (HUM) Religion;  The Catholic Register ---Archdiocese of Toronto Salt and Light Catholic Media Foundation,+Date of Retraction/Other Unknown+Euphemisms for Plagiarism+Plagiarism of Article,Thomas M Rosica,10/03/2015 00000000 unavailable,06/01/2019 00000000 unavailable,Review Article Retraction,Canada No
20783,The duty and obligation of being pro-life (HUM) Religion;  The Catholic Register ---Archdiocese of Toronto Salt and Light Catholic Media Foundation,+Date of Retraction/Other Unknown+Euphemisms for Plagiarism+Plagiarism of Article,Thomas M Rosica,01/08/2010 00000000 unavailable,06/01/2019 00000000 unavailable,Review Article Retraction,Canada No
20774,The Message and the Messenger (HUM) Religion;  The Priest ---Our Sunday Visitor Publisher Salt and Light Catholic Media Foundation,+Date of Retraction/Other Unknown+Notice - Lack of,Thomas M Rosica,06/01/2018 00000000 unavailable,06/01/2019 00000000 unavailable,Newspaper/Magazine Article Retraction,Canada No
21613,The World Come of Age: An Intellectual History of Liberation Theology (HUM) Religion; (SOC) Philosophy;  Journal of the American Academy of Religion ---Oxford Academic Emory University,+Duplication of Article+Error by Journal/Publisher,Kyle B T Lambelet,04/25/2019 00000000 10.1093/jaarel/lfz020,06/01/2019 00000000 10.1093/jaarel/lfz014,Review Article Retraction,United States No
20612,"Effects of Therapy on Religious Men Who Have Unwanted Same-Sex Attraction (HUM) Religion; (SOC) Psychology; (SOC) Sexual And Marital Therapy;  The Linacre Quarterly ---SAGE Publications Southern California Seminary, El Cajon, CA, USA Whitehead Associates, Lower Hutt, Wellington, New Zealand",+Error in Analyses+Error in Methods+Unreliable Results,Paul L Santero Neil E Whitehead Dolores Ballesreros,07/23/2018 00000000 10.1177/0024363918788559,05/23/2019 00000000 10.1177/0024363919854842,Research Article Retraction,New Zealand United States No
20287,"Antonioni and Bergman, or night and light (HUM) Philosophy; (HUM) Religion;  Journal of European Studies ---SAGE Publications University of Kurdistan, Hewler",+Duplication of Article+Euphemisms for Plagiarism+Plagiarism of Article,Robert James Cardullo,01/15/2019 00000000 10.1177/0047244118818995,04/10/2019 00000000 10.1177/0047244119839667,Review Article Retraction,Iraq No
20397,Words Made Flesh Volume III Biblical Reflections for Year C (HUM) Religion;  Words Made Flesh Volume III Biblical Reflections for Year C ---Canadian Conference of Catholic Bishop Salt and Light Catholic Media Foundation http://retractionwatch.com/?s=thomas+rosica,+Notice - Lack of+Plagiarism of Text+Withdrawal,Thomas M Rosica,01/01/2012 00000000 unavailable,03/24/2019 00000000 unavailable,Book Chapter/Reference Work Retraction,Canada No
