reason,count
Euphemisms for Plagiarism,8
Plagiarism of Article,29
Duplication of Article,21
Concerns/Issues About Data,1
Falsification/Fabrication of Data,1
Investigation by Company/Institution,6
Misconduct - Official Investigation/Finding,1
Misconduct by Author,1
Error by Journal/Publisher,6
Copyright Claims,1
Plagiarism of Image,1
Withdrawal,13
Date of Retraction/Other Unknown,3
Notice - Limited or No Information,66
Withdrawn to Publish in Different Journal,1
Error in Data,1
Error in Methods,1
Error in Text,2
Breach of Policy by Author,27
Lack of Approval from Company/Institution,1
Plagiarism of Text,13
Investigation by Journal/Publisher,34
Duplication of Text,11
Euphemisms for Duplication,16
Notice - Lack of,3
