reason,count
Error in Text,1
Retract and Replace,5
Duplication of Article,8
Error by Journal/Publisher,8
Euphemisms for Duplication,1
Euphemisms for Plagiarism,12
Plagiarism of Article,14
Notice - Limited or No Information,21
Investigation by Journal/Publisher,9
Date of Retraction/Other Unknown,3
Notice - Lack of,2
Withdrawal,9
Temporary Removal,1
Legal Reasons/Legal Threats,3
Objections by Third Party,1
Upgrade/Update of Prior Notice,1
Updated to Correction,1
Concerns/Issues about Referencing/Attributions,3
Investigation by Company/Institution,5
Plagiarism of Text,16
Complaints about Author,1
Falsification/Fabrication of Data,1
Misconduct - Official Investigation/Finding,1
Misconduct by Author,1
Objections by Author(s),1
Error in Data,1
Forged Authorship,1
Notice - No/Limited Information,1
Breach of Policy by Author,15
Lack of Approval from Author,1
Ethical Violations by Author,1
Author Unresponsive,1
Copyright Claims,2
Notice - Unable to Access via current resources,1
