reason,count
Euphemisms for Plagiarism,11
Plagiarism of Article,9
Unreliable Results,1
Duplication of Article,3
Error by Journal/Publisher,2
Notice - Lack of,3
Duplication of Text,2
Investigation by Journal/Publisher,3
Concerns/Issues About Results,2
Error in Analyses,1
Error in Text,2
Retract and Replace,1
Date of Retraction/Other Unknown,3
Concerns/Issues about Referencing/Attributions,2
Investigation by Company/Institution,4
Plagiarism of Text,16
Concerns/Issues About Data,1
Breach of Policy by Author,5
Lack of Approval from Company/Institution,1
Euphemisms for Duplication,1
Ethical Violations by Author,1
Criminal Proceedings,1
Falsification/Fabrication of Data,1
Investigation by Third Party,1
Misconduct - Official Investigation/Finding,1
Notice - Limited or No Information,6
Legal Reasons/Legal Threats,2
Withdrawal,2
Copyright Claims,2
