reason,count
Euphemisms for Plagiarism,20
Plagiarism of Article,23
Error in Analyses,3
Error in Results and/or Conclusions,2
Date of Retraction/Other Unknown,15
Notice - Lack of,7
Duplication of Article,7
Error by Journal/Publisher,3
Error in Methods,1
Unreliable Results,3
Plagiarism of Text,16
Withdrawal,7
Taken from Dissertation/Thesis,1
Concerns/Issues About Data,1
Concerns/Issues About Image,1
Concerns/Issues About Results,1
Conflict of Interest,1
Lack Of Balance/Bias Issues,1
Objections by Author(s),1
Investigation by Journal/Publisher,3
Duplication of Text,1
Euphemisms for Duplication,1
Unreliable Data,2
Upgrade/Update of Prior Notice,2
Error in Data,1
Falsification/Fabrication of Data,1
Investigation by Company/Institution,2
Misconduct - Official Investigation/Finding,1
Misconduct by Author,1
Concerns/Issues about Referencing/Attributions,1
Notice - Limited or No Information,4
Copyright Claims,3
Breach of Policy by Author,2
Legal Reasons/Legal Threats,2
Error in Text,1
Temporary Removal,1
Notice - Unable to Access via current resources,1
