title,doi,pubmedid,date,authors,subject,venue,article_type,country,paywall,notes,other_article_info,retraction_reasons,retraction_date,retraction_notice_type,retraction_notice_doi
When Words Hurt: Affective Word Use in Daily News Coverage Impacts Mental Health,10.3389/fpsyg.2018.01333,30116210,08/02/2018,Jolie B Wormwood; Madeleine Devlin; Yu Ru Lin; Lisa Feldman Barrett; Karen S Quigley,(HUM) Journalism; (SOC) Psychology; ,Frontiers in Psychology ---Frontiers,Research Article,United States,No,,"Department of Psychology, Northeastern University, Boston, MA, United States School of Computing and Information, University of Pittsburgh, Pittsburgh, PA, United States Department of Psychiatry, Massachusetts General Hospital, Athinoula A. Martinos Center for Biomedical Imaging, Charlestown, MA, United States Edith Nourse Rogers Memorial (VA) Medical Center, Center for Healthcare Organization and Implementation Research, Bedford, MA, United State",error in data; error in methods; error in results and/or conclusions,12/17/2020,Retraction,33391138; 10.3389/fpsyg.2020.630044
Globalization and vulnerable populations in times of a pandemic: A Mayan perspective,10.1186/s13010-020-00093-4,33040737,10/12/2020,Claudia Ruiz Sotomayor; Alejandra Barrero,(HSC) Medicine - Infectious Disease; (HSC) Public Health and Safety; (HUM) History - South America; ,"Philosophy, Ethics, and Humanities in Medicine ---Springer - Biomed Central (BMC)",Review Article,United States,No,,"Pellegrino Center for Clinical Bioethics, Georgetown University, Washington DC, USA Department of Neonatology, Beth Israel Deaconess Medical Center, Boston, Massachusetts Harvard Medical School, Department of Pediatrics, Boston, Massachusetts, USA",error by journal/publisher; error in text,12/14/2020,Retraction,33317564; 10.1186/s13010-020-00098-z
"Crisis of the nomological model, expectation of diligence and criminally relevant conduct. Comparative aspects on the definition of punishable fault",10.22034/jhi.2019.80908,,08/01/2019,Dimitris Liakopoulos,(HUM) Philosophy; (SOC) Law/Legal Issues; ,Journal of Humanities Insights ---Iranian-Australian Community of Science,Review Article,United States,No,,European Union Law at the Fletcher School-Tufts University; http://retractionwatch.com/2020/12/14/legal-researcher-up-to-23-retractions-for-false-affiliations-plagiarism/,date of retraction/other unknown; false affiliation; notice - lack of; withdrawal,12/12/2020,Retraction,00000000; unavailable
Search of Self Amidst Chaos,10.1007/s40737-015-0023-8,,03/14/2015,Pankaj Suneja,(HUM) Arts - Music; (SOC) Psychology; ,Journal of Psychosocial Rehabilitation and Mental Health ---Springer,Commentary/Editorial,India,No,,"Flat No. 219, Pocket A-1, Sector-6, Rohini, New Delhi, 110085, India",notice - limited or no information,12/08/2020,Retraction,00000000; 10.1007/s40737-020-00208-2
Must the Relation of Substantial Composition Be a Mode William of Ockham’s Answers,,,01/01/2018,Magali Roques,(HUM) Philosophy; ,Archives d'histoire doctrinale et littéraire du Moyen Âge ---Librairie philosophique J. Vrin,Review Article,Germany,No,,"Universität Hamburg, Überseering 35, Postfach #4, 20146 Hamburg, Germany",date of retraction/other unknown; notice - limited or no information,11/18/2020,Retraction,00000000; unavailable
Ockham on the Parts of the Continuum,,,09/01/2017,Magali Roques,(HUM) Philosophy; ,Oxford Studies in Medieval Philosophy ---Oxford University Press,Review Article,Germany,No,,unavailable,date of retraction/other unknown; plagiarism of article,11/16/2020,Retraction,00000000; unavailable
"The Good, the Bad, and the Ugly: Should We Completely Banish Human Albumin from Our Intensive Care Units",10.1097/00000539-200010000-00022,11004043,10/01/2000,Joachim Boldt,(HSC) Medicine - Anesthesia/Anaesthesia; (HUM) Journalism; ,Anesthesia & Analgesia ---Wolters Kluwer - Lippincott Williams & Wilkins,Review Article,Germany,No,,"Department of Anesthesiology and Intensive Care Medicine, Klinikum der Stadt Ludwigshafen, Ludwigshafen, Germany; http://retractionwatch.com/?s=%22joachim+boldt%22",investigation by company/institution; misconduct - official investigation/finding; misconduct by author,10/23/2020,Retraction,33094990; 10.1213/ANE.0000000000005113
The Influence of Different Intravascular Volume Replacement Regimens on Renal Function in the Elderly,10.1213/00000539-199911000-00009,10553822,05/01/1999,Bernhard Kumle; Joachim Boldt; Sven Piper; Christian Schmidt; Stephan Suttner; Sanja Salopek,(HSC) Medicine - Anesthesia/Anaesthesia; (HUM) Journalism; ,Anesthesia & Analgesia ---Wolters Kluwer - Lippincott Williams & Wilkins,Research Article,Germany,No,,"Department of Anesthesiology and Intensive Care Medicine, Klinikum der Stadt Ludwigshafen, Ludwigshafen, Germany Department of Surgery, Klinikum der Stadt Ludwigshafen, Ludwigshafen, Germany; http://retractionwatch.com/?s=%22joachim+boldt%22",investigation by company/institution; misconduct - official investigation/finding; misconduct by author,10/23/2020,Retraction,33094990; 10.1213/ANE.0000000000005113
Which Countries Publish in Important Anesthesia and Critical Care Journals,10.1213/00000539-199905000-00038,10320190,05/01/1999,Joachim Boldt; Wolfgang H Malek; Katharina P Koetter,(HSC) Medicine - Anesthesia/Anaesthesia; (HUM) Journalism; ,Anesthesia & Analgesia ---Wolters Kluwer - Lippincott Williams & Wilkins,Research Article,Germany,No,,"Department of Anesthesiology and Intensive Care Medicine, Klinikum der Stadt Ludwigshafen, Ludwigshafen Neurological Intensive Care Unit, Leopoldina-Hospital, Schweinfurt, Germany; http://retractionwatch.com/?s=%22joachim+boldt%22",investigation by company/institution; misconduct - official investigation/finding; misconduct by author,10/23/2020,Retraction,33094990; 10.1213/ANE.0000000000005113
Structural styles and origin of the Dabashan foreland arcuate belt and basin-mountain system in central China,10.1016/j.jseaes.2019.03.002,,03/04/2019,Kai Cui; Yixuan Wang,(HUM) History - Asia; (PHY) Geology; ,Journal of Asian Earth Sciences ---Elsevier,Research Article,China,No,,"Key Laboratory of Transportation Tunnel Engineering of the Ministry of Education, Southwest Jiaotong University, Chengdu, Sichuan Province, China School of Civil Engineering, Southwest Jiaotong University, Chengdu, Sichuan Province, China",plagiarism of image,10/17/2020,Retraction,00000000; 10.1016/j.jseaes.2020.104384
Men’s music ability and attractiveness to women in a real-life courtship context,10.1177/0305735613482025,,05/01/2013,Nicolas Guéguen; Sébastien Meineri; Jacques Fischer-Lokou,(HUM) Arts - Music; (SOC) Psychology; ,Psychology of Music ---SAGE Publications,Research Article,France,No,,"Université de Bretagne-Sud, France Université de Paris-Sud, France; http://retractionwatch.com/?s=%22Gueguen%22; http://retractionwatch.com/2020/10/09/heard-about-the-study-claiming-men-who-carry-guitar-cases-are-more-attractive-its-been-retracted/",concerns/issues about data; concerns/issues about results; investigation by company/institution; investigation by journal/publisher; updated to retraction;; ethical violations by author; informed/patient consent - none/withdrawn; unreliable data; upgrade/update of prior notice,07/15/2020;; 10/08/2020,Expression of concern;; Retraction,00000000; 10.1177/0305735620964704;; 00000000; 10.1177/0305735620964704
Cognitive-behavioural therapy combined with music therapy for chronic fatigue following Epstein-Barr virus infection in adolescents: a feasibility study,10.1136/bmjpo-2019-000620,32342016,04/09/2020,Sadak Malik; Tarjei Tørre Asprusten; Maria Pedersen; Julie Mangersnes; Gro Trondalen; Betty van Roy; Eva Skovlund; Vegard Bruun Wyller,(HSC) Medicine - Infectious Disease; (HSC) Medicine - Pediatrics; (HUM) Arts - Music; (SOC) Psychology; ,BMJ Paediatrics Open ---Springer - Biomed Central (BMC),Research Article,Norway,No,,"Pediatrics, Akershus University Hospital, Oslo, Norway Institutt for klinisk medisin, Universitetet i Oslo, Oslo, Norway Barne- og Ungdomsklinikken, Akershus Universitetssykehus HF, Lorenskog, Norway Department of Pediatrics and Adolescent Medicine, Drammen Hospital, Drammen, Norway Center for Music and Health, Norwegian College of Music, Oslo, Norway Department of Public Health and Nursing, NTNU—Norwegian University of Science and Technology, Trondheim, Norway",error by journal/publisher; retract and replace,10/01/2020,Retraction,33123631; 10.1136/bmjpo-2019-000620ret
"Johannes Koder, Die Byzantiner: Kultur und Alltag im Mittelalter",10.1086/699870,,10/01/2018,Spyros P Panagopoulos,(HUM) History - Asia; (HUM) History - Europe; ,Speculum ---The University of Chicago Press,Review Article,Greece,No,,Ionian University,plagiarism of article,10/01/2020,Retraction,00000000; 10.1086/711388
Report of the Linacre Quarterly Survey: The Linacre Quarterly Committee,10.1177/0024363919863548,,07/31/2019,Editorial Staff,(HUM) Religion; ,The Linacre Quarterly ---SAGE Publications,Research Article,United States,No,,unavailable,duplicate publication through error by journal/publisher,09/29/2020,Retraction,00000000; 10.1177/0024363920965378
