volume,author,title,year,issue,citation_count,doi,page,source_id,reference,oa_link,citation,source_title
"","Schulz, Peter","Rationality As A Condition For Intercultural Understanding","2001","","0","10.5169/seals-791151","","","","","","Swiss Association Of Communication And Media Research; Università Della Svizzera Italiana, Faculty Of Communication Sciences"
"07","Adler, Josh","The Open Mind: A Phenomenology","2017","02","0","10.4236/ojpp.2017.72009","126-167","issn:2163-9434; issn:2163-9442","10.1016/j.neuroimage.2012.09.030","https://doi.org/10.4236/ojpp.2017.72009","","Open Journal Of Philosophy"
"60","Artis, Aderemi","Trinitarian Roots Of Francis Bacon'S Pragmatism","2017","2","0","10.1111/heyj.12493","197-204","issn:0018-1196","","","","The Heythrop Journal"
"","Cardullo, R. J.","Retracted: Antonioni And Bergman, Or Night And Light","2019","","0","10.1177/0047244118818995","004724411881899","issn:0047-2441; issn:1740-2379","","","","Journal Of European Studies"
"","Locatelli, Tidjani","Can We Prove The Existence Of God Using Quantitative Biology ? Retracted","2018","","0","10.31219/osf.io/q9xzj","","","","http://osf.io/q9xzj//download","",""
"50","Di Nucci, Ezio","Retracted Article: Strategic Bombing, Causal Beliefs, And Double Effect","2015","2","0","10.1007/s10790-015-9518-5","385-394","issn:0022-5363; issn:1573-0492","10.1080/09515089.2012.674664; 10.1080/13869795.2011.544233; 10.1080/15265161.2014.918205; 10.1086/233472; 10.1086/292183; 10.1086/649218; 10.1093/0199272190.001.0001; 10.1093/acprof:oso/9780199548668.001.0001; 10.1093/analys/ann011; 10.1136/medethics-2012-101172; 10.11606/issn.1981-9471.v8i1p20-48; 10.1177/004056394400500301; 10.1177/004056394901000102; 10.4159/9780674043145","https://philpapers.org/archive/DINSBC.pdf","","The Journal Of Value Inquiry"
"","Fortuny, Jordi","The Witness Set Constraint","2016","","0","10.1093/jos/ffw009","ffw009","issn:0167-5133; issn:1477-4593","10.1007/978-94-011-5814-5_1; 10.1007/978-94-011-5814-5_2; 10.1007/bf00350139; 10.1007/bf00630273; 10.1007/bf00636286; 10.1007/bf00637410; 10.1007/s10849-010-9131-8; 10.1007/s10849-014-9197-9; 10.1017/cbo9780511781681; 10.1023/a:1005638918877; 10.1023/a:1008222204053; 10.1023/a:1017913406219; 10.1023/a:1020803514176; 10.1093/jigpal/jzt018; 10.1093/jos/14.1.1; 10.1111/j.1551-6709.2011.01189.x; 10.1515/ling.1988.26.6.977; 10.1515/tlir.1981.1.1.41; 10.1515/tlir.2008.004; 10.3765/salt.v6i0.2761","https://academic.oup.com/jos/article-pdf/34/2/e1/14013461/ffw009.pdf","","Journal Of Semantics"
"51","","Retraction: ‘Role Of Methodology In Action Research’ By Kubilay Kaptan","2016","1","0","10.1111/1467-9752.12181","344-344","issn:0309-8249","10.1111/j.1467-9752.2006.00517.x","","","Journal Of Philosophy Of Education"
"","Stone, M. W. F.","Retracted Chapter: Michael Baius (1513–89) And The Debate On ‘Pure Nature’: Grace And Moral Agency In Sixteenth-Century Scholasticism","2005","","1","10.1007/1-4020-3001-0_4","51-90","isbn:9781402030000; isbn:9781402030017","","","10.1002/9781119265955.ch11","Moral Philosophy On The Threshold Of Modernity - The New Synthese Historical Library"
"55","Nagaraj, Anilkumar Mysore; Nanjegowda, Raveeshbevinahalli; Purushothama, Sm","The Mystery Of Reincarnation","2013","6","1","10.4103/0019-5545.105519","171","issn:0019-5545","","https://doi.org/10.4103/0019-5545.105519","10.1080/17470218.2016.1251472","Indian Journal Of Psychiatry"
"31","Kantarjian, Hagop M.; Fojo, Tito; Mathisen, Michael; Zwelling, Leonard A.","Cancer Drugs In The United States: Justum Pretium—The Just Price","2013","28","103","10.1200/jco.2013.49.1845","3600-3604","issn:0732-183X; issn:1527-7755","10.1001/2013.jamainternmed.272; 10.1001/jama.2010.283; 10.1002/cncr.26679; 10.1016/b978-1-4377-1604-7.00190-1; 10.1016/j.amjmed.2009.04.012; 10.1016/j.clinthera.2006.07.002; 10.1016/s0140-6736(07)61904-7; 10.1016/s0167-6296(02)00126-1; 10.1016/s1470-2045(11)70201-7; 10.1056/nejmhpr0807774; 10.1056/nejmoa066838; 10.1056/nejmoa1003466; 10.1056/nejmoa1103782; 10.1056/nejmoa1104621; 10.1056/nejmsb1013826; 10.1093/annonc/mds130; 10.1093/jnci/djp177; 10.1093/jnci/djq495; 10.1097/mjt.0b013e3181ff7e23; 10.1111/j.1524-4733.2008.00401.x; 10.1158/1078-0432.ccr-07-5060; 10.1182/blood-2011-08-376087; 10.1200/jco.2005.05.0104; 10.1200/jco.2006.07.9525; 10.1200/jco.2008.16.9847; 10.1200/jco.2008.18.9621; 10.1200/jco.2008.19.3342; 10.1200/jco.2008.19.9133; 10.1200/jco.2008.20.1293; 10.1200/jco.2008.20.6292; 10.1200/jco.2008.21.0534; 10.1200/jco.2009.23.9764; 10.1200/jco.2009.27.5404; 10.1377/hlthaff.26.4.1197-a","http://europepmc.org/articles/pmc3782152?pdf=render","10.3322/caac.21351; 10.3322/caac.21408; 10.18553/jmcp.2017.23.5.591; 10.1200/jco.2014.57.8716; 10.1200/jco.2014.58.1587; 10.1200/jco.2016.68.4084; 10.1002/ajh.23691; 10.1002/ajh.24249; 10.1002/ajh.24275; 10.1002/ajh.25011; 10.1186/s12885-017-3980-3; 10.1186/s12889-017-4615-y; 10.1177/1078155215581524; 10.1177/1078155215612541; 10.1177/1078155217706195; 10.1177/1078155217708022; 10.1038/nrgastro.2017.20; 10.1056/nejmp1400868; 10.1200/edbk_200869; 10.1186/s12913-017-2304-2; 10.1186/s12913-018-3117-7; 10.5301/grhta.2014.12359; 10.1136/bmjopen-2015-010706; 10.1002/cncr.28321; 10.1002/cncr.28330; 10.1002/cncr.29624; 10.1002/cncr.30545; 10.1002/cncr.30560; 10.1002/cncr.31522; 10.1038/clpt.2014.9; 10.1097/coc.0000000000000243; 10.1586/14737167.2014.868310; 10.1586/14737167.2014.946014; 10.1586/14737167.2015.1085803; 10.1080/14737167.2017.1262767; 10.1080/14737167.2018.1411192; 10.1111/imj.12399; 10.1111/imj.13652; 10.1007/978-3-319-33198-0_7; 10.1586/17512433.2015.990380; 10.1111/bjh.12895; 10.15171/ijhpm.2015.186; 10.1182/blood-2014-04-565754; 10.1080/10428194.2016.1272682; 10.1007/s40258-014-0130-9; 10.1007/s40258-016-0274-x; 10.1007/s40258-017-0307-0; 10.1007/s40261-016-0403-1; 10.1111/bph.13096; 10.3109/10428194.2014.982635; 10.1007/978-3-319-24814-1_17; 10.7603/s40730-016-0022-8; 10.3389/fonc.2015.00302; 10.1038/nrclinonc.2016.12; 10.1111/bcpt.12295; 10.1111/bcpt.12442; 10.1038/bjc.2015.56; 10.1371/journal.pone.0136207; 10.1007/s40290-016-0167-1; 10.2217/imt-2017-0183; 10.1111/1468-0009.12164; 10.1111/1468-0009.12279; 10.1007/s00761-015-2958-5; 10.1146/annurev-bioeng-071516-044619; 10.1007/s40273-014-0160-z; 10.1080/20502877.2017.1314885; 10.1002/9781118468678.ch37; 10.1007/s11899-015-0254-5; 10.1007/s11899-018-0461-y; 10.1200/jgo.2015.000588; 10.1200/jop.17.00058; 10.1200/jop.17.00091; 10.1200/jop.2014.002469; 10.1200/jop.2015.003772; 10.1200/jop.2015.010462; 10.1007/s12094-014-1170-1; 10.1185/03007995.2014.991440; 10.1093/jnci/djv370; 10.1093/jnci/djx030; 10.1093/jnci/djx164; 10.1002/phar.1867; 10.1002/pbc.25564; 10.2217/fon.14.7; 10.2217/fon-2017-0033; 10.1590/1413-81232017228.07982017; 10.1200/jco.2013.50.3466; 10.1200/jco.2013.53.9932; 10.1200/jco.2013.54.3017; 10.1200/jco.2013.54.6002; 10.1517/17425247.2014.955011; 10.1007/s10238-017-0476-z; 10.3389/fphar.2016.00197; 10.3389/fphar.2016.00305; 10.3389/fphar.2017.00497; 10.3389/fphar.2017.00662; 10.1093/annonc/mdx053; 10.1093/annonc/mdx135; 10.1517/14656566.2015.1031107; 10.1007/s11673-017-9800-2; 10.1257/jep.29.1.139; 10.1093/annonc/mdv506; 10.1093/annonc/mdw213; 10.1007/s00280-018-3604-x","Journal Of Clinical Oncology"
"6","Marrouchi, Mustapha","Retracted Article: Two Thinks At A Time","2009","3","0","10.1080/14788810903264795","345-356","issn:1478-8810; issn:1740-4649","10.2307/2935377","","","Atlantic Studies"
"26","Khatami, Mahmoud","Retracted Article: On The Illuminationist Approach To Imaginal Power: Outline Of A Perspective","2007","2","1","10.1007/s11245-007-9015-y","221-229","issn:0167-7411; issn:1572-8749","10.1515/9781400853670","","10.3366/film.2016.0003","Topoi"
"35","Barnett, R. -L. Etienne","Retracted Article: Les Enjeux De La Parole","2008","2","1","10.1007/s11059-008-4013-7","181-189","issn:0324-4652; issn:1588-2810","","","10.1007/s11059-013-0186-9","Neohelicon"
"9","Griva, Konstadina; Theofilou, Paraskevi","The Study Of Quality Of Life: Interview With Konstadina Griva","2013","1","0","10.5964/ejop.v9i1.582","4-7","issn:1841-0413","","https://doi.org/10.5964/ejop.v9i1.582","","Europe’S Journal Of Psychology"
"34","Renkema, Lennart J.; Stapel, Diederik A.; Maringer, Marcus; Van Yperen, Nico W.","Terror Management And Stereotyping: Why Do People Stereotype When Mortality Is Salient?","2008","4","12","10.1177/0146167207312465","553-564","issn:0146-1672; issn:1552-7433","10.1016/j.jesp.2004.06.001; 10.1016/j.jesp.2004.06.009; 10.1016/s0065-2601(08)60227-0; 10.1016/s0065-2601(08)60229-4; 10.1016/s0065-2601(08)60328-7; 10.1037/0022-3514.37.10.1660; 10.1037/0022-3514.55.3.445; 10.1037/0022-3514.57.4.681; 10.1037/0022-3514.58.2.308; 10.1037/0022-3514.63.2.212; 10.1037/0022-3514.73.1.31; 10.1037/0022-3514.74.3.590; 10.1037/0022-3514.77.5.905; 10.1037/0022-3514.83.1.26; 10.1037/0022-3514.87.2.190; 10.1037/0022-3514.90.6.879; 10.1037/0033-2909.129.3.339; 10.1037/0033-2909.129.4.522; 10.1037/0033-2909.130.3.435; 10.1037/10478-000; 10.1111/j.0956-7976.2004.00709.x; 10.1111/j.1467-9221.2004.00402.x; 10.1177/0146167201278001; 10.1177/0146167205277096; 10.1177/01461672952111010; 10.1177/0146167299259001; 10.1207/s15324834basp0503_5; 10.1207/s15324834basp2404_2; 10.1207/s15327965pli0801_1; 10.1521/soco.2006.24.6.703","http://pdfs.semanticscholar.org/21ae/01686ab7212156f43e7a63df3b2d83b05cf2.pdf","10.1177/0146167208329630; 10.1080/10615806.2016.1138288; 10.1111/j.1467-9280.2009.02414.x; 10.1177/1088868309352321; 10.1126/science.1201068; 10.1080/17513057.2017.1280525; 10.3758/s13423-011-0211-9; 10.1002/ejsp.818; 10.1093/scan/nsp041; 10.1521/soco.2009.27.6.929; 10.1521/soco.2011.29.3.238; 10.1080/03601277.2011.595335","Personality And Social Psychology Bulletin"
"101","Stone, M. W. F.","The Angelic Doctor And The Stagirite: Thomas Aquinas And Contemporary ‘Aristotelian’ Ethics","2001","1","1","10.1111/j.0066-7372.2003.00023.x","97-128","issn:0066-7374; issn:1467-9264","","","10.1007/978-94-007-6510-8_83","Proceedings Of The Aristotelian Society (Hardback)"
"42","Mößner, Nicola","Withdrawn: Thought Styles And Paradigms: A Comparative Study Of Ludwik Fleck And Thomas S. Kuhn","2011","3","3","10.1016/j.shpsa.2011.02.001","416-425","issn:0039-3681","","","10.1007/s40656-018-0206-1; 10.1007/s10670-016-9815-9; 10.1080/17522439.2013.845593","Studies In History And Philosophy Of Science Part A"
"","Huawei, Wang; Ping, Lou","Notice Of Retraction: Research On Limitation Of Knowledge","2011","","0","10.1109/icpim.2011.5983659","","","10.1016/j.asoc.2010.08.021; 10.1109/tcsi.2010.2055331","","","2011 International Conference On Product Innovation Management (Icpim 2011)"
"","Stone, M. W. F.; Wisnovsky, Robert","Philosophy And Theology","2009","","0","10.1017/chol9780521762182.013","687-706","isbn:9781139095440","","","","The Cambridge History Of Medieval Philosophy"
"","Stone, M. W. F.","The Care Of Souls And “Practical Ethics”","2009","","0","10.1017/chol9780521762168.040","517-535","isbn:9781139095433","","","","The Cambridge History Of Medieval Philosophy"
"23","Stone, M. W. F.","This Article Has Been Retracted Conscience In Renaissance Moral Thought: A Concept In Transition?","2009","4","1","10.1111/j.1477-4658.2009.00603.x","423-444","issn:0269-1213","","","10.1007/978-3-319-02848-4_602-1","Renaissance Studies"
"","Helong, Yu; Yuxin, Zhao; Guifen, Chen; Hongbin, Jiao","Notice Of Retraction: C++ Teaching Guided By System Theory And Practice Theory In Philosophy","2010","","0","10.1109/etcs.2010.561","","","10.1109/etcs.2009.305","","","2010 Second International Workshop On Education Technology And Computer Science"
"","Yang Sibao","Notice Of Retraction: Sorcery, Taoism, Polytheism, Sao - Sources Of Chu Art'S Spiritual Images","2009","","0","10.1109/caidcd.2009.5374938","","","","","","2009 Ieee 10Th International Conference On Computer-Aided Industrial Design & Conceptual Design"
"","","In The Shadow Of Augustine: The Scholastic Debate On Lying From Robert Grosseteste To Gabriel Biel","2004","","1","10.1515/9783110204544.6.277","","isbn:9783110204544","","","10.1111/1468-2281.12045",""Herbst Des Mittelalters"? - Miscellanea Mediaevalia"
"75","Stone, M.W.F.; Van Houdt, T.","Probabilism And Its Methods","1999","4","1","10.2143/etl.75.4.504765","359-394","issn:0013-9513","","","10.1017/s1053837209090051","Ephemerides Theologicae Lovanienses"
"67","Stone, M.W.F.","The Origins Of Probabilism In Late Scholastic Moral Thought","2000","1","1","10.2143/rtpm.67.1.520","114-157","issn:1370-7493","","","10.1080/00048400802215687","Recherches De Théologie Et Philosophie Médiévales"
"6","Stone, Martin W.F.","The Antiquarian And The Moderniser: Giovanni Lorenzo Berti (1696-1766), Pietro Tamburini (1737-1827), And Contrasting Defenses Of The Augustinian Teaching On Unbaptised Infants In Eighteenth-Century Italy","2006","","0","10.1484/j.quaestio.1.100071","335-372","issn:1379-2547; issn:2295-9033","","","","Quaestio"
