"8939","Cancer Drugs in the United States: Justum Pretium—The Just Price (B/T) Business - Economics; (HSC) Medicine - General; (HUM) Philosophy; (PUB) Society/Association Journals;  Journal of Clinical Oncology : Official Journal of the American Society of Clinical Oncology ---American Society of Clinical Oncology Anderson Cancer Center, Houston, TX National Cancer Institute, National Institutes of Health, Bethesda, MD http://retractionwatch.com/2015/12/24/oh-no-he-didnt-misattributed-aristotle-work-leads-to-correction-in-highly-cited-cancer-paper/","+Concerns/Issues About Data+Concerns/Issues about Referencing/Attributions+Error in Text","Hagop M Kantarjian Tito Fojo Michael Mathisen Leonard A Zwelling","10/01/2013 23650428 10.1200/JCO.2013.49.1845","10/01/2015 26477052 10.1200/JCO.2015.64.8527","Research Article Correction","United States No"
"2859","Terror Management and Stereotyping: Why Do People Stereotype When Mortality Is Salient? (HUM) Philosophy; (PUB) Society/Association Journals; (SOC) Psychology; (SOC) Sociology;  Personality & Social Psychology Bulletin ---SAGE Publications University of Groningen  Tilburg University http://retractionwatch.com/2013/02/07/when-we-wonder-what-it-all-means-stapel-retraction-count-rises-to-49/ http://retractionwatch.com/2012/10/02/diederik-stapel-faces-criminal-inquiry-for-misuse-of-funds/ http://retractionwatch.com/the-retraction-watch-leaderboard/","+Criminal Proceedings+Falsification/Fabrication of Data+Investigation by Company/Institution+Investigation by Third Party+Misconduct - Official Investigation/Finding","Lennart J Renkema Diederik A Stapel Marcus Maringer Nico W van Yperen","04/01/2008 18252834 10.1177/0146167207312465","02/05/2013 23386661 10.1177/0146167212474240","Research Article Retraction","Netherlands Yes"
"17632","Thought styles and paradigms: A comparative study of Ludwik Fleck and Thomas S. Kuhn (HUM) History - General; (HUM) Philosophy;  Studies in History and Philosophy of Science Part A ---Elsevier RWTH Aachen, Philosophisches Institut, Eilfschornsteinstr. 16, 52062 Aachen, Germany","+Duplication of Article+Error by Journal/Publisher","Nicola Mößner","04/09/2011 00000000 10.1016/j.shpsa.2011.02.001","09/01/2011 00000000 10.1016/j.shpsa.2011.02.001","Research Article Retraction","Germany No"
"13279","Michael Baius (1513–89) and the Debate on ‘Pure Nature’: Grace and Moral Agency in Sixteenth-Century Scholasticism (HUM) History - Europe; (HUM) Philosophy;  Moral Philosophy on the Threshold of Modernity ---Springer Katholieke Universiteit Leuven http://retractionwatch.com/2016/06/08/philosopher-earns-13th-retraction-for-plagiarism/","+Concerns/Issues about Referencing/Attributions+Euphemisms for Plagiarism+Investigation by Company/Institution+Plagiarism of Text","Martin William Francis Stone","01/01/2005 00000000 10.1007/1-4020-3001-0_4","01/01/2016 00000000 10.1007/1-4020-3001-0_16","Book Chapter/Reference Work Retraction","Belgium No"
"4896","The mystery of reincarnation (HSC) Medicine - Psychiatry; (HUM) Philosophy; (HUM) Religion;  Indian Journal of Psychiatry ---Wolters Kluwer - Medknow Department of Psychiatry, Mysore Medical College and Research Institute, Mysore, Karnataka, India Department of Physiology, Mysore Medical College and Research Institute, Mysore, Karnataka, India http://retractionwatch.com/2016/02/01/wikipedia-page-reincarnated-as-paper-journal-retracts-reincarnation-paper-for-plagiarism/","+Euphemisms for Plagiarism+Plagiarism of Text","Anil Kumar Mysore Nagaraj Raveesh Bevinahalli Nanjegowda S M Purushothama","01/01/2013 23858250 10.4103/0019-5545.105519","12/15/2015 26816443 10.4103/0019-5545.171860","Review Article Retraction","India No"
"7079","On the Illuminationist Approach to Imaginal Power: Outline of a Perspective (HUM) Philosophy;  Topoi ---Springer The University of Tehran, Tehran, Iran","+Euphemisms for Plagiarism+Plagiarism of Article","Mahmoud Khatami","06/27/2007  10.1007/s11245-007-9015-y","02/06/2015  10.1007/s11245-015-9305-8","Research Article Retraction","Iran Yes"
"6592","Les Enjeux de la Parole (HUM) Philosophy;  Neohelicon ---Springer University of Atlanta, Atlanta, USA http://retractionwatch.com/2015/01/28/serial-plagiarist-loses-13-papers/","+Duplication of Text+Euphemisms for Duplication+Plagiarism of Text","Richard Lawrence Etienne Barnett","10/28/2008  10.1007/s11059-008-4013-7","01/23/2015  10.1007/2Fs11059-014-0289-y","Research Article Retraction","United States No"
"9112","The Angelic Doctor and the Stagirite: Thomas Aquinas and Contemporary ‘Aristotelian’ Ethics (HUM) Philosophy; (PUB) Society/Association Journals; (SOC) Ethics/Bioethics;  Proceedings of the Aristotelian Society ---Oxford Academic King's College London, London http://retractionwatch.com/2016/06/08/philosopher-earns-13th-retraction-for-plagiarism/","+Euphemisms for Plagiarism+Plagiarism of Article+Plagiarism of Text","Martin William Francis Stone","06/01/2001 00000000 10.1111/j.0066-7372.2003.00023.x","10/01/2011 00000000 10.1111/j.1467-9264.2011.00322.x","Research Article Retraction","United Kingdom Yes"
"8846","Conscience in Renaissance moral thought: a concept in transition? (HUM) Philosophy; (PUB) Society/Association Journals;  Renaissance Studies ---Wiley Institute of Philosophy, Catholic University of Leuven http://retractionwatch.com/2016/06/08/philosopher-earns-13th-retraction-for-plagiarism/","+Euphemisms for Plagiarism+Plagiarism of Text","Martin William Francis Stone","08/19/2009 00000000 10.1111/j.1477-4658.2009.00603.x","08/12/2010 00000000 10.1111/j.1477-4658.2010.00694.x","Research Article Retraction","Belgium Yes"
"11461","In the Shadow of Augustine: The Scholastic Debate on Lying from Robert Grosseteste to Gabriel Biel (HUM) Philosophy;  'Herbst des Mittelalters' Fragen zur Bewertung des 14th und 15th Jahrhunderts ---De Gruyter University of Leuven, Leuven http://retractionwatch.com/2016/06/08/philosopher-earns-13th-retraction-for-plagiarism/","+Investigation by Company/Institution+Plagiarism of Article","Martin William Francis Stone","01/01/2004 00000000 10.1515/9783110204544.6.277","01/01/2010 00000000 10.1515/9783110204544.6.277","Book Chapter/Reference Work Retraction","Belgium No"
"12779","Probabilism and Its Methods: Leonardus Lessius and His Contribution to the Development of Jesuit Casuistry (HUM) History - Europe; (HUM) Philosophy; (HUM) Religion;  Ephemerides Theologicae Lovanienses ---Peeters Publishers Unavailable http://retractionwatch.com/2016/06/08/philosopher-earns-13th-retraction-for-plagiarism/","+Plagiarism of Text+Withdrawal","Martin William Francis Stone T Van Houdt","12/01/1999  10.2143/ETL.75.4.504765","11/15/2009","Research Article Retraction","Unknown No"
"11152","The origins of probabilism in late scholastic moral thought : A prolegomenon to further study (HUM) History - Europe; (HUM) History - General; (HUM) Philosophy; (HUM) Religion;  Recherches de Theologie et Philosophie Medievales ---Peeters Publishers Unavailable http://retractionwatch.com/2016/06/08/philosopher-earns-13th-retraction-for-plagiarism/","+Plagiarism of Text","Martin William Francis Stone","01/01/2000  10.2143/RTPM.67.1.520","11/12/2009","Research Article Retraction","Unknown No"
"13938","Scholastic schools and early modern philosophy (HUM) History - Europe; (HUM) Philosophy; (HUM) Religion;  The Cambridge Companion to Early Modern Philosophy ---Cambridge University Press Unavailable http://retractionwatch.com/2016/06/08/philosopher-earns-13th-retraction-for-plagiarism/","+Copyright Claims+Legal Reasons/Legal Threats+Notice - Limited or No Information+Withdrawal","Martin William Francis Stone","01/01/2006 00000000 10.1017/CCOL0521822424.012","01/01/2007 00000000 10.1017/CCOL0521822424.012","Book Chapter/Reference Work Retraction","Unknown No"
"10022","Augustine and medieval philosophy (HUM) History - Europe; (HUM) Philosophy; (HUM) Religion;  The Cambridge Companion to Augustine ---Cambridge University Press Unavailable http://retractionwatch.com/2016/06/08/philosopher-earns-13th-retraction-for-plagiarism/","+Copyright Claims","Martin William Francis Stone","01/01/2001  10.1017/CCOL0521650186.018","05/01/2006  10.1017/CCOL0521650186.018","Book Chapter/Reference Work Retraction","Unknown Yes"
