RID,Retraction or Other Notices Title/Subject(s)/Journal --- Publisher/Affiliation(s)/Retraction Watch Post URL(s) 590 Item(s) Found,Reason(s),Author(s),Original Paper Date/PubMedID/DOI,Retraction or Other Notices Date/PubMedID/DOI,Article Type(s) Nature of Notice,Countries Paywalled? Notes
3611,"A prospective study of reversible dementias: frequency, causes, clinical profile and results of treatment (BLS) Neuroscience; (HSC) Medicine - Neurology; (PUB) Society/Association Journals;  Neurology India ---Neurological Society of India Dementia Programme, Department of Neurology, Singapore General Hospital",+Concerns/Issues About Authorship+Notice - Limited or No Information,S Srikanth AV Nagaraja,09/01/2005 16230795 10.4103/0028-3886.16926,01/01/2007 17514840 unavailable,Clinical Study Retraction,Singapore Unknown
2623,"Reduced semen quality in chronic prostatitis patients that induce the release of apoptotic protein Omi/HtrA2 from spermatozoa (BLS) Biology - Cellular; (HSC) Medicine - Endocrinology; (HSC) Medicine - Urology/Nephrology;  Prostate Cancer and Prostatic Diseases ---Nature Publishing Group Department of Urology, Shanghai Jiaotong University Affiliated No. 6 People’s Hospital, Shanghai",+Misconduct by Author+Notice - Limited or No Information,XY Hu YM Xu Y Qiao DL Wu YL Sa Q Fu JJ Yu XR Zhang J Zhang BJ Gu R Chen H Xie,10/17/2006 17043678 10.1038/sj.pcan.4500919,01/01/2007 18049464 10.1038/sj.pcan.4501016,Clinical Study Retraction,China No
4931,"The Role of Selenium in Cancer and Viral Infection Prevention (BLS) Biology - Cancer; (BLS) Biology - Cellular; (BLS) Microbiology; (ENV) Environmental Sciences; (HSC) Occupational Health and Safety; (PUB) Institutional Journals;  International Journal of Occupational Medicine and Environmental Health  (IJOMEH) ---Nofer Institute of Occupational Medicine Department of Hygiene, Medical University of Wroclaw, Wroclaw, Poland",+Investigation by Journal/Publisher+Plagiarism of Article,Anna Lutty-Frackiewicz,01/01/2005 16617846 unavailable,01/01/2007 17708013 10.2478M0001-007-0004-6,Review Article Retraction,Poland No
4246,"Reliability and validity of the Korean Cancer Pain Assessment Tool (KCPAT) (HSC) Medicine - General; (PUB) Society/Association Journals; (SOC) Psychology;  Journal of Korean Medical Science ---The Korean Academy of Medical Sciences Department of Family Medicine, Korea University College of Medicine, Seoul, KoreaDepartment of Preventive Medicine, Korea University College of Medicine, Seoul, KoreaDepartment of Internal Medicine, Bobath Memorial Hospital, Seoungnam, KoreaDepartment of Internal Medicine, The Catholic University of Korea College of Medicine, Seoul, KoreaDepartment of Family Medicine, Kwandong University College of Medicine, Seoul, KoreaDongmyun Health Center, Cheonan, KoreaDepartment of Anesthesiology and Pain Medicine, Yonsei University College of Medicine, Seoul, KoreaDepartment of Internal Medicine, Korea University College of Medicine, Seoul, Korea",+Duplication of Article+Duplication of Text+Investigation by Journal/Publisher,Jeong A Kim Youn Seon Choi Juneyoung Lee Jeanno Park Myung Ah Lee Chang Hwan Yeom Se Kwon Jang Duck Mi Yoon Jun Suk Kim,10/31/2005 16224166 10.3346/jkms.2005.20.5.877,12/31/2006 17179705 10.3346/jkms.2006.21.6.1139,Research Article Retraction,South Korea No
2838,"Association of metabolic syndrome with white blood cell subtype and red blood cells (BLS) Biology - Cellular; (HSC) Medicine - Endocrinology; (PUB) Society/Association Journals;  Endocrine Journal ---The Japan Endocrine Society Department of Family Medicine, College of Medicine, Korea University, Seoul, KoreaDepartment of Family Medicine, College of Medicine, Pusan National University",+Duplication of Article,Jeong A Kim Youn Seon Choi Jeong Ik Hong Su Hyon Kim Hoe Hyung Jung Seon Mee Kim,02/01/2006 16543683 doi.org/10.1507/endocrj.53.133,12/28/2006 17354293 unavailable,Research Article Retraction,South Korea No
1002,"Structure of MsbA from E. coli: a homolog of the multidrug resistance ATP binding cassette (ABC) transporters (BLS) Biochemistry; (BLS) Biology - Molecular; (HSC) Medicine - Pharmacology; (PUB) Society/Association Journals;  Science ---American Association for the Advancement of Science (AAAS) Department of Molecular Biology, MB-9, The Scripps Research Institute, La Jolla, CA 92037, USA",+Error in Analyses+Error in Results and/or Conclusions,Geoffrey Chang Christopher B Roth,09/07/2001 11546864 10.1126/science.293.5536.1793,12/22/2006 17185584 10.1126/science.314.5807.1875b,Research Article Retraction,United States No
1001,"X-ray structure of the EmrE multidrug transporter in complex with a substrate (BLS) Biology - Molecular; (BLS) Microbiology; (HSC) Medicine - Pharmacology; (PHY) Crystallography/Spectroscopy; (PUB) Society/Association Journals;  Science ---American Association for the Advancement of Science (AAAS) Department of Molecular Biology, The Scripps Institute, 10550 North Torrey Pines Road, CB-105, Jolla, CA 92037, USA",+Error in Analyses+Error in Methods+Error in Results and/or Conclusions,Owen Pornillos Yen-Ju Chen Andy P Chen Geoffrey Chang,12/23/2005 16373573 10.1126/science.1119776,12/22/2006 17185584 10.1126/science.314.5807.1875b,Research Article Retraction,United States No
19445,"Clinical Characteristics of Poorly Differentiated Carcinoma of the Thyroid and Comparison of Survival to Tall Cell and Columnar Cell Variants of the Papillary Carcinoma (BLS) Biology - Cellular; (HSC) Medicine - Oncology; (HSC) Medicine - Pathology;  Endocrinology and Metabolism ---Korean Endocrine Society Division of Endocrinology and Metabolism, Department of Medicine, Samsung Medical Center, Sungkyunkwan University School of Medicine, Korea Department of Pathology, Sungkyunkwan University School of Medicine, Samsung Medical Center, Sungkyunkwan University School of Medicine, Korea Department of Internal Medicine, Asan Medical Center, University of Ulsan College of Medicine, Korea Department of Internal Medicine, Seoul National University College of Medicine, Korea",+Duplication of Data,Tae Sik Jung Jae Hoon Chung Young Lyun Oh Tae Yong Kim Young Kee Shong Won Bae Kim Kyung Won Kim Young Joo Park Bo Youn Cho,04/01/2006 00000000 10.3803/jkes.2006.21.2.132,12/20/2006 00000000 10.3803/jkes.2006.21.6.589,Research Article Retraction,South Korea No
3614,"Preferential degradation of oxidized proteins by the 20S proteasome may be inhibited in aging and in inflammatory neuromuscular diseases (BLS) Neuroscience; (HSC) Medicine - Neurology;  Neurology ---American Academy of Neurology The Ethel Percy Andrus Gerontology Center, Division of Molecular & Computational Biology, University of Southern California, Los Angeles, CA, USA. http://retractionwatch.com/2010/12/10/a-retraction-in-neurology-highlights-an-unusual-practice/",+Duplication of Article,Kelvin J.A Davies Reshma Shringarpure,01/24/2006 16432154 10.1212/01.wnl.0000192308.43151.63,12/12/2006 17159131 10.1212/01.wnl.0000254935.78866.b9,Research Article Retraction,United States Yes
3574,"Risk markers of oral cancer in clinically normal mucosa as an aid in smoking cessation counseling (BLS) Biology - Cancer; (BLS) Genetics; (HSC) Medicine - Oncology; (HSC) Public Health and Safety; (PUB) Society/Association Journals;  Journal of Clinical Oncology : Official Journal of the American Society of Clinical Oncology ---American Society of Clinical Oncology Department of Medical Oncology and Radiotherapy, Division of Cytology, Department of Pathology, The Norwegian Radium HospitalDental Faculty, University of OsloÅrvoll Tannhelse AS, Oslo",+Forged Authorship+Investigation by Company/Institution+Notice - Limited or No Information,Jon Sudbo Roy Samuelsson Bjorn Risberg Stig Heistein Christian Nyhus Margaretha Samuelsson Ruth Puntervold Eva Sigstad Ben Davidson Albrecht Reith Åsmund Berner,03/20/2005 15774785 10.1200/JCO.2005.03.172,12/10/2006 17158555 10.1200/JCO.2006.10.0057,Clinical Study Retraction,Norway No
