17915,"A regressed phase analysis for coupled joint systems (HSC) Medicine - Orthopedics; (PHY) Engineering - General;  Gait & Posture ---Elsevier Department of Biomedical Engineering, Rutgers University, Piscataway, NJ 08854, USA Clinical Brain Disorders Branch, National Institute of Mental Health, Bethesda, MD 20892, USA",+Copyright Claims,Michael Wininger,10/25/2010 00000000 10.1016/j.gaitpost.2010.09.011,01/01/2011 00000000 10.1016/j.gaitpost.2010.09.011,Research Article Retraction,United States No
5206,"A VLP-based vaccine targeting domain III of the West Nile virus E protein protects from lethal infection in mice (HSC) Medicine - Immunology; (HSC) Medicine - Infectious Disease;  Virology Journal ---BioMed Central (BMC) Cytos Biotechnology, Schlieren, Switzerland",+Notice - Lack of,Gunther Spohn Gary T Jennings Byron EE Martina Iris Keller Markus Beck Paul Pumpens Albert DME Osterhaus Martin F Bachmann,07/06/2010 20604940 10.1186/1743-422X-7-146,01/01/2011,Research Article Retraction,Switzerland Yes
3133,ACOG Committee Opinion No. 281: Rubella Vaccination (BLS) Biology - General; (HSC) Medicine - Obstetrics/Gynecology; (HSC) Medicine - Surgery;  Obstetrics and Gynecology ---Wolters Kluwer - Lippincott Williams & Wilkins,+Notice - Lack of,,01/01/2011 21173670 10.1097/AOG.0b013e31820a61c9,01/01/2011 21173670,Clinical Study Retraction,No
3134,ACOG Practice Bulletin No. 68: Antiphospholipid Syndrome (BLS) Biochemistry; (BLS) Biology - Molecular; (HSC) Medicine - Obstetrics/Gynecology;  Obstetrics and Gynecology ---Wolters Kluwer - Lippincott Williams & Wilkins,+Notice - Limited or No Information,,11/01/2005 16260543,01/01/2011 21218543,Clinical Study Retraction,No
636,"Activation of Intercellular Adhesion Molecule 1 Expression by Helicobacter pylori is Regulated by NF-kB in Gastric Epithelial Cancer Cells (BLS) Biology - Cancer; (BLS) Biology - Cellular; (BLS) Biology - General; (BLS) Biology - Molecular; (BLS) Genetics; (BLS) Microbiology; (HSC) Medicine - Immunology; (PUB) Society/Association Journals;  Infection and Immunity ---American Society for Microbiology Department of Preventive Medicine and AIDS Research and Department of Bacteriology, Institute of Tropical Medicine, Nagasaki University, Nagasaki, JapanDepartment of Inflammatory Diseases, Boehringer Ingelheim Pharmaceuticals, Incorporated, Ridgefield, Connecticutand Ernst Boehringer Institut, Vienna, Austria http://retractionwatch.com/2010/12/24/japanese-virologist-hit-with-publishing-ban-after-widespread-data-manipulation/",+Falsification/Fabrication of Data+Falsification/Fabrication of Image+Investigation by Company/Institution+Investigation by Journal/Publisher+Misconduct - Official Investigation/Finding+Misconduct by Author+Publishing Ban,Naoki Mori Akihiro Wada Toshiya Hirayama Thomas P Parks Christian Stratowa Naoki Yamamoto,04/01/2000 10722567 10.1128/IAI.68.4.1806-1814.2000,01/01/2011 21177931 10.1128/IAI.01065-10,Research Article Retraction,Austria No
1430,"Blepharo-conjunctivitis Due to Leishmania (Viannia) Braziliensis Cutaneous Infection: Report of Two Cases in Rio de Janeiro, Brazil (BLS) Biology - Cellular; (BLS) Microbiology; (HSC) Medicine - Ophthalmology;  British Journal of Ophthalmology ---BMJ Publishing Laboratório de Pesquisas em Leishmaniose-Instituto Oswaldo Cruz Hospital Evandro Chagas,Fundação Oswaldo Cruz Rio de Janeiro, Brazil",+Notice - Limited or No Information,"Manoel P Oliveira-Neto Marise Mattos Eliezer Benchimol Elisa Cupolillo Tulia Cuzzi-Maya Claude Pirmez Gabriel Grimaldi, Jr",09/23/2008  10.1136/bjo.2006.112128,01/01/2011 18812386 10.1136/bjo.2006.112128,Research Article Retraction,Brazil No
20859,"Clinical and laboratory findings and therapeutic responses in children with nephrotic syndrome (HSC) Medicine - Pediatrics; (HSC) Medicine - Urology/Nephrology;  Indian Journal of Nephrology ---Wolters Kluwer Department of Pediatrics, Guilan University of Medical Science, Rasht, IR, Iran",+Duplication of Article,A A S L Safaei S Maleknejad,04/01/2010 20835318 10.4103/0971-4065.65297,01/01/2011 21655162 unavailable,Clinical Study Retraction,Iran No
16717,"Clinical Characteristics and Diagnostic Classification of Vertigo in Children (HSC) Medicine - Otorhinolaryngology;  Korean Journal of Otolaryngology-Head and Neck Surgery ---Korean Society of Otorhinolaryngology - Head and Neck Surgery Department of Otolaryngology, Ajou University School of Medicine, Suwon, Korea http://retractionwatch.com/2011/02/24/korean-ent-journal-retracts-17-papers-citing-overlap/",+Duplication of Article,Yun Hoon Choung Keehyun Park Sung Kyun Moon Sang Jun Ryu,02/01/2003 00000000 unavailable,01/01/2011 00000000 10.3342/kjorl-hns.2011.54.1.105,Review Article Retraction,South Korea No
16716,"Compressive Technique for Treatment of Auricular Hematoma Using Dental Impression Material (HSC) Medicine - Otorhinolaryngology;  Korean Journal of Otolaryngology-Head and Neck Surgery ---Korean Society of Otorhinolaryngology - Head and Neck Surgery Department of Otolaryngology, Ajou University School of Medicine, Suwon, Korea http://retractionwatch.com/2011/02/24/korean-ent-journal-retracts-17-papers-citing-overlap/",+Duplication of Article,Yun Hoon Choung Keehyun Park Sang Jun Ryu Min Jung Cho Youngju Kim Seung Joo Lee,06/01/2002 00000000 unavailable,01/01/2011 00000000 10.3342/kjorl-hns.2011.54.1.104,Review Article Retraction,South Korea No
20858,"Continuous cervical epidural analgesia for Isshiki type- I Thyroplasty (HSC) Medicine - Anesthesia/Anaesthesia; (HSC) Medicine - Endocrinology; (HSC) Medicine - Orthopedics;  Indian Journal of Anaesthesia ---Wolters Kluwer M. P. Shah Medical College, Jamnagar - 361 008, Gujarat, India",+Plagiarism of Article,Vandana Trivedi,01/01/2010 20532074 10.4103/0019-5049.60499,01/01/2011 21431061 10.4103/0019-5049.76616,Case Report Retraction,India No
