9554,"Aflibercept – Setting its Sights on Diabetic Macular Oedema (HSC) Medicine - Diabetes; (HSC) Medicine - Drug Design; (HSC) Medicine - Ophthalmology;  European Ophthalmic Review ---Touch Medical Media Centre Hospitalier Universitaire, Bordeaux, France Department of Ophthalmology, University of Amsterdam, The Netherlands Royal Liverpool University Hospital, UK http://retractionwatch.com/2015/06/05/well-tell-you-later-says-ophthalmology-journal-about-retracted-paper/",+Notice - Lack of+Retract and Replace,Jean-François Korobelnik Reinier Schlingemann Jan Pearce,10/03/2014  10.17925/EOR.2014.08.02.152,01/01/2015,Conference Abstract/Paper Retraction,France Netherlands United Kingdom Unknown
3762,"Assessment of Serum Leptin and Resistin Levels in Association with the Metabolic Risk Factors of Pre- and Post-menopausal Rural Women in South India (BLS) Biology - Cellular; (BLS) Biology - Molecular; (HSC) Medicine - Dentistry;  Diabetes & Metabolic Syndrome ---Elsevier Interdisciplinary School of Indian System of Medicine, SRM University, Kattankulathur 603203, Tamil Nadu, India Faculty of Ayurveda, Institute of Medical Sciences, Banaras Hindu University, Varanasi 221005, Uttar Pradesh, India National Facility for Tribal and Herbal Medicine, Institute of Medical Sciences, Banaras Hindu University, Varanasi 221005, Uttar Pradesh, India",+Duplication of Article,Tanu Priya Minakshi G Chowdhury Karunamoorthy Vasanth Thangavel Mahalingam Vijayakumar Kaliappan Ilango Aruna Agrawal Govind Prasad Dubey,10/01/2013 24290091 10.1016/j.dsx.2013.06.016,01/01/2015 25729808,Clinical Study Retraction,India No
2309,"Asymmetric Dimethylarginine and Endothelial Progenitor Cells After Renal Transplantation: The Effect of Exercise Training (BLS) Anatomy/Physiology; (BLS) Biology - Cellular; (HSC) Medicine - Rehabilitation/Therapy; (HSC) Medicine - Surgery;  Physiological Research: Academia Scientiarum Bohemoslovaca ---Institute of Physiology, Czech Academy of Sciences Department of Nephrology, Transplant Center, Institute for Clinical and Experimental Medicine, Prague, Czech Republic Cardiovascular Research Center, Institute for Clinical and Experimental Medicine, Prague, Czech Republic Faculty of Physical Education and Sport, Charles University, Prague, Czech Republic Institute of Clinical Biochemistry and Hematology, Medical Faculty, Charles University, Pilsen, Czech Republic Department of Internal Medicine, Medical Faculty Ostrava University, Ostrava, Czech Republic",+Notice - Limited or No Information,V Teplan I Kravlova Lesna J Pitha A Mahrova J Racek I Valkovsky A Sekerkova,01/01/2014 25428747 unavailable,01/01/2015 26421340 unavailable,Research Article Retraction,Czech Republic No
2403,"Clinical Significance of the Best Response During Repeated Transarterial Chemoembolization in the Treatment of Hepatocellular Carcinoma (BLS) Biology - Cancer; (BLS) Biology - Cellular; (BLS) Biology - Molecular; (HSC) Medicine - Endocrinology;  Journal of Hepatology ---Elsevier Department of Gastroenterology, Asan Liver Center, Asan Medical Center, University of Ulsan College of Medicine, Seoul, Republic of Korea Department of Radiology, Asan Liver Center, Asan Medical Center, University of Ulsan College of Medicine, Seoul, Republic of Korea",+Error in Data+Error in Image+Unreliable Data+Unreliable Image+Upgrade/Update of Prior Notice,Jonggi Choi Ju Hyun Shim Yong Moon Shin Kang Mo Kim Young-Suk Lim Han Chu Lee,06/01/2014 24486088 10.1016/j.jhep.2014.01.014,01/01/2015 25538970,Research Article Retraction,South Korea No
3908,"Cost Effective Laparoendoscopic Single-site Surgery with a Reusable Platform (BLS) Biology - General; (HSC) Medicine - Gastroenterology; (HSC) Medicine - Surgery; (PUB) Society/Association Journals;  JSLS: Journal of the Society of Laparoendoscopic Surgeons ---Society of Laparoendoscopic Surgeons Department of Urology, Eberhard-Karls University, Tuebingen, Germany",+Duplication of Article+Euphemisms for Duplication,Christian Schwentner Tilman Todenhofer James R Seibold Saladin Helmut Alloussi Stefan Aufderklamm Johannes Mischinger Arnulf Stenzl Georgios Gakis,04/01/2013 23925023 10.4293/108680813X13654754534477,01/01/2015 25722633 10.4293/JSLS.2015.00010,Research Article Retraction,Germany No
2769,"Detecting Normal Cell Radiosensitivity Via Assay of DNA Damage in Lymphocytes for Individualizing Radiotherapy in Head and Neck Cancer Patients (BLS) Biology - Cancer; (BLS) Biology - Cellular; (BLS) Genetics; (HSC) Medicine - Immunology; (HSC) Medicine - Oncology;  Oncology ---Karger Department of Oncology, Xinqiao Hospital, Third Military Medical University,Chongqing, PR ChinaDepartment of Medical Statistics, Third Military Medical University, Chongqing, PR China Department of Oncology, Tumor Hospital, Chongqing Medical University, Chongqing, PR China",+Euphemisms for Plagiarism+Plagiarism of Text,W Wang Z Chen D Li Z Cao P Pu S Fu J Chen S Sun X Chen,01/01/2005 16166813 10.1159/000088332,01/01/2015 26159468 10.1159/000431014,Research Article Retraction,China No
4073,"Different injury pattern in goalkeepers compared to field players: a three-year epidemiological study of professional football. (HSC) Medicine - Orthopedics; (HSC) Medicine - Rehabilitation/Therapy; (HSC) Medicine - Sports;  Journal of Science and Medicine in Sport ---Elsevier Department of Sports Medicine, Aspetar-Qatar Orthopedic and Sports Medicine Hospital, Doha, Qatar Arthroscopic Center Amager, University Hospital Copenhagen, Hvidovre, Denmark Department of Rehabilitation, Aspetar-Qatar Orthopedic and Sport Medicine Hospital, Doha, Qatar University of Sydney, Department of Physiotherapy Aspetar-Qatar Orthopedic and Sport Medicine Hospital, Doha, Qatar http://retractionwatch.com/2015/02/05/shoots-misses-soccer-injury-paper-gets-red-card-data-errors/",+Error in Analyses+Error in Data+Error in Results and/or Conclusions,Cristiano Eirale Johannes L Tol Rod Whiteley Hakim Chalaby,01/01/2014 23770326 10.1016/j.jsams.2013.05.004,01/01/2015 25646553 10.1016/j.jsams.2014.11.002,Research Article Retraction,Australia Denmark Qatar Yes
2110,"Differential expression, regulation, and induction of Smads, transforming growth factor-beta signal transduction pathway in leiomyoma, and myometrial smooth muscle cells and alteration by gonadotropin-releasing hormone analog (BLS) Biochemistry; (BLS) Biology - Cellular; (BLS) Microbiology; (HSC) Medicine - Obstetrics/Gynecology; (HSC) Medicine - Oncology; (PUB) Society/Association Journals;  The Journal of Clinical Endocrinology and Metabolism ---Endocrine Society Department of Obstetrics/Gynecology, University of Florida http://retractionwatch.com/2015/03/02/results-cannot-be-considered-reliable-florida-doc-up-to-7-retractions/ http://retractionwatch.com/2017/08/01/investigation-started-least-5-years-ago-retired-ob-gyn-prof-agrees-5-years-supervision/",+Falsification/Fabrication of Data+Investigation by Company/Institution+Investigation by ORI+Miscommunication by Author,Jingxia Xu Xiaoping Luo Nasser Chegini,03/01/2003 12629129 10.1210/jc.2002-021325,01/01/2015 25559533 10.1210/jc.2014-4201,Research Article Retraction,United States No
18216,"Effect of Aspergillus fumigatus sensitization and colonization on lung function and airways inflammation in asthma (BLS) Microbiology; (HSC) Medicine - Immunology; (HSC) Medicine - Pulmonology;  Egyptian Journal of Chest Diseases and Tuberculosis ---Elsevier Department of Thoracic Medicine, Mansoura University, Egypt Department of Microbiology, Mansoura University, Egypt",+Investigation by Journal/Publisher+Plagiarism of Article,Ahmed E Mansour Mohamed E El-Desouky Tamer Bedeer,01/24/2013 00000000 10.1016/j.ejcdt.2012.09.006,01/01/2015 00000000 10.1016/j.ejcdt.2014.11.003,Research Article Retraction,Egypt No
2999,"Effect of Computer-based Cognitive Rehabilitation (CBCR) for People with Stroke: A Systematic Review and Meta-analysis (BLS) Anatomy/Physiology; (BLS) Biology - General; (HSC) Medicine - Rehabilitation/Therapy;  NeuroRehabilitation ---IOS Press Department of Occupational Therapy, Semyung University, Jecheon, Republic of Korea",+Error in Data+Error in Methods+Unreliable Data+Unreliable Image+Unreliable Results,Yu-Jin Cha Hee Kim,01/01/2013 23535800 10.3233/NRE-130856,01/01/2015 26640137 10.3233/NRE-151288,Case Report Retraction,South Korea No
9159,"Effects of a transtheoretical model–based exercise stage–matched intervention on exercise behaviour and quality of life in patients with coronary heart disease: a randomized controlled trial (HSC) Medicine - Cardiology;  Journal of Advanced Nursing ---Wiley School of Nursing, The Hong Kong Polytechnic University, Hong KongAlice Lee Centre for Nursing Studies, Yong Loo Lin School of Medicine, National University of Singapore, Singapore School of Nursing, The Hong Kong Polytechnic University, Hong Kong The Nethersole School of Nursing, The Chinese University of Hong Kong, Hong Kong Alice Lee Centre for Nursing Studies, Yong Loo Lin School of Medicine, National University of Singapore, Singapore http://retractionwatch.com/2015/02/06/heart-study-bleeds-three-papers-one-retracted-one-withdrawn/",+Duplication of Article,Li-Xia Zhu Shuk-Ching Ho Janet Wing Hung Sit Hong-Gu He,06/24/2010,01/01/2015 24976395 10.1111/jan.12469,Clinical Study Research Article Retraction,Hong Kong Singapore Yes
