8426,"Application of Food-specific IgG Antibody Detection in Allergy Dermatosis (BLS) Biology - Cellular; (ENV) Food Science; (HSC) Medicine - Dermatology;  Open Medicine ---De Gruyter Dermatological Department of Huaihe Hospital of Henan University in Kaifeng, Henan 475000 Huaihe Hospital of Henan University, Henan, China",+Plagiarism of Text,Hu Yine Dai Shufang Wang Bin Qu Wei Muhammad Aqeel Ashraf Gao Junling,01/01/2015 28352722 10.1515/med-2015-0067,01/01/2016 28358145 10.1515/med-2016-0046,Research Article Retraction,China No
9043,"CCl4-Induced Hepatotoxicity: Protective Effects of Carnosine on Peroxisome Proliferator-Activated Receptor Gamma Gene Expression, Genotoxicity and Oxidant/Antioxidant Status in Rats (BLS) Biochemistry; (BLS) Biology - Cellular; (BLS) Genetics; (HSC) Medicine - Internal; (PUB) Society/Association Journals;  Egyptian Journal of Biochemistry and Molecular Biology ---African Journals Online Tanta University, Egypt (via RW) http://retractionwatch.com/2017/03/29/author-duplicated-figure-three-papers-two-get-retracted/",+Duplication of Image+Manipulation of Images,Nema A Soliman Soad A Noeman,01/01/2014,01/01/2016,Research Article Retraction,Egypt No
1164,"Comparison of Central Line-Associated Bloodstream Infection Rates when Changing to a Zero Fluid Displacement Intravenous Needleless Connector in Acute Care Settings (BLS) Biochemistry; (BLS) Biology - Cellular; (BLS) Biology - Molecular; (HSC) Medicine - Cardiovascular;  American Journal of Infection Control ---Elsevier Georgia Regents University, Augusta, GA, USA Nurse Consultant, Marietta, GA, USA Jason & Jarvis Associates, LLC, Hilton Head Island, SC, USA Georgia Regents University, Augusta, GA, USA http://retractionwatch.com/2016/01/27/investigation-of-undisclosed-conflicts-in-catheter-paper-uncovers-flawed-data-too/ http://retractionwatch.com/2015/02/02/unspecified-questions-earn-central-line-study-expression-concern/",+Error in Data+Error in Methods+Investigation by Company/Institution,Cynthia C Chernecky Denise Macklin William R Jarvis Thomas V Joshua,02/01/2014 23973422 10.1016/j.ajic.2013.05.023,01/01/2016 27163117,Research Article Retraction,United States No
4406,"Continuous hemodiafiltration therapy ameliorates LPS-induced systemic inflammation in a rat model (HSC) Medicine - Anesthesia/Anaesthesia; (HSC) Medicine - Surgery;  The Journal of Surgical Research ---Elsevier Department of Anesthesiology and Intensive Care Medicine, Oita University Faculty of Medicine, Yufu City, Oita, Japan http://retractionwatch.com/2016/04/29/japan-team-earns-another-retraction-for-misconduct-following-investigation/",+Falsification/Fabrication of Data+Falsification/Fabrication of Image+Investigation by Journal/Publisher+Misconduct by Author,Satoshi Hagiwara Hideo Iwasaka Akira Hasegawa Seigo Hidaka Aya Uno Ueo Kaori Tomohisa Uchida Takayuki Noguchi,07/29/2010 20851419 10.1016/j.jss.2010.07.029,01/01/2016 27070002 10.1016/j.jss.2015.10.023,Research Article Retraction,Japan Yes
10803,"Dementia Presenting with Hypersexuality: A Case Report (HSC) Medicine - Geriatric; (HSC) Medicine - Neurology;  Advances in Human Biology ---Wolters Kluwer - Medknow Department of Psychiatry, NHL Medical College, Ahmedabad, Gujarat, India http://retractionwatch.com/2016/08/15/journal-blacklists-authors-for-plagiarizing-case-report-about-hypersexuality-in-dementia/",+Euphemisms for Plagiarism+Investigation by Journal/Publisher+Misconduct - Official Investigation/Finding+Misconduct by Author+Plagiarism of Text+Publishing Ban,Prutha Desai Nisheet Patel Nimesh C Parikh,09/01/2015,01/01/2016,Case Report Retraction,India No
4654,"Effect of 5-fluorouracil Mobilized Bone Marrow Regenerative Cells Transplantation on Brain Injury Following Focal Cerebral Ischemia in Rats (BLS) Biochemistry; (BLS) Biology - Cellular; (BLS) Biology - Molecular; (BLS) Zoology; (HSC) Medicine - Immunology; (HSC) Medicine - Pharmacology; (HSC) Medicine - Surgery;  European Review for Medical and Pharmacological Sciences ---Verduci Editore Department of Neurosurgery, No. 455 of The Chinese People’s Liberation Army, Shanghai, China",+Notice - Limited or No Information,F F Xu X L Liu M Li B Yang H Liao L H Xiao Z P Xu,01/01/2015 26125260,01/01/2016 26957255,Research Article Retraction,China No
7022,"Effect of early external X-ray radiation on arterial restenosis post percutaneous transluminal angioplasty (HSC) Medicine - Cardiovascular; (HSC) Medicine - Rehabilitation/Therapy; (HSC) Medicine - Surgery; (HSC) Radiology/Imaging;  International Journal of Clinical and Experimental Medicine ---e-Century Publishing Corporation Department of Vascular Surgery, The First Affiliated Hospital of Chongqing Medical University Chongqing, China",+Duplication of Article+Error by Journal/Publisher,Jun Cheng Bujin Liu Huarong Yu Qining Fu Fenghe Li Yu Zhao,09/15/2015 26628976,01/01/2016,Research Article Retraction,China No
8335,"Efficacy and Safety of IVUS-guided Percutaneous Coronary Interventions (BLS) Biology - Cellular; (HSC) Medicine - Cardiovascular; (HSC) Medicine - Surgery;  Serbian Journal of Experimental and Clinical Research ---De Gruyter Clinic for Cardiology, Clinical Center Kragujevac, Kragujevac, Serbia Center for Urgent Medicine, Clinical Center Kragujevac, Kragujevac, Serbia",+Plagiarism of Article,Marija Popovic Mladen Tasic Milena Grubisa,06/27/2015  10.1515/sjecr-2015-0015,01/01/2016  10.1515/SJECR-2016-0060,Clinical Study Retraction,Serbia No
8458,"Evaluation of Direct Antibiograma from the Bottle Blood Culture with Vitek 2 C System: Its Usefulness in Clinical (BLS) Biology - Cellular; (BLS) Microbiology; (HSC) Medicine - General;  Revista Argentina de Microbiología ---Elsevier Laboratorio de Microbiologi´a, Patricias Argentinas 351 (1405) Ciudad Auto´noma de Buenos Aires, Argentina Servicio de Infectologi´a del Hospital Naval ‘‘Pedro Mallo’’, Patricias Argentinas 351 (1405) Ciudad Auto´noma de Buenos Aires, Argentina  Laboratorio de Bacteriologi´a, Perdriel 74 (1280) Ciudad Auto´noma de Buenos Aires, Argentina Servicio de Infectologi´a del Hospital Brita´nico, Perdriel 74 (1280) Ciudad Auto´noma de Buenos Aires, Argentina",+Concerns/Issues About Authorship,Rolando N Soloaga Natalia A Carrion Alejandra M Margari Marta Giovanakis Alicia Sujemecki Ernesto Efron Juan C Pidone Liliana I Guelfand Mariela Mendez Aranibar,01/01/2012 23102463 Unavailable,01/01/2016 27265909 10.1016/j.ram.2016.03.002,Research Article Retraction,Argentina No
8464,"Examination of the Safety of Pediatric Vaccine Schedules in a Non-Human Primate Model: Assessments of Neurodevelopment, Learning, and Social Behavior (BLS) Zoology; (HSC) Medicine - Pediatrics; (SOC) Psychology;  Environmental Health Perspectives ---National Institute of Environmental Health Sciences Infant Primate Research Laboratory, Washington National Primate Research Center, Seattle, Washington, USA Center on Human Development and Disability, Seattle, Washington, USA Abacist Analytics, LLC, Austin, Texas, USA Independent Consultant, Austin, Texas, USA Department of Environmental and Occupational Health Sciences,  Seattle, Washington, USA Department of Psychology, University of Washington, Seattle, Washington, USA The Johnson Center for Child Health and Development, Austin, Texas, USA Department of Psychiatry, University of Texas Southwestern, Dallas, Texas, USA",+Error in Image,Britni Curtis Noelle Liberato Megan Rulien Kelly Morrisroe Caroline Kenney Vernon Yutuc Clayton Ferrier C Nathan Marti Dorothy Mandell Thomas M Burbacher Gene P Sackett Laura Hewitson,02/18/2015 25690930 10.1289/ehp.1408257,01/01/2016 26720270 10.1289/ehp.124-A11,Research Article Correction,United States No
5056,"Gallstone Ileus Without Bilioenteric Fistula Years After Bypass Surgery for Crohn’s Disease. Case Report and Clues to Etiology of a Neglected Cause of Obstruction (BLS) Biology - Cellular; (HSC) Medicine - Gastroenterology;  International Journal of Surgery Case Reports ---Elsevier Unit of General Surgery, Second University of Naples, Naples, Italy Unit of Gastroenterology, Second University of Naples, Naples, Italy http://retractionwatch.com/2016/03/29/authors-retract-surgical-case-study-after-patient-dies/",+Error in Data+Error in Methods+Unreliable Data+Unreliable Results,Gianluca Pellino Giuseppe Candilio G Serena De Fatico Rosa Marcellinaro Giulio C Formicola Antonio Volpicelli Guido Sciaudone Gabriele Riegler Silvestro Canonico Francesco Selvaggi,01/01/2015 25770438 10.1016/j.ijscr.2015.03.004,01/01/2016 27086910 10.1016/j.ijscr.2016.03.026,Case Report Retraction,Italy No
2856,"Hydrogen peroxide as an effective disinfectant for Pasteurella multocida (BLS) Microbiology; (HSC) Medicine - General; (HSC) Medicine - Infectious Disease; (HSC) Public Health and Safety;  Yonsei Medical Journal ---Yonsei University College of Medicine College of Life Sciences and Biotechnology, Korea University, Seoul",+Duplication of Article+Miscommunication by Author,In-Soo Jung Hyun-Jung Kim Won-Yong Jung Chan-Wha Kim,07/01/2014 24954350 10.3349/ymj.2014.55.4.1152,01/01/2016 26632414 10.3349/ymj.2016.57.1.274,Research Article Retraction,South Korea No
9642,"Involvement of Ski Protein Expression in Luteinization in Rat Granulosa Cells (BLS) Biology - Cellular; (BLS) Biology - Molecular; (HSC) Medicine - Obstetrics/Gynecology; (HSC) Veterinary Science; (PUB) Society/Association Journals;  The Reproductive & Developmental Biology ---The Korean Society of Animal Reproduction Department of Veterinary Physiology, Graduate School of Agricultural and Life Sciences, The University of Tokyo Animal Genetic Resources Station, National Institute of Animal Science, RDA, Namwon, Korea http://retractionwatch.com/2016/01/07/retractions-follow-misconduct-by-biologist-one-more-on-the-way/",+Duplication of Data+Investigation by Third Party+Misconduct by Author,Hyun Kim Takashi Matsuwaki Keitaro Yamanouchi Masugi Nighihara Sung-Woo Kim Yeoung-Gyu Ko Boh-Suk Yang,09/01/2011,01/01/2016,Research Article Retraction,Japan South Korea No
9613,"Klinicko terapijske specificnosti shizofrenije s prodromima i ranim pocetkom - model rizicnog mentalnog stanja i shizofrene vulnerabilnosti (HSC) Medicine - Psychiatry; (PUB) Institutional Journals; (SOC) Ethics/Bioethics;  European Journal of Bioethics ---Open Journal Systems Medicinski fakultet u Beogradu, Klinika za psihijatriju, Klinicki Centar Srbije, Beograd",+Investigation by Journal/Publisher+Plagiarism of Text,Aleksandar Damjanovic Aleksandra Damjanovic Radan Stojanovic Milica Prostran,01/01/2013,01/01/2016,Research Article Retraction,Serbia No
10248,"Management of vertigo (BLS) Neuroscience; (HSC) Medicine - Neurology; (HSC) Medicine - Pathology; (HSC) Medicine - Pharmacology; (PUB) Society/Association Journals;  Revista Romana de Neurologie (Romanian Journal of Neurology) ---AMALTEA Medical Publishing House Neurology Department, University Emergency Hospital, Bucharest, Romania Neurology Department, ‘Carol Davila’ University of Medicine and Pharmacy, Bucharest, Romania Laboratory of Molecular Medicine, ‘Victor Babes’ National Institute of Pathology, Bucharest, Romania",+Euphemisms for Plagiarism+Lack of Approval from Third Party+Plagiarism of Text+Withdrawal,Adina Marie Roceanu Ovidiu Bajenaru Dafin Fior Muresan Bogdan O Popescu Daniela Anghel Madalina Gabriela Georgescu Sebastian Cozma Luigi Marceanu Silviu Albu,01/01/2016 00000000 unavailable,01/01/2016 00000000 unavailable,Research Article Retraction,Romania No
